City,2010_asukkaiden_mediaanitulot_hr,2011_asukkaiden_mediaanitulot_hr,2012_asukkaiden_mediaanitulot_hr,2013_asukkaiden_mediaanitulot_hr,2014_asukkaiden_mediaanitulot_hr,2015_asukkaiden_mediaanitulot_hr,2016_asukkaiden_mediaanitulot_hr,2017_asukkaiden_mediaanitulot_hr,2018_asukkaiden_mediaanitulot_hr,2019_asukkaiden_mediaanitulot_hr,2020_asukkaiden_mediaanitulot_hr,2021_asukkaiden_mediaanitulot_hr
Joroinen,16847.0,17260.0,17903.0,18306.0,18454.0,18945.0,19119.0,19455.0,19907.0,20309.0,20450.0,21120.0
Kaavi,14330.0,15016.0,15620.0,15787.0,16240.0,16275.0,16517.0,16736.0,17201.0,17592.0,18101.0,18502.0
Keitele,15796.0,16401.0,16554.0,17472.0,18235.0,18185.0,18266.0,17735.0,18386.0,19235.0,19247.0,19626.0
Kiuruvesi,15030.0,15513.0,16236.0,16444.0,16687.0,16905.0,17404.0,17905.0,18301.0,18791.0,19136.0,19506.0
Kuopio,17877.0,18528.0,19341.0,19579.0,19607.0,19690.0,20006.0,20344.0,21007.0,21552.0,21770.0,22389.0
Lapinlahti,16057.0,16734.0,17539.0,17949.0,18291.0,18262.0,18869.0,19185.0,19632.0,20254.0,20460.0,21224.0
Leppävirta,17067.0,17630.0,18433.0,18600.0,18910.0,19025.0,19469.0,19992.0,20357.0,20895.0,21213.0,22144.0
Pielavesi,14575.0,15293.0,15817.0,16082.0,16568.0,16833.0,17000.0,17332.0,17732.0,18003.0,18224.0,18833.0
Rautalampi,15137.0,15239.0,15897.0,16474.0,16699.0,16848.0,17095.0,17605.0,18071.0,18152.0,18747.0,19242.0
Rautavaara,13468.0,13985.0,14872.0,15280.0,16019.0,15674.0,15895.0,15873.0,16278.0,16676.0,17171.0,17615.0
Siilinjärvi,20408.0,21090.0,21882.0,22078.0,22111.0,22064.0,22395.0,22774.0,23315.0,23899.0,23908.0,24498.0
Sonkajärvi,14980.0,15577.0,16329.0,16382.0,16923.0,16854.0,17100.0,17706.0,18265.0,18514.0,18580.0,19055.0
Suonenjoki,16126.0,16573.0,17264.0,17809.0,18041.0,18116.0,18431.0,18748.0,19239.0,19775.0,19967.0,20494.0
Tervo,14205.0,14815.0,15381.0,16416.0,16566.0,16906.0,16847.0,17035.0,18216.0,18692.0,18697.0,19197.0
Tuusniemi,14648.0,15226.0,16177.0,16333.0,16705.0,16736.0,16790.0,16867.0,17720.0,17962.0,17970.0,19026.0
Varkaus,16751.0,17309.0,17868.0,18278.0,18455.0,18735.0,18959.0,19247.0,19609.0,20142.0,20421.0,21050.0
Vesanto,14327.0,14545.0,15036.0,15538.0,16001.0,16093.0,16336.0,16697.0,17238.0,17632.0,17888.0,18341.0
Vieremä,15848.0,16288.0,17139.0,17345.0,17698.0,17685.0,18019.0,18892.0,19527.0,20277.0,20283.0,21119.0
Heinävesi,15123.0,15704.0,16115.0,16470.0,16991.0,17246.0,17637.0,17662.0,18376.0,18562.0,18980.0,19546.0
Ilomantsi,14866.0,15472.0,16239.0,16645.0,16917.0,17209.0,17492.0,17470.0,17744.0,17992.0,18123.0,18641.0
