City,2010_asukkaiden_mediaanitulot_hr,2011_asukkaiden_mediaanitulot_hr,2012_asukkaiden_mediaanitulot_hr,2013_asukkaiden_mediaanitulot_hr,2014_asukkaiden_mediaanitulot_hr,2015_asukkaiden_mediaanitulot_hr,2016_asukkaiden_mediaanitulot_hr,2017_asukkaiden_mediaanitulot_hr,2018_asukkaiden_mediaanitulot_hr,2019_asukkaiden_mediaanitulot_hr,2020_asukkaiden_mediaanitulot_hr,2021_asukkaiden_mediaanitulot_hr
Muonio,16894.0,17667.0,18443.0,18963.0,19287.0,19519.0,19689.0,20592.0,21202.0,21964.0,22513.0,22536.0
Pelkosenniemi,15044.0,16304.0,17229.0,17971.0,18209.0,18833.0,18795.0,19018.0,19188.0,20009.0,20041.0,20366.0
Pello,15342.0,16063.0,16669.0,17350.0,17853.0,18121.0,18359.0,18379.0,18527.0,19083.0,19273.0,19905.0
Posio,14395.0,14893.0,15545.0,16032.0,16262.0,16177.0,16229.0,16509.0,17076.0,17721.0,17541.0,18123.0
Ranua,15136.0,15461.0,16248.0,16793.0,17177.0,17092.0,17454.0,17942.0,18350.0,18862.0,19134.0,19775.0
Rovaniemi,18170.0,18753.0,19547.0,19851.0,20136.0,20283.0,20528.0,20894.0,21423.0,22032.0,22181.0,22768.0
Salla,14684.0,15297.0,16024.0,16702.0,17077.0,17276.0,17492.0,17793.0,18312.0,18787.0,19047.0,19623.0
Savukoski,15073.0,15921.0,16524.0,16939.0,16702.0,17028.0,17522.0,17747.0,18105.0,18564.0,19062.0,19264.0
Simo,17161.0,18003.0,18832.0,19051.0,19373.0,19639.0,19621.0,19964.0,20350.0,21151.0,21275.0,21810.0
Sodankylä,16883.0,18016.0,18971.0,19499.0,19706.0,19881.0,20032.0,20596.0,21491.0,22117.0,22180.0,22689.0
Tervola,15689.0,16401.0,17501.0,17710.0,18106.0,18484.0,18803.0,19021.0,20072.0,20714.0,20977.0,21240.0
Tornio,18358.0,19123.0,19814.0,19967.0,20132.0,20510.0,20934.0,21185.0,21502.0,22213.0,22531.0,23154.0
Utsjoki,16122.0,17182.0,18422.0,18599.0,18853.0,19182.0,20148.0,20547.0,20253.0,21489.0,21191.0,22187.0
Ylitornio,15025.0,15570.0,16186.0,16988.0,17226.0,17751.0,18071.0,18366.0,18849.0,19549.0,19677.0,20344.0
Brändö,19717.0,19995.0,20933.0,21561.0,22609.0,21822.0,23072.0,23112.0,23763.0,23670.0,25960.0,25837.0
Eckerö,20447.0,21003.0,22082.0,21551.0,22399.0,23315.0,23817.0,23994.0,23615.0,24373.0,24404.0,25088.0
Finström,21504.0,22265.0,22970.0,23425.0,23459.0,23491.0,23424.0,24406.0,24636.0,25616.0,25472.0,25727.0
Föglö,21517.0,20809.0,21192.0,22050.0,22251.0,22643.0,23295.0,23269.0,23858.0,24282.0,23950.0,24603.0
Geta,17725.0,19469.0,19834.0,20049.0,20456.0,21173.0,21902.0,21218.0,22385.0,22132.0,22522.0,22998.0
Hammarland,21810.0,22203.0,23015.0,23132.0,22888.0,23091.0,23868.0,24353.0,24558.0,25120.0,25033.0,25708.0
Jomala,23936.0,24557.0,25426.0,25664.0,26157.0,26686.0,27044.0,27607.0,28162.0,29028.0,28928.0,29339.0
Kumlinge,18684.0,18637.0,19949.0,20184.0,19759.0,20808.0,23249.0,23659.0,24494.0,25355.0,25016.0,24449.0
Kökar,20026.0,20478.0,21995.0,22842.0,21167.0,20216.0,20848.0,21681.0,21756.0,22197.0,20492.0,21394.0
Lemland,23990.0,24833.0,25772.0,26117.0,26130.0,26270.0,26175.0,26655.0,27169.0,28248.0,27974.0,28861.0
Lumparland,23619.0,23708.0,24346.0,24750.0,24259.0,24205.0,23904.0,23698.0,23482.0,25476.0,26140.0,26096.0
Maarianhamina,22719.0,23446.0,24108.0,24357.0,24363.0,24498.0,25031.0,25257.0,25501.0,26131.0,26008.0,26367.0
Saltvik,22403.0,22993.0,23453.0,24183.0,24199.0,24781.0,24882.0,25250.0,26314.0,26281.0,26113.0,26360.0
Sottunga,18978.0,20888.0,19646.0,20932.0,20458.0,21419.0,23087.0,22760.0,24143.0,24185.0,22054.0,23413.0
Sund,21667.0,22112.0,22818.0,23113.0,22914.0,22947.0,23527.0,23327.0,24039.0,25110.0,25389.0,25882.0
Vårdö,19376.0,20520.0,20883.0,21244.0,21400.0,21284.0,22405.0,23082.0,23223.0,22861.0,22826.0,24280.0
