City,2010_perusasteen_suorittaneet_ko,2011_perusasteen_suorittaneet_ko,2012_perusasteen_suorittaneet_ko,2013_perusasteen_suorittaneet_ko,2014_perusasteen_suorittaneet_ko,2015_perusasteen_suorittaneet_ko,2016_perusasteen_suorittaneet_ko,2017_perusasteen_suorittaneet_ko,2018_perusasteen_suorittaneet_ko,2019_perusasteen_suorittaneet_ko,2020_perusasteen_suorittaneet_ko,2021_perusasteen_suorittaneet_ko
Akaa,4333.0,4254.0,4179.0,3996.0,3918.0,3849.0,3696.0,3564.0,3411.0,3364.0,3304.0,3213.0
Hämeenkyrö,2734.0,2635.0,2549.0,2499.0,2412.0,2361.0,2292.0,2182.0,2065.0,2013.0,1986.0,1908.0
Ikaalinen,2102.0,2062.0,1984.0,1921.0,1852.0,1811.0,1723.0,1684.0,1635.0,1548.0,1525.0,1521.0
Juupajoki,704.0,664.0,635.0,628.0,606.0,578.0,551.0,520.0,502.0,480.0,463.0,454.0
Kangasala,5751.0,5616.0,5524.0,5403.0,5277.0,5177.0,5138.0,4963.0,4775.0,4708.0,4678.0,4599.0
Kihniö,778.0,745.0,716.0,705.0,671.0,648.0,616.0,591.0,555.0,539.0,533.0,517.0
Kuhmoinen,982.0,929.0,898.0,877.0,838.0,800.0,760.0,718.0,713.0,688.0,648.0,612.0
Lempäälä,3536.0,3506.0,3472.0,3427.0,3371.0,3317.0,3191.0,3107.0,3007.0,2949.0,2924.0,2826.0
Mänttä-Vilppula,3500.0,3429.0,3316.0,3173.0,3027.0,2977.0,2858.0,2745.0,2590.0,2520.0,2415.0,2295.0
Nokia,7146.0,6996.0,6808.0,6634.0,6540.0,6438.0,6304.0,6134.0,5922.0,5757.0,5671.0,5611.0
Orivesi,2730.0,2673.0,2587.0,2515.0,2437.0,2381.0,2275.0,2182.0,2113.0,2030.0,1960.0,1892.0
Parkano,2172.0,2125.0,2075.0,1963.0,1909.0,1890.0,1826.0,1760.0,1691.0,1631.0,1565.0,1523.0
Pirkkala,2736.0,2748.0,2732.0,2646.0,2623.0,2636.0,2558.0,2466.0,2369.0,2325.0,2353.0,2322.0
Punkalaidun,1099.0,1077.0,1027.0,983.0,948.0,924.0,885.0,839.0,804.0,775.0,740.0,699.0
Pälkäne,1945.0,1899.0,1815.0,1768.0,1707.0,1644.0,1588.0,1535.0,1463.0,1418.0,1374.0,1344.0
Ruovesi,1682.0,1605.0,1537.0,1479.0,1396.0,1347.0,1291.0,1235.0,1186.0,1120.0,1090.0,1026.0
Sastamala,7392.0,7171.0,7035.0,6804.0,6568.0,6466.0,6244.0,6097.0,5862.0,5690.0,5456.0,5334.0
Tampere,43315.0,42787.0,42130.0,41141.0,40207.0,39900.0,39521.0,38710.0,36819.0,36606.0,36048.0,35997.0
Urjala,1822.0,1763.0,1710.0,1652.0,1568.0,1519.0,1484.0,1432.0,1386.0,1331.0,1272.0,1228.0
Valkeakoski,5092.0,4962.0,4853.0,4681.0,4529.0,4442.0,4299.0,4154.0,4018.0,3931.0,3755.0,3669.0
Vesilahti,887.0,877.0,841.0,803.0,783.0,776.0,732.0,739.0,688.0,649.0,633.0,630.0
Virrat,2398.0,2311.0,2257.0,2173.0,2113.0,2018.0,1953.0,1883.0,1812.0,1729.0,1667.0,1622.0
Ylöjärvi,5975.0,5877.0,5778.0,5642.0,5494.0,5479.0,5275.0,5102.0,4891.0,4850.0,4760.0,4644.0
Asikkala,2461.0,2419.0,2334.0,2259.0,2166.0,2079.0,2094.0,2007.0,1931.0,1875.0,1808.0,1738.0
Hartola,1293.0,1260.0,1191.0,1119.0,1079.0,1066.0,1034.0,1002.0,965.0,914.0,868.0,853.0
Heinola,6009.0,5866.0,5753.0,5608.0,5424.0,5345.0,5214.0,5029.0,4849.0,4726.0,4596.0,4482.0
Hollola,5494.0,5389.0,5266.0,5155.0,5019.0,4963.0,4778.0,4654.0,4414.0,4296.0,4200.0,4095.0
Iitti,2107.0,2070.0,1995.0,1965.0,1880.0,1845.0,1781.0,1724.0,1684.0,1631.0,1563.0,1492.0
Kärkölä,1530.0,1484.0,1462.0,1427.0,1378.0,1336.0,1281.0,1243.0,1205.0,1162.0,1135.0,1115.0
Lahti,29926.0,29393.0,28915.0,28107.0,27347.0,27110.0,26813.0,26222.0,25313.0,24750.0,24562.0,24097.0
Orimattila,4567.0,4502.0,4371.0,4264.0,4131.0,4082.0,3942.0,3868.0,3693.0,3611.0,3526.0,3464.0
Padasjoki,1321.0,1268.0,1229.0,1192.0,1142.0,1095.0,1049.0,1017.0,953.0,918.0,887.0,863.0
Sysmä,1654.0,1589.0,1555.0,1506.0,1477.0,1436.0,1375.0,1314.0,1249.0,1199.0,1187.0,1132.0
Hamina,5829.0,5716.0,5569.0,5458.0,5269.0,5165.0,5029.0,4883.0,4668.0,4513.0,4341.0,4186.0
Kotka,13650.0,13391.0,13188.0,12911.0,12689.0,12496.0,12357.0,11858.0,11002.0,10654.0,10405.0,10147.0
Kouvola,22995.0,22598.0,22054.0,21336.0,20739.0,20392.0,19800.0,18999.0,18072.0,17484.0,16873.0,16330.0
Miehikkälä,906.0,851.0,851.0,815.0,792.0,756.0,739.0,697.0,659.0,620.0,608.0,583.0
Pyhtää,1426.0,1412.0,1355.0,1322.0,1287.0,1275.0,1244.0,1176.0,1110.0,1071.0,1038.0,992.0
Virolahti,1132.0,1100.0,1100.0,1044.0,995.0,973.0,917.0,886.0,833.0,806.0,776.0,750.0
Imatra,8363.0,8157.0,7930.0,7709.0,7434.0,7285.0,7014.0,6770.0,6402.0,6198.0,5979.0,5770.0
Lappeenranta,17694.0,17296.0,17038.0,16473.0,16055.0,15746.0,15401.0,14907.0,14010.0,13669.0,13210.0,12922.0
Lemi,843.0,846.0,809.0,810.0,764.0,756.0,736.0,707.0,675.0,632.0,621.0,591.0
Luumäki,1702.0,1661.0,1590.0,1544.0,1500.0,1449.0,1392.0,1331.0,1260.0,1242.0,1167.0,1126.0
Parikkala,2071.0,1998.0,1930.0,1868.0,1774.0,1690.0,1602.0,1520.0,1418.0,1362.0,1301.0,1252.0
Rautjärvi,1448.0,1372.0,1333.0,1276.0,1206.0,1166.0,1141.0,1110.0,1030.0,965.0,927.0,897.0
Ruokolahti,1824.0,1758.0,1713.0,1641.0,1588.0,1552.0,1475.0,1431.0,1350.0,1269.0,1222.0,1205.0
Savitaipale,1365.0,1319.0,1294.0,1258.0,1187.0,1149.0,1095.0,1043.0,988.0,958.0,926.0,872.0
Taipalsaari,1046.0,1014.0,991.0,975.0,922.0,902.0,892.0,866.0,825.0,809.0,790.0,739.0
Enonkoski,562.0,538.0,514.0,488.0,483.0,466.0,445.0,430.0,413.0,386.0,371.0,363.0
Hirvensalmi,895.0,874.0,856.0,801.0,775.0,755.0,744.0,703.0,652.0,611.0,611.0,585.0
Juva,2222.0,2180.0,2127.0,2029.0,1971.0,1906.0,1825.0,1743.0,1671.0,1630.0,1515.0,1455.0
Kangasniemi,2088.0,1984.0,1935.0,1874.0,1795.0,1717.0,1664.0,1616.0,1534.0,1430.0,1373.0,1312.0
Mikkeli,12870.0,12480.0,12201.0,11883.0,11446.0,11215.0,10987.0,10591.0,10174.0,9826.0,9538.0,9199.0
Mäntyharju,2275.0,2174.0,2128.0,2071.0,2039.0,1967.0,1877.0,1822.0,1734.0,1686.0,1622.0,1585.0
Pertunmaa,735.0,706.0,674.0,652.0,630.0,632.0,599.0,576.0,554.0,531.0,509.0,496.0
Pieksämäki,5649.0,5516.0,5313.0,5134.0,4921.0,4774.0,4592.0,4364.0,4180.0,4045.0,3895.0,3743.0
Puumala,925.0,885.0,841.0,795.0,762.0,737.0,715.0,684.0,644.0,624.0,598.0,572.0
Rantasalmi,1249.0,1227.0,1167.0,1127.0,1069.0,1016.0,978.0,910.0,895.0,847.0,813.0,773.0
Savonlinna,10260.0,9974.0,9631.0,9239.0,8860.0,8658.0,8306.0,7953.0,7511.0,7195.0,7041.0,6817.0
Sulkava,1090.0,1050.0,1017.0,990.0,982.0,926.0,885.0,842.0,799.0,779.0,744.0,719.0
Iisalmi,5420.0,5281.0,5150.0,5012.0,4826.0,4706.0,4503.0,4400.0,4208.0,4109.0,3983.0,3827.0
Joroinen,1455.0,1431.0,1373.0,1302.0,1285.0,1217.0,1164.0,1105.0,1034.0,1004.0,996.0,965.0
Kaavi,1223.0,1218.0,1171.0,1135.0,1091.0,1077.0,1043.0,985.0,907.0,859.0,808.0,793.0
Keitele,896.0,837.0,809.0,785.0,741.0,727.0,702.0,682.0,641.0,615.0,571.0,552.0
Kiuruvesi,2826.0,2765.0,2685.0,2554.0,2463.0,2349.0,2244.0,2088.0,2030.0,1942.0,1831.0,1790.0
Kuopio,23225.0,22578.0,22135.0,21585.0,20992.0,20496.0,19999.0,19399.0,18594.0,18314.0,17973.0,17800.0
Lapinlahti,3111.0,3042.0,2913.0,2772.0,2672.0,2592.0,2453.0,2355.0,2247.0,2169.0,2098.0,1985.0
Leppävirta,2945.0,2812.0,2708.0,2589.0,2496.0,2457.0,2370.0,2274.0,2197.0,2109.0,2048.0,1926.0
Pielavesi,1739.0,1668.0,1617.0,1526.0,1479.0,1418.0,1372.0,1317.0,1239.0,1190.0,1159.0,1126.0
Rautalampi,1128.0,1132.0,1096.0,1058.0,1013.0,947.0,934.0,891.0,837.0,811.0,762.0,721.0
Rautavaara,810.0,789.0,751.0,717.0,690.0,683.0,657.0,626.0,601.0,578.0,519.0,489.0
Siilinjärvi,3692.0,3596.0,3529.0,3449.0,3355.0,3318.0,3243.0,3124.0,3026.0,2940.0,2875.0,2786.0
Sonkajärvi,1519.0,1469.0,1409.0,1381.0,1324.0,1284.0,1224.0,1134.0,1065.0,1016.0,983.0,933.0
Suonenjoki,2234.0,2204.0,2117.0,2055.0,1996.0,1958.0,1857.0,1796.0,1716.0,1660.0,1589.0,1534.0
Tervo,627.0,610.0,592.0,560.0,526.0,509.0,508.0,484.0,455.0,444.0,423.0,403.0
Tuusniemi,952.0,925.0,885.0,855.0,826.0,823.0,763.0,718.0,700.0,675.0,649.0,612.0
Varkaus,6024.0,5923.0,5786.0,5572.0,5334.0,5168.0,4943.0,4805.0,4632.0,4485.0,4396.0,4233.0
Vesanto,963.0,930.0,899.0,866.0,825.0,793.0,758.0,717.0,696.0,666.0,651.0,617.0
Vieremä,1206.0,1166.0,1135.0,1079.0,1011.0,982.0,941.0,884.0,836.0,807.0,757.0,736.0
Heinävesi,1466.0,1412.0,1345.0,1293.0,1246.0,1227.0,1182.0,1111.0,1044.0,989.0,952.0,915.0
Ilomantsi,2183.0,2123.0,2030.0,1946.0,1877.0,1791.0,1731.0,1630.0,1544.0,1479.0,1410.0,1360.0
Joensuu,14923.0,14613.0,14361.0,13933.0,13515.0,13455.0,13188.0,12915.0,12256.0,12035.0,11897.0,11788.0
Juuka,1999.0,1925.0,1842.0,1774.0,1718.0,1672.0,1589.0,1506.0,1442.0,1366.0,1323.0,1269.0
Kitee,3535.0,3452.0,3307.0,3220.0,3080.0,3017.0,2964.0,2816.0,2705.0,2555.0,2493.0,2455.0
Kontiolahti,2231.0,2169.0,2171.0,2119.0,2110.0,2044.0,1984.0,1955.0,1863.0,1803.0,1761.0,1742.0
Lieksa,4365.0,4270.0,4119.0,4039.0,3864.0,3664.0,3492.0,3295.0,3137.0,3015.0,2909.0,2815.0
Liperi,2614.0,2530.0,2457.0,2359.0,2285.0,2221.0,2155.0,2041.0,1970.0,1898.0,1832.0,1772.0
Nurmes,3743.0,3531.0,3451.0,3329.0,3190.0,3106.0,2961.0,2841.0,2685.0,2531.0,2461.0,2400.0
Outokumpu,2156.0,2057.0,1997.0,1890.0,1840.0,1795.0,1727.0,1680.0,1579.0,1542.0,1453.0,1442.0
Polvijärvi,1516.0,1421.0,1403.0,1310.0,1299.0,1241.0,1198.0,1144.0,1074.0,1043.0,1007.0,969.0
Rääkkylä,871.0,824.0,798.0,767.0,742.0,720.0,664.0,652.0,612.0,580.0,552.0,533.0
Tohmajärvi,1585.0,1556.0,1495.0,1475.0,1398.0,1367.0,1275.0,1251.0,1186.0,1140.0,1090.0,1014.0
Hankasalmi,1702.0,1659.0,1595.0,1521.0,1447.0,1431.0,1353.0,1289.0,1220.0,1168.0,1118.0,1083.0
Joutsa,1817.0,1756.0,1705.0,1648.0,1605.0,1558.0,1502.0,1425.0,1366.0,1304.0,1243.0,1189.0
Jyväskylä,23896.0,23465.0,23024.0,22458.0,21961.0,21839.0,21509.0,20985.0,20110.0,19895.0,19709.0,19685.0
Jämsä,6205.0,6024.0,5892.0,5660.0,5443.0,5317.0,5123.0,4921.0,4684.0,4516.0,4361.0,4208.0
Kannonkoski,609.0,571.0,553.0,516.0,490.0,487.0,470.0,447.0,419.0,400.0,381.0,365.0
Karstula,1498.0,1422.0,1379.0,1317.0,1264.0,1221.0,1201.0,1125.0,1078.0,1040.0,1003.0,947.0
Keuruu,3076.0,2966.0,2875.0,2762.0,2674.0,2607.0,2513.0,2400.0,2261.0,2188.0,2127.0,2072.0
Kinnula,691.0,658.0,621.0,613.0,584.0,581.0,547.0,522.0,496.0,483.0,466.0,439.0
Kivijärvi,526.0,523.0,509.0,471.0,457.0,434.0,412.0,397.0,376.0,374.0,355.0,328.0
Konnevesi,996.0,958.0,937.0,864.0,864.0,823.0,788.0,755.0,716.0,683.0,652.0,638.0
Kyyjärvi,564.0,545.0,525.0,505.0,486.0,470.0,446.0,436.0,428.0,413.0,402.0,368.0
