City,2010_perusasteen_suorittaneet_ko,2011_perusasteen_suorittaneet_ko,2012_perusasteen_suorittaneet_ko,2013_perusasteen_suorittaneet_ko,2014_perusasteen_suorittaneet_ko,2015_perusasteen_suorittaneet_ko,2016_perusasteen_suorittaneet_ko,2017_perusasteen_suorittaneet_ko,2018_perusasteen_suorittaneet_ko,2019_perusasteen_suorittaneet_ko,2020_perusasteen_suorittaneet_ko,2021_perusasteen_suorittaneet_ko
Lestijärvi,309.0,296.0,288.0,262.0,255.0,248.0,235.0,230.0,212.0,192.0,183.0,180.0
Perho,878.0,850.0,837.0,818.0,782.0,761.0,741.0,706.0,678.0,650.0,632.0,607.0
Toholampi,988.0,980.0,953.0,920.0,897.0,884.0,835.0,811.0,768.0,729.0,704.0,686.0
Veteli,995.0,953.0,949.0,909.0,879.0,857.0,821.0,787.0,742.0,721.0,699.0,669.0
Alavieska,734.0,706.0,699.0,678.0,655.0,626.0,601.0,589.0,552.0,536.0,513.0,493.0
Haapajärvi,2151.0,2104.0,2062.0,2021.0,1892.0,1851.0,1794.0,1738.0,1659.0,1582.0,1510.0,1468.0
Haapavesi,1838.0,1785.0,1719.0,1689.0,1586.0,1567.0,1499.0,1413.0,1363.0,1296.0,1298.0,1261.0
Hailuoto,254.0,249.0,235.0,235.0,228.0,211.0,215.0,195.0,184.0,180.0,167.0,156.0
Ii,2133.0,2110.0,2041.0,2006.0,1921.0,1897.0,1849.0,1832.0,1745.0,1717.0,1677.0,1632.0
Kalajoki,3248.0,3179.0,3104.0,3009.0,2907.0,2859.0,2785.0,2687.0,2568.0,2516.0,2454.0,2407.0
Kempele,2319.0,2358.0,2322.0,2323.0,2307.0,2286.0,2241.0,2166.0,2145.0,2154.0,2090.0,2066.0
Kuusamo,4072.0,4003.0,3865.0,3722.0,3577.0,3460.0,3341.0,3240.0,3085.0,2980.0,2939.0,2848.0
Kärsämäki,878.0,844.0,815.0,782.0,746.0,711.0,705.0,664.0,659.0,647.0,624.0,605.0
Liminka,1126.0,1134.0,1132.0,1101.0,1087.0,1104.0,1044.0,1030.0,1026.0,1018.0,1025.0,988.0
Lumijoki,462.0,453.0,441.0,426.0,416.0,395.0,388.0,365.0,349.0,335.0,342.0,333.0
Merijärvi,373.0,360.0,334.0,320.0,307.0,302.0,289.0,285.0,261.0,257.0,257.0,239.0
Muhos,1704.0,1674.0,1585.0,1569.0,1483.0,1479.0,1432.0,1369.0,1297.0,1283.0,1271.0,1285.0
Nivala,2560.0,2457.0,2378.0,2274.0,2228.0,2173.0,2123.0,2037.0,1944.0,1886.0,1840.0,1802.0
Oulainen,1952.0,1894.0,1849.0,1784.0,1699.0,1649.0,1589.0,1561.0,1524.0,1468.0,1402.0,1360.0
Oulu,31139.0,30900.0,30416.0,30024.0,29490.0,29424.0,28978.0,28385.0,27216.0,26924.0,26784.0,26801.0
Pudasjärvi,2894.0,2806.0,2727.0,2629.0,2497.0,2414.0,2339.0,2223.0,2135.0,2070.0,1984.0,1903.0
Pyhäjoki,874.0,852.0,806.0,792.0,741.0,708.0,701.0,670.0,640.0,610.0,605.0,633.0
Pyhäjärvi,1950.0,1895.0,1853.0,1744.0,1655.0,1635.0,1575.0,1497.0,1413.0,1353.0,1285.0,1245.0
Pyhäntä,452.0,416.0,404.0,391.0,383.0,382.0,368.0,349.0,335.0,335.0,331.0,369.0
Raahe,5985.0,5844.0,5742.0,5584.0,5345.0,5248.0,5110.0,4992.0,4827.0,4731.0,4547.0,4479.0
Reisjärvi,909.0,893.0,872.0,835.0,807.0,802.0,771.0,753.0,717.0,690.0,668.0,651.0
Sievi,1274.0,1262.0,1206.0,1180.0,1111.0,1097.0,1055.0,1006.0,959.0,920.0,875.0,870.0
Siikajoki,1429.0,1395.0,1331.0,1284.0,1214.0,1162.0,1118.0,1114.0,1017.0,985.0,965.0,940.0
Siikalatva,1907.0,1834.0,1777.0,1710.0,1641.0,1575.0,1492.0,1435.0,1362.0,1297.0,1248.0,1206.0
Taivalkoski,1272.0,1238.0,1203.0,1137.0,1122.0,1069.0,1033.0,979.0,974.0,935.0,901.0,860.0
Tyrnävä,1160.0,1123.0,1104.0,1069.0,1021.0,1015.0,990.0,957.0,951.0,903.0,877.0,819.0
Utajärvi,919.0,868.0,835.0,820.0,803.0,776.0,754.0,717.0,677.0,645.0,618.0,598.0
Vaala,1070.0,1019.0,993.0,957.0,907.0,883.0,845.0,788.0,742.0,703.0,679.0,633.0
Ylivieska,2906.0,2831.0,2796.0,2755.0,2689.0,2615.0,2600.0,2553.0,2492.0,2459.0,2475.0,2403.0
Hyrynsalmi,999.0,962.0,927.0,899.0,846.0,801.0,779.0,741.0,716.0,711.0,660.0,635.0
Kajaani,8334.0,8095.0,7863.0,7550.0,7288.0,7085.0,6827.0,6487.0,6092.0,5892.0,5730.0,5765.0
Kuhmo,2913.0,2806.0,2697.0,2610.0,2516.0,2409.0,2318.0,2208.0,2103.0,2024.0,1920.0,1844.0
Paltamo,1214.0,1167.0,1146.0,1090.0,1053.0,1008.0,984.0,921.0,879.0,843.0,797.0,752.0
Puolanka,1136.0,1101.0,1064.0,1015.0,985.0,965.0,930.0,882.0,811.0,768.0,743.0,703.0
Ristijärvi,525.0,506.0,479.0,468.0,445.0,409.0,375.0,357.0,331.0,309.0,299.0,285.0
Sotkamo,2752.0,2659.0,2565.0,2518.0,2392.0,2310.0,2220.0,2115.0,2037.0,1953.0,1902.0,1856.0
Suomussalmi,2861.0,2740.0,2642.0,2516.0,2429.0,2342.0,2218.0,2124.0,2039.0,1996.0,1906.0,1830.0
Enontekiö,558.0,547.0,515.0,503.0,481.0,479.0,480.0,461.0,414.0,403.0,390.0,386.0
Inari,1889.0,1844.0,1806.0,1758.0,1722.0,1685.0,1655.0,1612.0,1545.0,1499.0,1458.0,1428.0
Kemi,5937.0,5760.0,5648.0,5418.0,5267.0,5119.0,4997.0,4759.0,4524.0,4373.0,4217.0,4056.0
Kemijärvi,2693.0,2569.0,2466.0,2347.0,2281.0,2177.0,2057.0,1946.0,1822.0,1757.0,1709.0,1640.0
Keminmaa,1802.0,1744.0,1679.0,1616.0,1554.0,1510.0,1436.0,1381.0,1315.0,1239.0,1212.0,1157.0
Kittilä,1561.0,1536.0,1501.0,1483.0,1406.0,1354.0,1312.0,1239.0,1203.0,1188.0,1143.0,1125.0
Kolari,1073.0,1048.0,1019.0,999.0,962.0,938.0,901.0,859.0,815.0,757.0,755.0,729.0
Muonio,613.0,598.0,578.0,571.0,544.0,547.0,530.0,490.0,463.0,449.0,430.0,416.0
Pelkosenniemi,329.0,307.0,295.0,284.0,259.0,253.0,244.0,238.0,225.0,213.0,207.0,197.0
Pello,1335.0,1295.0,1240.0,1176.0,1120.0,1086.0,1055.0,999.0,946.0,904.0,865.0,830.0
Posio,1356.0,1338.0,1271.0,1232.0,1213.0,1139.0,1113.0,1023.0,976.0,946.0,929.0,875.0
Ranua,1316.0,1256.0,1222.0,1159.0,1127.0,1132.0,1084.0,1032.0,971.0,941.0,898.0,885.0
Rovaniemi,11739.0,11551.0,11312.0,10890.0,10574.0,10285.0,10018.0,9576.0,9183.0,8968.0,8760.0,8669.0
Salla,1507.0,1471.0,1421.0,1343.0,1285.0,1231.0,1159.0,1074.0,1007.0,961.0,916.0,875.0
Savukoski,375.0,361.0,349.0,330.0,312.0,295.0,284.0,272.0,262.0,249.0,243.0,234.0
Simo,999.0,954.0,929.0,876.0,843.0,829.0,784.0,757.0,726.0,681.0,664.0,620.0
Sodankylä,2428.0,2351.0,2288.0,2189.0,2081.0,2048.0,1982.0,1850.0,1763.0,1692.0,1637.0,1563.0
Tervola,1007.0,980.0,950.0,901.0,842.0,811.0,772.0,729.0,674.0,638.0,600.0,591.0
Tornio,5132.0,5028.0,4878.0,4701.0,4574.0,4472.0,4387.0,4070.0,3938.0,3787.0,3710.0,3671.0
Utsjoki,412.0,399.0,382.0,371.0,351.0,350.0,322.0,322.0,310.0,293.0,296.0,280.0
Ylitornio,1612.0,1524.0,1469.0,1395.0,1332.0,1290.0,1238.0,1164.0,1117.0,1080.0,1036.0,998.0
Brändö,174.0,161.0,156.0,150.0,144.0,151.0,151.0,136.0,131.0,129.0,129.0,132.0
Eckerö,347.0,357.0,352.0,338.0,335.0,342.0,335.0,260.0,261.0,252.0,254.0,242.0
Finström,799.0,805.0,795.0,763.0,773.0,763.0,786.0,708.0,683.0,683.0,667.0,669.0
Föglö,233.0,233.0,236.0,224.0,221.0,215.0,216.0,183.0,185.0,187.0,178.0,164.0
Geta,189.0,187.0,188.0,191.0,181.0,182.0,176.0,154.0,156.0,144.0,150.0,148.0
Hammarland,500.0,488.0,477.0,487.0,480.0,476.0,466.0,434.0,403.0,413.0,406.0,405.0
Jomala,1059.0,1094.0,1068.0,1055.0,1050.0,1054.0,1108.0,959.0,918.0,967.0,950.0,976.0
Kumlinge,151.0,150.0,135.0,128.0,126.0,122.0,115.0,107.0,100.0,96.0,98.0,98.0
Kökar,97.0,95.0,94.0,97.0,102.0,91.0,89.0,69.0,66.0,66.0,65.0,63.0
Lemland,434.0,439.0,433.0,445.0,433.0,440.0,452.0,384.0,364.0,365.0,359.0,348.0
Lumparland,118.0,113.0,110.0,115.0,122.0,109.0,110.0,100.0,96.0,91.0,87.0,90.0
Maarianhamina,3149.0,3092.0,3046.0,2963.0,2960.0,3011.0,3015.0,2627.0,2549.0,2590.0,2590.0,2635.0
Saltvik,583.0,568.0,559.0,536.0,534.0,531.0,522.0,489.0,471.0,456.0,450.0,457.0
Sottunga,40.0,38.0,36.0,36.0,34.0,35.0,30.0,29.0,27.0,24.0,26.0,31.0
Sund,352.0,364.0,356.0,341.0,327.0,328.0,309.0,287.0,277.0,269.0,263.0,261.0
Vårdö,144.0,141.0,132.0,133.0,133.0,132.0,140.0,110.0,114.0,115.0,119.0,120.0
