City,2011_maapinta_ala,2012_maapinta_ala,2013_maapinta_ala,2014_maapinta_ala,2015_maapinta_ala,2016_maapinta_ala,2017_maapinta_ala,2018_maapinta_ala,2019_maapinta_ala,2020_maapinta_ala,2021_maapinta_ala,2022_maapinta_ala
Kokkola,1444.2,1444.19,1444.19,1444.98,1445.01,1445.11,1445.11,1445.11,1445.44,1445.95,1445.96,1446.27
Lestijärvi,480.69,480.69,480.69,480.65,480.65,480.65,480.65,480.3,480.3,480.07,480.02,480.06
Perho,747.94,747.92,747.92,747.83,747.83,747.83,747.83,747.87,747.87,747.87,747.87,747.87
Toholampi,608.43,608.43,608.43,608.32,608.36,608.82,608.82,608.82,608.82,608.99,608.98,609.16
Veteli,502.31,502.34,502.34,502.31,502.32,502.34,502.13,502.13,502.13,502.13,502.13,502.12
Alavieska,251.37,251.36,251.36,251.36,251.37,251.41,251.41,251.41,251.47,251.5,251.5,251.50
Haapajärvi,765.64,765.66,765.66,765.67,765.74,765.74,765.89,766.18,766.19,766.38,766.42,766.45
Haapavesi,1049.73,1049.77,1049.77,1049.77,1049.78,1049.78,1049.78,1049.82,1049.82,1050.41,1050.59,1050.47
Hailuoto,200.56,200.56,200.56,200.61,201.21,201.21,201.21,201.47,205.66,205.66,205.66,205.65
Ii,1552.63,1552.66,1552.66,1553.19,1553.18,1553.22,1614.06,1614.1,1614.1,1614.63,1615.72,1615.71
Kalajoki,922.16,922.18,922.18,922.24,922.46,922.93,922.98,922.97,924.05,924.09,924.13,924.10
Kempele,110.12,110.11,110.11,110.11,110.11,110.1,110.1,110.11,110.11,110.14,110.14,110.14
Kuusamo,4978.14,4977.86,4977.86,4977.02,4977.13,4978.0,4978.28,4978.3,4978.52,4978.52,4978.57,4978.85
Kärsämäki,695.93,695.94,695.94,695.95,695.94,695.95,695.95,695.97,695.97,696.39,696.5,696.50
Liminka,637.15,637.16,637.16,637.11,637.03,637.04,637.0,637.31,637.31,637.31,637.27,637.31
Lumijoki,213.19,213.19,213.19,213.53,213.85,213.85,213.85,213.87,214.16,214.12,214.12,214.12
Merijärvi,229.83,229.83,229.83,229.84,229.88,229.94,229.94,229.94,229.97,229.97,229.97,229.97
Muhos,783.72,783.75,783.75,783.68,783.65,783.65,783.64,783.74,783.75,783.75,784.58,784.59
Nivala,527.94,527.95,527.95,527.88,527.87,527.87,527.89,527.88,527.84,526.67,527.18,527.31
Oulainen,587.6,587.75,587.75,587.76,587.79,587.79,587.79,587.8,587.82,587.84,587.84,587.84
Oulu,3030.83,3031.0,3031.0,3031.61,3031.64,3031.89,2970.97,2971.96,2971.96,2971.14,2972.45,2972.44
Pudasjärvi,5637.73,5637.52,5637.52,5637.29,5637.3,5638.03,5638.07,5638.16,5638.28,5638.35,5638.35,5638.67
Pyhäjoki,542.33,542.33,542.33,542.57,542.58,543.0,543.01,543.01,543.11,543.11,543.21,543.21
Pyhäjärvi,1311.0,1311.33,1311.33,1311.32,1311.32,1311.31,1310.79,1310.8,1310.8,1310.33,1310.31,1310.25
Pyhäntä,810.77,810.73,810.73,810.7,810.7,810.7,810.69,810.67,810.67,810.21,810.2,810.16
Raahe,1014.0,1014.14,1014.14,1014.22,1014.26,1014.22,1014.41,1014.38,1015.43,1015.34,1015.33,1013.78
Reisjärvi,474.36,474.42,474.42,474.45,474.44,474.45,474.46,474.45,474.6,474.64,474.62,474.39
Sievi,787.32,787.33,787.33,787.34,787.33,787.36,787.13,787.14,786.98,786.95,786.4,786.40
Siikajoki,1052.02,1052.3,1052.3,1051.33,1051.43,1051.64,1051.55,1051.61,1054.05,1054.07,1053.89,1055.46
Siikalatva,2171.85,2171.86,2171.86,2172.6,2172.55,2172.53,2172.53,2172.94,2172.94,2173.37,2173.27,2173.26
Taivalkoski,2438.03,2438.03,2438.03,2437.81,2437.95,2438.16,2438.14,2437.85,2437.79,2437.79,2438.21,2438.21
Tyrnävä,491.81,491.81,491.81,491.82,491.81,491.8,491.8,491.81,491.82,491.81,491.82,491.82
Utajärvi,1671.12,1671.12,1671.12,1671.01,1671.01,1671.07,1671.09,1671.17,1671.15,1671.72,1669.47,1669.46
Vaala,1302.64,1302.11,1302.11,1302.19,1302.11,1302.11,1302.65,1302.72,1302.59,1302.38,1302.38,1302.37
Ylivieska,568.57,568.57,568.57,568.62,568.66,568.66,568.89,568.89,568.92,569.73,569.83,569.83
Hyrynsalmi,1421.05,1421.05,1421.05,1421.01,1421.01,1421.02,1421.1,1421.1,1421.19,1421.26,1421.25,1421.27
Kajaani,1835.09,1835.09,1835.09,1835.06,1834.94,1834.77,1834.73,1834.78,1834.78,1834.73,1834.73,1834.83
Kuhmo,4806.75,4806.69,4806.69,4806.44,4806.31,4806.31,4806.57,4806.52,4806.53,4806.43,4806.45,4807.07
Paltamo,918.87,918.57,918.57,918.56,918.38,918.43,918.23,918.24,918.26,918.76,918.79,918.79
Puolanka,2461.42,2461.35,2461.35,2461.26,2461.25,2461.3,2461.28,2461.3,2461.28,2461.2,2461.21,2461.17
Ristijärvi,835.61,835.62,835.62,835.58,835.58,835.58,835.63,835.64,835.77,835.82,835.8,835.83
Sotkamo,2649.16,2649.16,2649.16,2649.28,2649.15,2649.15,2649.21,2648.8,2648.75,2648.74,2648.97,2648.88
Suomussalmi,5270.55,5270.17,5270.17,5270.1,5270.79,5270.89,5270.8,5270.58,5270.56,5270.32,5270.43,5270.33
Enontekiö,7945.54,7945.49,7945.49,7945.72,7950.4,7952.91,7952.91,7952.91,7952.59,7952.59,7953.44,7953.42
Inari,15052.26,15053.04,15053.04,15053.5,15055.1,15055.11,15056.32,15056.29,15056.29,15056.29,15058.35,15060.09
Kemi,95.35,95.41,95.41,95.38,95.38,95.37,95.37,95.37,95.37,95.3,95.32,95.38
Kemijärvi,3505.5,3504.97,3504.97,3504.98,3504.99,3504.98,3504.76,3504.13,3504.13,3504.36,3504.37,3504.39
Keminmaa,625.06,626.3,626.3,626.3,626.3,626.33,626.34,626.35,626.35,626.29,627.17,627.27
Kittilä,8094.08,8094.33,8094.33,8094.36,8094.25,8094.26,8094.58,8094.39,8094.83,8095.12,8095.28,8095.28
Kolari,2558.8,2558.81,2558.81,2558.81,2559.03,2559.19,2559.42,2559.2,2559.34,2559.21,2559.29,2559.29
Muonio,1904.3,1903.87,1903.87,1904.1,1904.1,1906.01,1906.0,1906.0,1905.96,1904.05,1904.05,1904.05
Pelkosenniemi,1836.34,1836.17,1836.17,1836.17,1836.17,1836.17,1836.2,1836.14,1836.14,1836.42,1836.4,1836.38
Pello,1737.57,1737.56,1737.56,1737.6,1737.65,1738.59,1738.76,1738.64,1738.64,1737.71,1737.73,1738.15
Posio,3038.86,3039.16,3039.16,3039.15,3039.12,3039.75,3039.79,3039.79,3039.79,3039.56,3039.73,3039.68
Ranua,3453.73,3453.71,3453.71,3453.72,3453.88,3453.94,3453.62,3453.62,3453.61,3453.41,3453.39,3454.17
Rovaniemi,7581.96,7582.06,7582.06,7581.86,7581.86,7581.73,7581.51,7581.51,7581.51,7581.51,7581.37,7581.63
Salla,5729.33,5729.85,5729.85,5730.06,5730.06,5730.06,5730.05,5729.66,5729.92,5729.65,5729.83,5729.81
Savukoski,6438.26,6438.33,6438.33,6438.65,6438.65,6438.65,6438.65,6439.2,6439.58,6439.65,6440.01,6440.08
Simo,1446.03,1446.81,1446.81,1447.35,1447.35,1447.33,1447.33,1447.34,1447.34,1447.29,1446.59,1446.30
Sodankylä,11696.81,11693.35,11693.35,11691.73,11691.73,11691.71,11691.74,11691.64,11691.7,11692.75,11692.96,11692.98
Tervola,1561.73,1559.72,1559.72,1559.71,1559.7,1559.69,1559.69,1559.74,1559.73,1559.86,1559.71,1559.72
Tornio,1186.97,1187.77,1187.77,1188.0,1188.0,1188.0,1188.05,1188.78,1188.78,1188.78,1188.7,1188.71
Utsjoki,5144.26,5144.49,5144.49,5144.49,5144.52,5145.98,5145.98,5145.98,5145.98,5145.98,5146.08,5147.16
Ylitornio,2028.86,2028.55,2028.55,2028.73,2028.74,2028.73,2028.73,2028.04,2028.04,2028.04,2028.29,2029.30
Brändö,108.0,107.88,107.88,107.88,107.88,108.14,108.17,108.17,108.17,108.17,108.18,108.18
Eckerö,107.69,107.65,107.65,107.72,107.72,107.72,107.72,107.72,107.72,107.72,107.72,107.72
Finström,123.25,123.23,123.23,123.26,123.26,123.27,123.26,123.26,123.32,123.32,123.32,123.43
Föglö,134.78,134.77,134.77,134.77,134.71,134.73,134.73,134.73,134.76,134.76,134.77,134.77
Geta,84.34,84.35,84.35,84.55,84.54,84.54,84.55,84.55,84.55,84.55,84.55,84.55
Hammarland,138.17,138.21,138.21,138.35,138.34,138.35,138.35,138.35,138.56,138.55,138.55,138.55
Jomala,142.53,142.54,142.54,142.55,142.55,142.55,142.55,142.55,142.67,142.67,142.65,142.73
Kumlinge,99.26,99.23,99.23,99.22,99.09,98.98,98.98,98.98,99.05,99.06,99.07,99.06
Kökar,63.55,63.55,63.55,63.55,63.62,63.59,63.59,63.58,63.57,63.57,63.57,63.58
Lemland,113.08,113.08,113.08,113.08,113.23,113.23,113.23,113.23,113.21,113.21,113.22,113.21
Lumparland,36.26,36.25,36.25,36.26,36.35,36.35,36.35,36.35,36.35,36.35,36.35,36.35
Maarianhamina - Mariehamn,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.81,11.81
Saltvik,151.92,151.93,151.93,152.24,152.24,152.24,152.24,152.23,152.24,152.24,152.25,152.25
Sottunga,28.04,28.05,28.05,28.04,28.04,28.04,28.04,28.04,28.03,28.03,28.04,28.03
Sund,108.12,108.12,108.12,108.18,108.2,108.21,108.21,108.21,108.2,108.2,108.2,108.21
Vårdö,101.59,101.59,101.59,101.72,101.73,101.73,101.73,101.73,101.71,101.7,101.71,101.75
