City,2011_maapinta_ala,2012_maapinta_ala,2013_maapinta_ala,2014_maapinta_ala,2015_maapinta_ala,2016_maapinta_ala,2017_maapinta_ala,2018_maapinta_ala,2019_maapinta_ala,2020_maapinta_ala,2021_maapinta_ala,2022_maapinta_ala
Huittinen,532.62,532.62,532.62,532.63,532.63,532.64,532.64,532.64,532.64,532.61,532.61,532.65
Jämijärvi,214.34,214.35,214.35,214.35,214.35,214.35,214.37,214.3,214.36,214.63,215.09,215.09
Kankaanpää,1020.34,1020.78,1020.78,1020.78,1020.78,1020.78,1020.98,1021.11,1021.0,1021.12,1021.24,1021.25
Karvia,502.38,502.0,502.0,502.13,502.13,502.14,502.16,502.18,502.18,502.18,502.22,502.22
Kokemäki,481.23,481.22,481.22,481.31,480.35,480.36,480.48,480.47,480.48,480.2,480.41,480.42
Merikarvia,446.04,446.03,446.03,446.08,446.08,446.12,446.12,446.12,446.14,446.16,446.16,446.28
Nakkila,182.91,182.91,182.91,182.91,182.91,182.91,182.91,182.91,182.9,182.9,182.93,182.93
Pomarkku,301.09,301.08,301.08,301.08,301.08,301.09,301.18,301.18,301.18,301.18,301.19,301.20
Pori,1155.18,1155.41,1155.41,1155.66,1155.67,1155.95,1155.79,1155.83,1156.01,1156.1,1156.16,1156.16
Rauma,495.62,495.6,495.6,495.66,495.74,495.73,495.83,495.83,496.02,496.17,496.35,496.43
Siikainen,463.19,463.19,463.19,463.19,463.19,463.2,463.34,463.31,463.29,463.3,463.3,463.32
Säkylä,406.63,406.65,406.65,406.65,406.65,406.75,406.75,406.75,406.75,406.89,406.85,406.85
Ulvila,400.7,400.7,400.7,400.66,400.65,400.66,400.65,400.65,400.65,400.63,400.82,400.82
Forssa,248.78,248.78,248.78,248.79,248.78,248.76,248.76,248.76,248.76,248.76,248.83,248.84
Hattula,357.82,357.81,357.81,357.81,357.81,357.81,357.8,357.81,357.79,357.79,357.79,357.80
Hausjärvi,389.81,389.31,389.31,389.32,389.32,389.32,389.36,389.36,389.36,389.42,389.42,389.42
Humppila,147.94,147.94,147.94,147.96,147.96,147.96,147.96,147.96,147.96,147.96,147.96,147.96
Hämeenlinna,1785.78,1785.21,1785.21,1785.01,1785.03,1785.05,1785.02,1785.07,1785.22,1785.35,1785.34,1785.35
Janakkala,547.43,547.44,547.44,547.44,547.46,547.44,547.44,547.44,547.42,547.41,547.41,547.41
Jokioinen,180.43,180.43,180.43,180.42,180.42,180.42,180.42,180.42,180.42,180.42,180.42,180.42
Loppi,597.59,597.6,597.6,597.52,597.53,597.6,597.63,597.63,597.63,597.69,597.69,597.69
Riihimäki,121.03,121.03,121.03,121.03,121.03,121.03,121.01,121.01,121.0,121.01,121.01,121.01
Tammela,640.4,640.39,640.39,640.39,640.39,640.53,640.53,640.53,640.53,640.58,640.61,640.59
Ypäjä,182.75,182.75,182.75,182.76,182.76,182.76,182.76,182.76,182.76,182.76,182.76,182.76
Akaa,293.14,293.14,293.14,293.15,293.15,293.15,293.14,293.26,293.26,293.26,293.26,293.26
Hämeenkyrö,463.77,463.77,463.77,463.79,463.84,463.84,463.89,463.89,463.91,463.99,463.99,463.99
Ikaalinen,750.3,750.3,750.3,750.31,750.37,750.4,750.4,750.36,750.41,750.41,750.48,750.48
Juupajoki,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.49,258.49
Kangasala,658.02,658.01,658.01,658.04,658.04,658.08,658.08,658.07,658.07,658.09,658.08,658.02
Kihniö,357.11,357.1,357.1,357.1,357.1,357.1,357.11,357.11,357.11,357.21,357.22,357.22
Kuhmoinen,660.96,660.96,660.96,660.96,660.96,660.94,660.95,660.95,660.92,660.93,660.94,660.93
Lempäälä,269.55,269.52,269.52,269.52,269.54,269.54,269.55,269.55,269.58,269.58,269.58,269.58
Mänttä-Vilppula,534.53,534.87,534.87,534.87,535.0,534.85,534.85,534.85,534.85,534.85,534.84,534.81
Nokia,288.18,288.16,288.16,288.18,288.19,288.2,288.28,288.27,288.3,288.29,288.31,288.30
Orivesi,799.56,799.57,799.57,799.63,799.63,799.65,799.65,799.65,799.65,799.65,799.63,799.72
Parkano,852.17,852.06,852.06,852.07,852.07,852.07,852.9,852.93,852.93,852.72,853.19,853.19
Pirkkala,81.38,81.39,81.39,81.39,81.43,81.43,81.43,81.42,81.42,81.42,81.42,81.42
Punkalaidun,361.07,361.08,361.08,361.08,361.08,361.08,361.08,361.08,361.08,361.1,361.1,361.10
Pälkäne,560.5,560.48,560.48,560.48,560.48,560.48,560.48,560.6,560.72,560.7,560.72,560.71
Ruovesi,776.53,776.76,776.76,776.9,776.92,776.93,776.93,776.98,776.98,776.98,776.99,776.99
Sastamala,1429.25,1429.23,1429.23,1429.15,1428.82,1428.82,1429.04,1429.04,1429.04,1429.16,1429.15,1429.12
Tampere,525.01,525.01,525.01,525.04,524.89,524.91,524.93,524.95,524.95,524.94,524.89,524.89
Urjala,475.22,475.19,475.19,475.18,475.18,475.17,475.24,475.4,475.4,475.41,475.53,475.53
Valkeakoski,271.8,271.95,271.95,271.92,271.92,271.92,271.94,272.04,272.04,272.05,272.05,272.05
Vesilahti,300.91,300.92,300.92,300.92,300.92,300.93,300.98,301.02,301.04,301.04,301.04,301.04
Virrat,1162.35,1162.31,1162.31,1162.58,1162.57,1162.57,1162.55,1162.65,1162.67,1162.68,1162.68,1162.63
Ylöjärvi,1115.46,1115.46,1115.46,1115.69,1115.72,1115.72,1115.66,1115.64,1115.73,1115.75,1115.75,1115.75
Asikkala,563.37,563.38,563.38,563.35,563.35,563.28,563.3,563.3,563.3,563.34,563.34,563.39
Hartola,542.95,542.95,542.95,542.95,542.95,542.94,542.71,542.71,542.71,542.73,542.81,542.96
Heinola,676.25,676.09,676.09,676.08,676.07,676.06,675.99,675.99,675.99,675.99,676.0,675.97
Hollola,650.91,650.89,650.89,650.92,650.97,651.19,651.17,651.16,651.15,651.23,651.23,651.41
Iitti,589.81,589.8,589.8,589.78,589.78,589.85,589.84,589.84,589.79,589.79,589.79,589.81
Kärkölä,256.47,256.47,256.47,256.46,256.48,256.48,256.49,256.49,256.51,256.5,256.5,256.50
Lahti,459.23,459.23,459.23,459.23,459.43,459.47,459.47,459.48,459.5,459.49,459.49,459.50
Orimattila,785.35,785.35,785.35,785.34,785.14,785.18,785.18,785.18,785.17,785.26,785.26,785.26
Padasjoki,523.19,523.18,523.18,523.14,523.14,523.14,523.12,523.12,523.11,523.09,523.09,523.09
