City,2010_asukkaiden_keski_ika_he,2011_asukkaiden_keski_ika_he,2012_asukkaiden_keski_ika_he,2013_asukkaiden_keski_ika_he,2014_asukkaiden_keski_ika_he,2015_asukkaiden_keski_ika_he,2016_asukkaiden_keski_ika_he,2017_asukkaiden_keski_ika_he,2018_asukkaiden_keski_ika_he,2019_asukkaiden_keski_ika_he,2020_asukkaiden_keski_ika_he,2021_asukkaiden_keski_ika_he
Virolahti,47.0,47.0,47.0,47.0,48.0,48.0,49.0,50.0,50.0,51.0,51.0,51.0
Imatra,46.0,46.0,46.0,47.0,47.0,47.0,47.0,48.0,48.0,49.0,49.0,50.0
Lappeenranta,43.0,43.0,43.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,45.0
Lemi,44.0,44.0,44.0,44.0,44.0,45.0,45.0,45.0,45.0,45.0,46.0,46.0
Luumäki,48.0,48.0,48.0,49.0,49.0,50.0,50.0,50.0,51.0,51.0,51.0,52.0
Parikkala,50.0,51.0,51.0,51.0,52.0,53.0,53.0,53.0,54.0,54.0,55.0,55.0
Rautjärvi,50.0,51.0,51.0,52.0,52.0,52.0,53.0,53.0,54.0,54.0,55.0,55.0
Ruokolahti,48.0,48.0,48.0,49.0,49.0,50.0,50.0,51.0,51.0,51.0,52.0,52.0
Savitaipale,50.0,50.0,51.0,51.0,51.0,52.0,52.0,52.0,53.0,53.0,54.0,54.0
Taipalsaari,42.0,43.0,43.0,44.0,44.0,44.0,45.0,45.0,46.0,46.0,47.0,47.0
Enonkoski,49.0,50.0,50.0,50.0,51.0,51.0,51.0,52.0,52.0,52.0,53.0,53.0
Hirvensalmi,49.0,50.0,50.0,51.0,51.0,51.0,51.0,52.0,53.0,53.0,53.0,53.0
Juva,48.0,48.0,49.0,49.0,49.0,50.0,50.0,50.0,51.0,52.0,52.0,52.0
Kangasniemi,49.0,49.0,50.0,50.0,51.0,51.0,51.0,51.0,52.0,52.0,52.0,53.0
Mikkeli,43.0,44.0,44.0,44.0,44.0,44.0,45.0,45.0,45.0,46.0,46.0,46.0
Mäntyharju,48.0,49.0,49.0,49.0,50.0,50.0,50.0,51.0,51.0,52.0,52.0,53.0
Pertunmaa,49.0,50.0,51.0,51.0,51.0,51.0,52.0,52.0,53.0,53.0,54.0,54.0
Pieksämäki,47.0,47.0,47.0,48.0,48.0,48.0,49.0,49.0,49.0,50.0,50.0,51.0
Puumala,52.0,52.0,53.0,53.0,53.0,54.0,55.0,55.0,55.0,56.0,57.0,57.0
Rantasalmi,49.0,49.0,49.0,49.0,50.0,50.0,51.0,51.0,51.0,51.0,52.0,52.0
Savonlinna,46.0,46.0,46.0,47.0,47.0,47.0,48.0,48.0,49.0,49.0,50.0,50.0
Sulkava,50.0,51.0,51.0,52.0,52.0,52.0,53.0,53.0,54.0,54.0,54.0,55.0
Iisalmi,43.0,44.0,44.0,44.0,44.0,44.0,45.0,45.0,45.0,46.0,46.0,46.0
Joroinen,45.0,46.0,46.0,46.0,47.0,47.0,47.0,48.0,48.0,49.0,49.0,50.0
Kaavi,48.0,48.0,49.0,49.0,49.0,49.0,50.0,51.0,51.0,52.0,52.0,53.0
Keitele,49.0,48.0,49.0,50.0,50.0,50.0,51.0,51.0,51.0,52.0,53.0,54.0
Kiuruvesi,45.0,46.0,46.0,46.0,46.0,47.0,47.0,48.0,48.0,48.0,48.0,49.0
Kuopio,41.0,41.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,43.0,43.0
Lapinlahti,44.0,44.0,45.0,45.0,45.0,45.0,46.0,46.0,46.0,47.0,47.0,47.0
Leppävirta,46.0,46.0,46.0,47.0,47.0,48.0,48.0,48.0,49.0,49.0,50.0,50.0
Pielavesi,48.0,49.0,49.0,49.0,49.0,50.0,50.0,50.0,51.0,51.0,52.0,52.0
Rautalampi,48.0,49.0,49.0,49.0,50.0,50.0,50.0,50.0,50.0,51.0,51.0,51.0
Rautavaara,51.0,51.0,52.0,52.0,52.0,53.0,53.0,53.0,54.0,54.0,54.0,55.0
Siilinjärvi,39.0,39.0,40.0,40.0,40.0,40.0,41.0,41.0,41.0,42.0,42.0,43.0
Sonkajärvi,47.0,47.0,47.0,48.0,48.0,49.0,49.0,50.0,50.0,51.0,51.0,52.0
Suonenjoki,47.0,47.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0,49.0,49.0,50.0
Tervo,50.0,51.0,51.0,51.0,52.0,52.0,53.0,54.0,53.0,54.0,54.0,55.0
Tuusniemi,49.0,50.0,50.0,50.0,51.0,51.0,52.0,52.0,53.0,53.0,54.0,54.0
Varkaus,45.0,45.0,46.0,46.0,47.0,47.0,47.0,48.0,48.0,49.0,49.0,50.0
Vesanto,51.0,51.0,51.0,52.0,52.0,53.0,53.0,54.0,54.0,55.0,55.0,56.0
Vieremä,45.0,45.0,45.0,45.0,45.0,46.0,46.0,46.0,46.0,47.0,47.0,47.0
Heinävesi,49.0,50.0,51.0,51.0,51.0,52.0,53.0,53.0,54.0,54.0,54.0,55.0
Ilomantsi,51.0,51.0,52.0,52.0,53.0,53.0,54.0,54.0,55.0,55.0,55.0,56.0
Joensuu,41.0,41.0,41.0,42.0,42.0,42.0,42.0,42.0,42.0,43.0,43.0,43.0
Juuka,48.0,49.0,50.0,50.0,51.0,52.0,52.0,53.0,53.0,53.0,54.0,54.0
Kitee,47.0,48.0,48.0,49.0,49.0,50.0,50.0,51.0,51.0,52.0,53.0,53.0
