City,2010_asukkaiden_keski_ika_he,2011_asukkaiden_keski_ika_he,2012_asukkaiden_keski_ika_he,2013_asukkaiden_keski_ika_he,2014_asukkaiden_keski_ika_he,2015_asukkaiden_keski_ika_he,2016_asukkaiden_keski_ika_he,2017_asukkaiden_keski_ika_he,2018_asukkaiden_keski_ika_he,2019_asukkaiden_keski_ika_he,2020_asukkaiden_keski_ika_he,2021_asukkaiden_keski_ika_he
Eckerö,44.0,44.0,45.0,45.0,45.0,46.0,47.0,46.0,47.0,47.0,47.0,48.0
Finström,41.0,41.0,41.0,42.0,42.0,42.0,42.0,43.0,43.0,43.0,43.0,43.0
Föglö,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
Geta,44.0,43.0,43.0,44.0,45.0,45.0,45.0,46.0,45.0,45.0,45.0,46.0
Hammarland,42.0,41.0,42.0,42.0,42.0,42.0,43.0,43.0,43.0,43.0,44.0,44.0
Jomala,38.0,38.0,38.0,38.0,38.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0
Kumlinge,49.0,49.0,51.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0,54.0,53.0
Kökar,48.0,49.0,50.0,51.0,50.0,50.0,51.0,53.0,53.0,53.0,55.0,54.0
Lemland,40.0,40.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0
Lumparland,44.0,45.0,46.0,44.0,45.0,46.0,47.0,47.0,47.0,49.0,48.0,48.0
Maarianhamina,43.0,43.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,45.0,45.0
Saltvik,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,44.0,44.0,45.0,45.0
Sottunga,49.0,54.0,54.0,56.0,56.0,58.0,56.0,58.0,57.0,59.0,54.0,51.0
Sund,44.0,44.0,44.0,44.0,45.0,45.0,46.0,46.0,46.0,46.0,46.0,47.0
Vårdö,47.0,47.0,48.0,47.0,47.0,47.0,48.0,49.0,47.0,48.0,47.0,47.0
