City,2011_ruotsinkielisia,2012_ruotsinkielisia,2013_ruotsinkielisia,2014_ruotsinkielisia,2015_ruotsinkielisia,2016_ruotsinkielisia,2017_ruotsinkielisia,2018_ruotsinkielisia,2019_ruotsinkielisia,2020_ruotsinkielisia,2021_ruotsinkielisia,2022_ruotsinkielisia
Kolari,28.0,26.0,26.0,26.0,25.0,26.0,31.0,30.0,31.0,28.0,28.0,29
Muonio,14.0,16.0,14.0,13.0,15.0,15.0,15.0,13.0,14.0,13.0,16.0,13
Pelkosenniemi,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3
Pello,11.0,12.0,12.0,14.0,17.0,18.0,19.0,20.0,20.0,20.0,18.0,19
Posio,5.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,6.0,6.0,4.0,3
Ranua,3.0,2.0,2.0,2.0,1.0,5.0,5.0,1.0,3.0,3.0,7.0,7
Rovaniemi,97.0,90.0,98.0,101.0,106.0,105.0,112.0,128.0,116.0,129.0,129.0,137
Salla,5.0,6.0,6.0,8.0,9.0,12.0,11.0,11.0,7.0,11.0,11.0,14
Savukoski,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3
Simo,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4
Sodankylä,14.0,15.0,12.0,17.0,13.0,12.0,12.0,15.0,15.0,12.0,15.0,16
Tervola,3.0,3.0,3.0,3.0,2.0,3.0,8.0,9.0,10.0,3.0,4.0,4
Tornio,85.0,99.0,102.0,105.0,103.0,99.0,95.0,98.0,108.0,113.0,118.0,104
Utsjoki,4.0,5.0,6.0,8.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,4
Ylitornio,15.0,14.0,11.0,14.0,19.0,20.0,20.0,22.0,31.0,27.0,26.0,25
Brändö,394.0,381.0,374.0,366.0,354.0,349.0,328.0,329.0,327.0,322.0,324.0,316
Eckerö,870.0,860.0,844.0,837.0,844.0,838.0,850.0,852.0,841.0,840.0,823.0,822
Finström,2337.0,2320.0,2310.0,2316.0,2292.0,2331.0,2317.0,2324.0,2333.0,2339.0,2372.0,2335
Föglö,502.0,500.0,490.0,481.0,474.0,474.0,448.0,446.0,441.0,438.0,422.0,420
Geta,440.0,442.0,436.0,431.0,440.0,436.0,430.0,448.0,423.0,434.0,432.0,432
Hammarland,1424.0,1415.0,1424.0,1404.0,1408.0,1378.0,1387.0,1422.0,1428.0,1419.0,1430.0,1451
Jomala,3872.0,3947.0,3986.0,4084.0,4175.0,4243.0,4327.0,4473.0,4620.0,4738.0,4850.0,4933
Kumlinge,316.0,307.0,298.0,294.0,285.0,277.0,268.0,277.0,273.0,264.0,263.0,259
Kökar,224.0,220.0,222.0,227.0,226.0,215.0,207.0,202.0,197.0,195.0,193.0,194
Lemland,1737.0,1758.0,1789.0,1796.0,1842.0,1851.0,1867.0,1865.0,1888.0,1947.0,1950.0,1950
Lumparland,369.0,361.0,376.0,377.0,358.0,341.0,342.0,323.0,314.0,316.0,318.0,309
Maarianhamina - Mariehamn,9734.0,9751.0,9762.0,9796.0,9695.0,9773.0,9830.0,9806.0,9724.0,9699.0,9692.0,9650
Saltvik,1691.0,1692.0,1682.0,1690.0,1706.0,1694.0,1721.0,1711.0,1690.0,1659.0,1646.0,1619
Sottunga,93.0,91.0,91.0,91.0,90.0,88.0,86.0,83.0,84.0,97.0,97.0,101
Sund,956.0,967.0,950.0,945.0,938.0,917.0,916.0,904.0,900.0,889.0,904.0,885
Vårdö,400.0,383.0,390.0,396.0,397.0,387.0,379.0,383.0,379.0,390.0,389.0,381
