City,2011_ruotsinkielisia,2012_ruotsinkielisia,2013_ruotsinkielisia,2014_ruotsinkielisia,2015_ruotsinkielisia,2016_ruotsinkielisia,2017_ruotsinkielisia,2018_ruotsinkielisia,2019_ruotsinkielisia,2020_ruotsinkielisia,2021_ruotsinkielisia,2022_ruotsinkielisia
Tervo,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2
Tuusniemi,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3
Varkaus,47.0,48.0,50.0,54.0,54.0,53.0,44.0,42.0,42.0,42.0,41.0,38
Vesanto,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2
Vieremä,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4
Heinävesi,7.0,5.0,4.0,5.0,5.0,7.0,8.0,8.0,8.0,9.0,9.0,10
Ilomantsi,9.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,12
Joensuu,56.0,59.0,58.0,56.0,58.0,61.0,61.0,61.0,62.0,69.0,67.0,83
Juuka,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,2
Kitee,7.0,4.0,4.0,4.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,3
Kontiolahti,11.0,6.0,7.0,11.0,11.0,11.0,12.0,14.0,12.0,12.0,14.0,12
Lieksa,12.0,10.0,9.0,9.0,10.0,9.0,9.0,11.0,10.0,10.0,10.0,11
Liperi,15.0,18.0,18.0,19.0,18.0,17.0,16.0,17.0,15.0,8.0,8.0,7
Nurmes,8.0,8.0,8.0,8.0,7.0,8.0,10.0,7.0,7.0,6.0,7.0,8
Outokumpu,11.0,12.0,8.0,8.0,8.0,10.0,10.0,10.0,8.0,10.0,9.0,9
Polvijärvi,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5
Rääkkylä,4.0,4.0,6.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,2
Tohmajärvi,4.0,4.0,3.0,4.0,3.0,8.0,8.0,1.0,1.0,5.0,11.0,9
Hankasalmi,11.0,10.0,10.0,9.0,7.0,7.0,9.0,10.0,10.0,10.0,11.0,11
Joutsa,10.0,11.0,12.0,12.0,11.0,11.0,12.0,11.0,9.0,9.0,8.0,10
Jyväskylä,305.0,299.0,291.0,312.0,308.0,304.0,295.0,303.0,293.0,296.0,293.0,299
Jämsä,26.0,30.0,32.0,30.0,31.0,33.0,33.0,35.0,32.0,31.0,28.0,25
Kannonkoski,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Karstula,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,3.0,1.0,1
Keuruu,11.0,13.0,12.0,13.0,13.0,13.0,13.0,14.0,16.0,20.0,21.0,20
Kinnula,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Kivijärvi,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Konnevesi,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0
Kyyjärvi,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1
Laukaa,23.0,20.0,24.0,23.0,23.0,20.0,21.0,23.0,25.0,25.0,27.0,26
Luhanka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Multia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2
Muurame,11.0,10.0,10.0,10.0,11.0,13.0,12.0,13.0,12.0,12.0,11.0,12
Petäjävesi,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,5
Pihtipudas,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0
Saarijärvi,6.0,7.0,8.0,11.0,14.0,14.0,14.0,14.0,12.0,13.0,12.0,13
Toivakka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
Uurainen,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3
Viitasaari,11.0,13.0,10.0,10.0,11.0,9.0,9.0,9.0,9.0,11.0,10.0,12
Äänekoski,23.0,22.0,23.0,21.0,18.0,19.0,17.0,17.0,20.0,19.0,21.0,21
Alajärvi,7.0,9.0,9.0,11.0,11.0,11.0,11.0,11.0,12.0,13.0,12.0,12
Alavus,8.0,6.0,14.0,6.0,6.0,6.0,7.0,6.0,7.0,8.0,7.0,7
Evijärvi,50.0,50.0,52.0,52.0,51.0,49.0,49.0,48.0,49.0,46.0,48.0,46
Ilmajoki,21.0,22.0,24.0,26.0,26.0,29.0,27.0,26.0,26.0,26.0,26.0,27
Isojoki,17.0,17.0,17.0,16.0,21.0,21.0,20.0,19.0,19.0,17.0,16.0,16
Isokyrö,29.0,31.0,33.0,34.0,34.0,34.0,30.0,35.0,35.0,34.0,34.0,32
Karijoki,26.0,26.0,28.0,24.0,25.0,23.0,23.0,22.0,24.0,21.0,19.0,20
Kauhajoki,29.0,31.0,34.0,35.0,35.0,37.0,38.0,37.0,37.0,42.0,48.0,45
Kauhava,92.0,92.0,93.0,92.0,92.0,96.0,106.0,105.0,103.0,107.0,106.0,97
Kuortane,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,5
Kurikka,64.0,64.0,68.0,67.0,73.0,70.0,75.0,73.0,78.0,88.0,86.0,85
Lappajärvi,19.0,19.0,19.0,18.0,18.0,16.0,15.0,13.0,12.0,13.0,11.0,11
Lapua,17.0,19.0,20.0,15.0,20.0,17.0,21.0,21.0,21.0,25.0,24.0,22
Seinäjoki,110.0,104.0,115.0,119.0,125.0,125.0,125.0,132.0,138.0,149.0,147.0,143
Soini,5.0,5.0,5.0,7.0,6.0,5.0,4.0,4.0,2.0,2.0,2.0,2
Teuva,35.0,34.0,31.0,33.0,37.0,43.0,39.0,38.0,41.0,37.0,36.0,41
Vimpeli,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5
Ähtäri,3.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,6.0,6
Kaskinen,387.0,384.0,385.0,385.0,374.0,378.0,381.0,368.0,360.0,357.0,353.0,338
Korsnäs,1994.0,1973.0,1934.0,1930.0,1906.0,1874.0,1848.0,1820.0,1781.0,1763.0,1737.0,1706
Kristiinankaupunki,3976.0,3937.0,3878.0,3818.0,3761.0,3707.0,3625.0,3591.0,3539.0,3481.0,3427.0,3351
Kruunupyy,5472.0,5429.0,5391.0,5332.0,5301.0,5228.0,5123.0,5060.0,4996.0,4942.0,4948.0,4903
Laihia,85.0,86.0,93.0,91.0,92.0,93.0,92.0,93.0,84.0,87.0,90.0,90
Luoto,4536.0,4578.0,4683.0,4713.0,4746.0,4765.0,4831.0,4915.0,4975.0,5071.0,5170.0,5277
Maalahti,4871.0,4830.0,4802.0,4782.0,4713.0,4701.0,4685.0,4669.0,4661.0,4650.0,4679.0,4671
Mustasaari,13126.0,13197.0,13209.0,13267.0,13294.0,13328.0,13359.0,13350.0,13326.0,13358.0,13435.0,13483
Närpiö,8123.0,8021.0,7915.0,7857.0,7747.0,7682.0,7642.0,7553.0,7486.0,7403.0,7303.0,7212
Pedersören kunta,9817.0,9820.0,9835.0,9887.0,9932.0,9888.0,9895.0,9801.0,9839.0,9887.0,9920.0,9926
