City,2011_ulkomaalaistaustaisia,2012_ulkomaalaistaustaisia,2013_ulkomaalaistaustaisia,2014_ulkomaalaistaustaisia,2015_ulkomaalaistaustaisia,2016_ulkomaalaistaustaisia,2017_ulkomaalaistaustaisia,2018_ulkomaalaistaustaisia,2019_ulkomaalaistaustaisia,2020_ulkomaalaistaustaisia,2021_ulkomaalaistaustaisia,2022_ulkomaalaistaustaisia
Outokumpu,198.0,226.0,239.0,235.0,227.0,241.0,269.0,248.0,258.0,249.0,278.0,305
Polvijärvi,31.0,36.0,38.0,37.0,40.0,39.0,37.0,35.0,38.0,39.0,47.0,56
Rääkkylä,79.0,72.0,78.0,78.0,74.0,70.0,64.0,66.0,64.0,68.0,71.0,68
Tohmajärvi,216.0,216.0,230.0,237.0,236.0,219.0,221.0,225.0,229.0,227.0,228.0,230
Hankasalmi,60.0,64.0,64.0,61.0,71.0,68.0,66.0,71.0,74.0,80.0,78.0,81
Joutsa,75.0,72.0,79.0,81.0,88.0,102.0,93.0,93.0,93.0,97.0,113.0,108
Jyväskylä,4885.0,5262.0,5591.0,5963.0,6250.0,6769.0,7108.0,7327.0,7650.0,7897.0,8219.0,8855
Jämsä,303.0,321.0,343.0,343.0,342.0,386.0,393.0,418.0,420.0,447.0,484.0,474
Kannonkoski,15.0,15.0,15.0,18.0,23.0,21.0,23.0,26.0,27.0,27.0,26.0,25
Karstula,46.0,47.0,48.0,41.0,41.0,47.0,50.0,51.0,54.0,55.0,52.0,58
Keuruu,140.0,144.0,158.0,176.0,164.0,214.0,219.0,209.0,220.0,215.0,232.0,271
Kinnula,13.0,15.0,16.0,15.0,14.0,14.0,13.0,12.0,12.0,9.0,8.0,8
Kivijärvi,12.0,10.0,10.0,9.0,11.0,14.0,13.0,13.0,14.0,15.0,21.0,19
Konnevesi,21.0,20.0,25.0,28.0,27.0,25.0,25.0,24.0,25.0,24.0,28.0,30
Kyyjärvi,18.0,17.0,14.0,12.0,13.0,22.0,20.0,25.0,27.0,30.0,23.0,22
Laukaa,210.0,225.0,234.0,245.0,231.0,259.0,279.0,263.0,269.0,268.0,276.0,287
Luhanka,3.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,7.0,11.0,8.0,5
Multia,19.0,20.0,21.0,18.0,18.0,17.0,18.0,18.0,21.0,22.0,24.0,29
Muurame,115.0,116.0,116.0,125.0,137.0,157.0,154.0,157.0,156.0,168.0,195.0,205
Petäjävesi,39.0,44.0,43.0,44.0,50.0,59.0,61.0,57.0,59.0,58.0,55.0,53
Pihtipudas,32.0,29.0,30.0,31.0,36.0,35.0,36.0,36.0,40.0,35.0,37.0,35
Saarijärvi,103.0,119.0,117.0,124.0,114.0,120.0,147.0,118.0,111.0,115.0,124.0,129
Toivakka,18.0,15.0,23.0,24.0,23.0,27.0,27.0,29.0,28.0,32.0,34.0,41
Uurainen,32.0,34.0,33.0,33.0,41.0,44.0,45.0,42.0,41.0,41.0,43.0,45
Viitasaari,67.0,72.0,67.0,65.0,64.0,80.0,85.0,84.0,94.0,102.0,118.0,128
Äänekoski,276.0,284.0,289.0,294.0,304.0,330.0,317.0,310.0,340.0,355.0,358.0,342
Alajärvi,223.0,220.0,258.0,261.0,234.0,207.0,222.0,237.0,265.0,300.0,292.0,319
Alavus,115.0,134.0,148.0,153.0,177.0,178.0,181.0,181.0,182.0,198.0,201.0,257
Evijärvi,53.0,59.0,82.0,80.0,84.0,77.0,78.0,82.0,83.0,81.0,92.0,93
Ilmajoki,108.0,127.0,129.0,123.0,114.0,120.0,112.0,148.0,149.0,187.0,198.0,207
Isojoki,61.0,60.0,63.0,66.0,66.0,68.0,76.0,74.0,75.0,77.0,77.0,74
Isokyrö,57.0,51.0,57.0,58.0,47.0,44.0,48.0,52.0,52.0,49.0,54.0,66
Karijoki,17.0,21.0,15.0,14.0,14.0,18.0,12.0,9.0,10.0,11.0,18.0,25
Kauhajoki,231.0,259.0,297.0,318.0,320.0,340.0,339.0,338.0,347.0,364.0,395.0,426
Kauhava,305.0,363.0,429.0,453.0,468.0,482.0,474.0,472.0,495.0,515.0,521.0,524
Kuortane,49.0,58.0,55.0,58.0,67.0,63.0,61.0,56.0,62.0,69.0,66.0,63
Kurikka,294.0,316.0,347.0,381.0,379.0,366.0,380.0,380.0,389.0,379.0,392.0,415
Lappajärvi,80.0,102.0,116.0,117.0,107.0,103.0,140.0,157.0,144.0,134.0,137.0,145
Lapua,289.0,323.0,364.0,382.0,380.0,393.0,380.0,418.0,415.0,416.0,423.0,443
Seinäjoki,987.0,1138.0,1252.0,1378.0,1420.0,1524.0,1563.0,1609.0,1774.0,1884.0,2046.0,2342
Soini,20.0,22.0,22.0,23.0,20.0,18.0,17.0,18.0,20.0,27.0,31.0,31
Teuva,47.0,51.0,61.0,70.0,64.0,69.0,70.0,64.0,70.0,72.0,83.0,100
Vimpeli,24.0,24.0,23.0,22.0,20.0,22.0,26.0,29.0,41.0,42.0,53.0,51
Ähtäri,59.0,67.0,63.0,66.0,61.0,66.0,62.0,66.0,70.0,63.0,79.0,91
Kaskinen,96.0,97.0,93.0,92.0,88.0,91.0,88.0,98.0,105.0,142.0,164.0,173
Korsnäs,212.0,221.0,243.0,249.0,255.0,247.0,268.0,263.0,253.0,264.0,272.0,276
Kristiinankaupunki,197.0,224.0,270.0,238.0,281.0,309.0,317.0,316.0,300.0,313.0,356.0,344
Kruunupyy,149.0,165.0,188.0,203.0,221.0,230.0,242.0,248.0,259.0,278.0,298.0,307
Laihia,76.0,84.0,85.0,87.0,89.0,93.0,102.0,114.0,128.0,142.0,142.0,146
Luoto,106.0,107.0,102.0,117.0,123.0,130.0,157.0,149.0,170.0,187.0,178.0,186
Maalahti,251.0,272.0,276.0,293.0,308.0,323.0,313.0,326.0,334.0,327.0,330.0,336
Mustasaari,362.0,400.0,444.0,494.0,499.0,522.0,541.0,582.0,615.0,618.0,602.0,673
Närpiö,866.0,944.0,1021.0,1128.0,1228.0,1357.0,1464.0,1519.0,1593.0,1769.0,1874.0,1986
Pedersören kunta,206.0,213.0,224.0,254.0,292.0,309.0,321.0,334.0,377.0,404.0,390.0,432
Pietarsaari,1195.0,1372.0,1453.0,1528.0,1606.0,1703.0,1797.0,1862.0,1942.0,2060.0,2201.0,2506
Uusikaarlepyy,365.0,408.0,454.0,486.0,515.0,498.0,529.0,549.0,608.0,636.0,657.0,702
Vaasa,4476.0,4721.0,5047.0,5363.0,5585.0,5696.0,6004.0,6244.0,6418.0,6482.0,6793.0,7290
Vöyri,391.0,374.0,385.0,422.0,454.0,506.0,490.0,515.0,460.0,431.0,456.0,446
Halsua,14.0,18.0,17.0,20.0,35.0,31.0,32.0,42.0,37.0,38.0,43.0,45
Kannus,56.0,74.0,82.0,91.0,99.0,102.0,105.0,101.0,108.0,112.0,122.0,141
Kaustinen,54.0,73.0,82.0,83.0,94.0,96.0,90.0,90.0,96.0,97.0,94.0,93
Kokkola,1138.0,1185.0,1299.0,1372.0,1522.0,1668.0,1681.0,1680.0,1732.0,1816.0,1937.0,2091
Lestijärvi,15.0,15.0,9.0,12.0,14.0,15.0,15.0,13.0,14.0,14.0,11.0,10
Perho,24.0,39.0,34.0,28.0,21.0,22.0,27.0,27.0,22.0,23.0,25.0,22
Toholampi,31.0,34.0,46.0,48.0,46.0,42.0,45.0,38.0,47.0,53.0,61.0,62
Veteli,50.0,57.0,58.0,60.0,55.0,74.0,63.0,67.0,67.0,65.0,67.0,73
Alavieska,12.0,24.0,24.0,20.0,22.0,22.0,25.0,26.0,25.0,24.0,22.0,26
Haapajärvi,82.0,82.0,96.0,106.0,105.0,120.0,129.0,126.0,112.0,103.0,121.0,128
Haapavesi,86.0,85.0,96.0,103.0,102.0,117.0,91.0,92.0,93.0,115.0,157.0,181
Hailuoto,9.0,9.0,9.0,10.0,11.0,13.0,13.0,17.0,17.0,16.0,20.0,21
Ii,68.0,67.0,71.0,75.0,70.0,69.0,71.0,80.0,87.0,94.0,101.0,95
Kalajoki,197.0,200.0,198.0,217.0,227.0,251.0,280.0,294.0,321.0,332.0,359.0,397
Kempele,171.0,172.0,178.0,192.0,198.0,225.0,222.0,232.0,233.0,245.0,261.0,286
Kuusamo,209.0,213.0,216.0,223.0,249.0,282.0,279.0,294.0,361.0,403.0,434.0,506
Kärsämäki,20.0,26.0,24.0,25.0,25.0,26.0,24.0,25.0,28.0,30.0,28.0,28
Liminka,42.0,40.0,46.0,50.0,56.0,55.0,56.0,73.0,73.0,79.0,64.0,79
