City,2011_vakiluvun_muutos,2012_vakiluvun_muutos,2013_vakiluvun_muutos,2014_vakiluvun_muutos,2015_vakiluvun_muutos,2016_vakiluvun_muutos,2017_vakiluvun_muutos,2018_vakiluvun_muutos,2019_vakiluvun_muutos,2020_vakiluvun_muutos,2021_vakiluvun_muutos,2022_vakiluvun_muutos
Kemi,-138.0,-142.0,-137.0,-191.0,-171.0,-156.0,-346.0,-235.0,-314.0,-270.0,-455.0,-483
Kemijärvi,-123.0,-202.0,-110.0,-91.0,-126.0,-105.0,-127.0,-164.0,-96.0,-83.0,-86.0,-109
Keminmaa,-1.0,13.0,-20.0,-96.0,-81.0,-72.0,-20.0,-149.0,-68.0,-95.0,-80.0,-133
Kittilä,96.0,109.0,90.0,-8.0,-54.0,-33.0,38.0,15.0,17.0,-17.0,87.0,114
Kolari,-3.0,17.0,32.0,-45.0,8.0,-21.0,27.0,-20.0,12.0,79.0,64.0,10
Muonio,-32.0,25.0,-11.0,-8.0,-17.0,-8.0,-18.0,-33.0,9.0,-11.0,24.0,-40
Pelkosenniemi,-35.0,-10.0,3.0,-19.0,11.0,-7.0,7.0,-4.0,-15.0,-8.0,-7.0,23
Pello,-68.0,-93.0,-80.0,-63.0,-53.0,-58.0,-55.0,-72.0,-65.0,-69.0,-8.0,-34
Posio,-56.0,-80.0,-91.0,-14.0,-156.0,-53.0,-114.0,-73.0,-54.0,-66.0,-51.0,-67
Ranua,-75.0,-35.0,-73.0,-61.0,-73.0,3.0,-51.0,-76.0,-113.0,-71.0,-42.0,-52
Rovaniemi,547.0,240.0,338.0,336.0,287.0,393.0,189.0,502.0,120.0,486.0,652.0,355
Salla,-110.0,-73.0,-89.0,-109.0,-54.0,-74.0,-78.0,-84.0,-91.0,7.0,9.0,-80
Savukoski,-23.0,-29.0,-1.0,-23.0,-42.0,-17.0,-32.0,3.0,-10.0,4.0,0.0,-21
Simo,-48.0,-12.0,-73.0,-60.0,-58.0,-68.0,-60.0,-65.0,-57.0,-38.0,-46.0,-27
Sodankylä,27.0,28.0,50.0,-64.0,-38.0,-129.0,-108.0,-101.0,-141.0,-37.0,-79.0,-53
Tervola,-57.0,-48.0,-33.0,-67.0,-44.0,-96.0,-31.0,-6.0,-61.0,-76.0,-43.0,-19
Tornio,32.0,-56.0,-118.0,-49.0,-123.0,-82.0,-189.0,-53.0,-273.0,-135.0,-134.0,-106
Utsjoki,-3.0,-9.0,-6.0,-19.0,-10.0,-9.0,1.0,-10.0,-20.0,7.0,-43.0,4
Ylitornio,-81.0,-94.0,-74.0,-134.0,-57.0,-91.0,-82.0,-96.0,-104.0,-28.0,-60.0,-42
Brändö,-8.0,-4.0,-1.0,-1.0,-4.0,1.0,-19.0,-3.0,-4.0,4.0,0.0,1
Eckerö,35.0,-18.0,-13.0,-15.0,3.0,-7.0,20.0,13.0,-9.0,6.0,-25.0,6
Finström,25.0,4.0,-11.0,15.0,-13.0,72.0,-14.0,8.0,5.0,10.0,35.0,-50
