City,2011_vakiluvun_muutos,2012_vakiluvun_muutos,2013_vakiluvun_muutos,2014_vakiluvun_muutos,2015_vakiluvun_muutos,2016_vakiluvun_muutos,2017_vakiluvun_muutos,2018_vakiluvun_muutos,2019_vakiluvun_muutos,2020_vakiluvun_muutos,2021_vakiluvun_muutos,2022_vakiluvun_muutos
Ruokolahti,-73.0,-18.0,-70.0,-103.0,-92.0,-67.0,-27.0,-119.0,-105.0,-72.0,-9.0,-71
Savitaipale,-74.0,-25.0,-35.0,-62.0,-54.0,-79.0,-54.0,-51.0,-46.0,-57.0,-65.0,-5
Taipalsaari,-56.0,-15.0,-14.0,-28.0,17.0,17.0,-58.0,-59.0,-44.0,-43.0,-33.0,-36
Enonkoski,-49.0,-34.0,-10.0,-19.0,-30.0,-20.0,-37.0,-11.0,-44.0,8.0,-7.0,-21
Hirvensalmi,-50.0,-12.0,-39.0,-12.0,-36.0,-16.0,-38.0,-84.0,-16.0,20.0,-25.0,-40
Juva,-60.0,-119.0,-99.0,-68.0,-68.0,-127.0,-87.0,-109.0,-109.0,-184.0,-45.0,-118
Kangasniemi,-99.0,-26.0,-38.0,-108.0,-65.0,-25.0,-54.0,-97.0,-96.0,-44.0,-82.0,-76
Mikkeli,75.0,-11.0,116.0,-30.0,60.0,-148.0,-256.0,-443.0,-684.0,-551.0,-461.0,-142
Mäntyharju,-63.0,-37.0,-69.0,-21.0,-107.0,-62.0,-43.0,-130.0,-133.0,-115.0,-41.0,-71
Pertunmaa,-26.0,-53.0,-15.0,-10.0,-15.0,-21.0,-57.0,-26.0,-23.0,-36.0,-10.0,-44
Pieksämäki,-169.0,-293.0,-119.0,-237.0,-250.0,-326.0,-255.0,-287.0,-251.0,-307.0,-122.0,-176
Puumala,-58.0,-45.0,-55.0,-13.0,-46.0,-26.0,-26.0,-11.0,-46.0,-14.0,-20.0,-10
Rantasalmi,-47.0,-28.0,-49.0,-57.0,-82.0,-84.0,-96.0,-39.0,-83.0,-67.0,-34.0,-22
Savonlinna,-205.0,-270.0,-328.0,-312.0,-421.0,-281.0,-578.0,-1053.0,-637.0,-312.0,-115.0,-462
Sulkava,-62.0,-32.0,-50.0,-5.0,-65.0,-63.0,-73.0,-58.0,-38.0,-10.0,-52.0,-55
Iisalmi,52.0,-12.0,36.0,-56.0,-170.0,-178.0,-128.0,-167.0,-104.0,-244.0,-166.0,-157
Joroinen,-52.0,-51.0,-78.0,-35.0,-68.0,-71.0,-122.0,-105.0,-45.0,-78.0,-65.0,-84
Kaavi,8.0,-70.0,-54.0,-47.0,-20.0,-40.0,-106.0,-58.0,-97.0,-86.0,-29.0,-89
Keitele,-18.0,-48.0,-49.0,-29.0,-19.0,-33.0,-37.0,-65.0,-42.0,-47.0,-60.0,-66
Kiuruvesi,-94.0,-74.0,-123.0,-114.0,-152.0,-156.0,-161.0,-130.0,-155.0,-144.0,-95.0,-162
Kuopio,583.0,1136.0,1053.0,1063.0,750.0,819.0,469.0,455.0,618.0,928.0,1333.0,1051
Lapinlahti,-26.0,-97.0,-113.0,-83.0,-111.0,-100.0,-190.0,-75.0,-132.0,-127.0,-111.0,-148
Leppävirta,-151.0,-131.0,-104.0,-155.0,-62.0,-88.0,-83.0,-132.0,-196.0,-52.0,-122.0,-103
Pielavesi,-81.0,-80.0,-102.0,-37.0,-47.0,-43.0,-73.0,-126.0,-107.0,-70.0,-52.0,-129
Rautalampi,6.0,-37.0,-18.0,-52.0,-71.0,-15.0,-33.0,-59.0,-75.0,-68.0,-20.0,-69
Rautavaara,-24.0,-35.0,-29.0,-16.0,-31.0,-14.0,-25.0,-47.0,-49.0,-41.0,-48.0,-36
Siilinjärvi,301.0,120.0,136.0,101.0,126.0,-26.0,-111.0,17.0,-251.0,-172.0,42.0,-61
Sonkajärvi,-71.0,-107.0,-39.0,-118.0,-58.0,-79.0,-124.0,-108.0,-70.0,-56.0,-64.0,-105
Suonenjoki,-21.0,-81.0,-40.0,-37.0,-29.0,-78.0,-46.0,-121.0,-81.0,-133.0,-40.0,-128
Tervo,-6.0,4.0,-35.0,-42.0,-19.0,3.0,-26.0,-18.0,-47.0,-17.0,-24.0,-38
Tuusniemi,-44.0,-25.0,7.0,-52.0,-31.0,-76.0,-46.0,-46.0,-74.0,-44.0,-13.0,-26
Varkaus,-171.0,-266.0,-233.0,-247.0,-222.0,-170.0,-313.0,-326.0,-363.0,-188.0,-305.0,-214
Vesanto,-36.0,-62.0,-40.0,-44.0,-53.0,-43.0,-54.0,-36.0,-44.0,-42.0,-31.0,-47
Vieremä,-20.0,-32.0,-56.0,-58.0,-59.0,-36.0,-36.0,-9.0,-97.0,-57.0,-32.0,-63
Heinävesi,-85.0,-85.0,-75.0,-29.0,-64.0,-60.0,-59.0,-126.0,-75.0,-58.0,-60.0,-75
Ilomantsi,-49.0,-141.0,-79.0,-110.0,-168.0,-99.0,-109.0,-155.0,-116.0,-108.0,-106.0,-151
Joensuu,453.0,410.0,303.0,570.0,473.0,334.0,219.0,484.0,299.0,85.0,326.0,252
Juuka,-136.0,-129.0,-121.0,-63.0,-106.0,-96.0,-121.0,-108.0,-103.0,-79.0,-83.0,-92
Kitee,-151.0,-174.0,-144.0,-211.0,-154.0,-113.0,-233.0,-128.0,-222.0,-203.0,-56.0,-150
Kontiolahti,278.0,245.0,177.0,259.0,146.0,-21.0,24.0,19.0,-28.0,36.0,178.0,122
Lieksa,-102.0,-186.0,-96.0,-186.0,-345.0,-192.0,-283.0,-199.0,-214.0,-165.0,-176.0,-171
Liperi,15.0,111.0,-1.0,-61.0,3.0,-37.0,-151.0,-5.0,-61.0,-90.0,-15.0,-17
Nurmes,-170.0,-67.0,-159.0,-126.0,-124.0,-190.0,-147.0,-199.0,-232.0,-51.0,-78.0,-180
Outokumpu,-34.0,-34.0,-81.0,-90.0,-33.0,-48.0,-88.0,-200.0,-115.0,-136.0,-46.0,-49
Polvijärvi,-26.0,-50.0,-64.0,-55.0,-53.0,-42.0,-100.0,-107.0,-61.0,-45.0,-40.0,-77
Rääkkylä,-22.0,-42.0,-23.0,-32.0,-86.0,-81.0,-28.0,-59.0,-55.0,-60.0,-34.0,-72
Tohmajärvi,-16.0,-95.0,-21.0,-82.0,-56.0,-85.0,-82.0,-89.0,-121.0,-54.0,-66.0,-81
Hankasalmi,-51.0,-38.0,-49.0,-97.0,-67.0,-81.0,-140.0,-80.0,-64.0,-93.0,-99.0,-82
Joutsa,-95.0,-60.0,-41.0,-75.0,-94.0,-15.0,-106.0,-100.0,-90.0,-80.0,-34.0,-92
Jyväskylä,1246.0,1420.0,1176.0,1122.0,1588.0,1482.0,1338.0,1117.0,1095.0,1020.0,1053.0,1414
Jämsä,-184.0,-153.0,-216.0,-330.0,-266.0,-283.0,-382.0,-270.0,-425.0,-295.0,-120.0,-420
Kannonkoski,-33.0,9.0,-33.0,-45.0,-13.0,-38.0,-16.0,-55.0,-14.0,-16.0,-12.0,-42
Karstula,-45.0,-86.0,-33.0,-57.0,-18.0,-36.0,-86.0,-115.0,-82.0,-91.0,-84.0,-109
Keuruu,-92.0,-86.0,-178.0,-133.0,-60.0,-125.0,-73.0,-157.0,-157.0,-119.0,-43.0,-193
Kinnula,-5.0,-52.0,5.0,-3.0,-21.0,-46.0,-43.0,-41.0,5.0,-23.0,-16.0,-27
Kivijärvi,-30.0,-31.0,-44.0,-15.0,-44.0,-39.0,-29.0,-29.0,-7.0,11.0,-19.0,-24
Konnevesi,-39.0,-20.0,-58.0,-15.0,-74.0,-4.0,-5.0,-50.0,-71.0,-34.0,-7.0,-65
Kyyjärvi,-5.0,-34.0,-38.0,-32.0,-20.0,-4.0,-23.0,-9.0,-30.0,-25.0,-56.0,-36
Laukaa,144.0,195.0,107.0,121.0,156.0,105.0,8.0,-51.0,-24.0,-80.0,-35.0,-13
Luhanka,-29.0,-29.0,-10.0,-2.0,0.0,-5.0,-22.0,-27.0,-17.0,9.0,4.0,-11
Multia,-43.0,-31.0,-39.0,-14.0,-53.0,-47.0,-27.0,-52.0,-18.0,-8.0,-70.0,-11
Muurame,182.0,131.0,3.0,128.0,91.0,150.0,156.0,73.0,-6.0,103.0,159.0,60
Petäjävesi,43.0,30.0,30.0,-44.0,-73.0,-27.0,-61.0,-20.0,-59.0,-69.0,-94.0,-27
Pihtipudas,-63.0,-59.0,-87.0,-93.0,-40.0,-19.0,-75.0,-74.0,-21.0,-101.0,-58.0,-87
Saarijärvi,-200.0,-122.0,-93.0,-81.0,-169.0,-225.0,-101.0,-174.0,-106.0,-101.0,-91.0,-142
Toivakka,57.0,-20.0,11.0,6.0,-41.0,1.0,-48.0,22.0,-18.0,13.0,-14.0,20
Uurainen,52.0,62.0,25.0,17.0,55.0,51.0,30.0,36.0,-102.0,-35.0,-12.0,-42
Viitasaari,-109.0,-108.0,-62.0,-115.0,-114.0,-59.0,-196.0,-147.0,-88.0,-79.0,-27.0,-119
Äänekoski,90.0,-69.0,-188.0,-168.0,-263.0,-272.0,-230.0,-293.0,-86.0,-188.0,-259.0,-198
Alajärvi,-160.0,-59.0,-41.0,-56.0,-165.0,-107.0,-68.0,-131.0,-138.0,-143.0,-108.0,-128
Alavus,-54.0,-44.0,-113.0,-125.0,-59.0,-137.0,-194.0,-169.0,-76.0,-136.0,-135.0,-95
Evijärvi,-8.0,-61.0,-1.0,-34.0,-75.0,-41.0,-36.0,-26.0,-48.0,-17.0,-4.0,-58
Ilmajoki,57.0,124.0,77.0,82.0,-22.0,8.0,38.0,-18.0,82.0,25.0,72.0,3
Isojoki,-46.0,-64.0,-33.0,-59.0,-75.0,-44.0,-47.0,-56.0,-25.0,-26.0,-34.0,-39
Isokyrö,-29.0,-50.0,-32.0,-12.0,-57.0,-73.0,-39.0,-72.0,-79.0,-51.0,9.0,-74
Karijoki,6.0,-13.0,-52.0,-53.0,-40.0,-20.0,-20.0,-55.0,-29.0,-38.0,-15.0,8
Kauhajoki,-78.0,-24.0,-86.0,-74.0,-132.0,-103.0,-162.0,-235.0,-191.0,-177.0,-117.0,-140
Kauhava,-43.0,-63.0,-137.0,-157.0,-124.0,-185.0,-321.0,-256.0,-296.0,-212.0,-202.0,-196
Kuortane,-37.0,-57.0,-30.0,-92.0,-12.0,-25.0,-53.0,-65.0,-21.0,-17.0,-6.0,-91
Kurikka,-186.0,-159.0,-157.0,-236.0,-339.0,-233.0,-298.0,-251.0,-274.0,-222.0,-259.0,-307
Lappajärvi,-4.0,-53.0,-66.0,-58.0,-44.0,-39.0,-36.0,-62.0,-82.0,-71.0,-59.0,-46
Lapua,102.0,120.0,42.0,41.0,-124.0,-34.0,-81.0,-67.0,-149.0,-57.0,-18.0,-104
Seinäjoki,892.0,853.0,798.0,526.0,650.0,522.0,624.0,612.0,493.0,349.0,606.0,587
Soini,-31.0,-31.0,-45.0,-11.0,-49.0,-38.0,-72.0,-29.0,-33.0,-45.0,-10.0,-55
Teuva,-76.0,-80.0,-111.0,-113.0,-61.0,-119.0,-94.0,-111.0,-82.0,-82.0,-42.0,-90
Vimpeli,-33.0,-17.0,-34.0,-65.0,-33.0,-48.0,-51.0,-73.0,-74.0,-43.0,-28.0,-85
Ähtäri,-70.0,-49.0,-92.0,-93.0,-110.0,-83.0,-79.0,-203.0,-87.0,-94.0,-38.0,-78
Kaskinen,-25.0,-22.0,-32.0,-26.0,-39.0,11.0,-22.0,-12.0,-16.0,32.0,11.0,-33
Korsnäs,-11.0,-17.0,-14.0,1.0,-18.0,-30.0,-17.0,-32.0,-45.0,-9.0,-18.0,-26
Kristiinankaupunki,-61.0,-41.0,-54.0,-156.0,-52.0,-66.0,-89.0,-42.0,-110.0,-82.0,-24.0,-138
Kruunupyy,-50.0,-15.0,16.0,-20.0,20.0,-62.0,-89.0,-22.0,-81.0,-12.0,26.0,-37
Laihia,63.0,60.0,14.0,61.0,22.0,49.0,-88.0,7.0,-41.0,-21.0,-80.0,-99
Luoto,105.0,45.0,99.0,42.0,40.0,29.0,88.0,76.0,77.0,117.0,88.0,110
Maalahti,9.0,-28.0,-6.0,-7.0,-28.0,-28.0,-40.0,0.0,-2.0,-24.0,36.0,-8
Mustasaari,231.0,144.0,141.0,134.0,15.0,78.0,4.0,60.0,4.0,5.0,83.0,126
Närpiö,-23.0,-32.0,-45.0,54.0,-2.0,52.0,68.0,-36.0,8.0,79.0,4.0,22
Pedersören kunta,44.0,3.0,30.0,90.0,69.0,-62.0,17.0,-68.0,65.0,93.0,-2.0,34
Pietarsaari,-33.0,57.0,-47.0,-56.0,-141.0,-59.0,2.0,-101.0,-70.0,-142.0,31.0,110
Uusikaarlepyy,58.0,15.0,-7.0,9.0,31.0,-48.0,5.0,-66.0,9.0,15.0,18.0,-63
Vaasa,828.0,501.0,647.0,644.0,654.0,1.0,-228.0,160.0,84.0,-85.0,64.0,373
Vöyri,54.0,-63.0,11.0,14.0,9.0,-30.0,-68.0,-3.0,-152.0,-73.0,-12.0,-89
