"MK02 Varsinais-Suomi"	"2026"	488097	28780	26871	15262	15776	188170	89048	58564	65626	239790	14749	13701	7853	8090	95885	44449	27665	27398	248307	14031	13170	7409	7686	92285	44599	30899	38228
"MK02 Varsinais-Suomi"	"2027"	489074	28932	25998	15103	15849	188301	89104	58139	67648	240354	14759	13329	7721	8122	96098	44475	27575	28275	248720	14173	12669	7382	7727	92203	44629	30564	39373
"MK02 Varsinais-Suomi"	"2028"	489995	28843	25483	14953	15739	188597	88780	58279	69321	240886	14715	13048	7640	8096	96366	44297	27749	28975	249109	14128	12435	7313	7643	92231	44483	30530	40346
"MK02 Varsinais-Suomi"	"2029"	490852	28751	25226	14584	15405	189242	88289	58352	71003	241384	14667	12960	7400	7928	96817	44083	27842	29687	249468	14084	12266	7184	7477	92425	44206	30510	41316
"MK02 Varsinais-Suomi"	"2030"	491637	28651	25110	14029	15262	189573	88056	58444	72512	241848	14617	12894	7126	7811	97074	43946	28004	30376	249789	14034	12216	6903	7451	92499	44110	30440	42136
"MK02 Varsinais-Suomi"	"2031"	492330	28554	25241	13360	15094	189725	87845	58464	74047	242267	14568	12942	6786	7720	97265	43898	27991	31097	250063	13986	12299	6574	7374	92460	43947	30473	42950
"MK04 Satakunta"	"2021"	214037	12234	13486	6942	6829	70944	43366	32322	27914	106155	6206	6924	3508	3553	37239	21769	15621	11335	107882	6028	6562	3434	3276	33705	21597	16701	16579
"MK04 Satakunta"	"2022"	212567	11818	13238	6832	7012	70452	42428	31578	29209	105479	6022	6767	3493	3590	37031	21347	15247	11982	107088	5796	6471	3339	3422	33421	21081	16331	17227
"MK04 Satakunta"	"2023"	211121	11496	12858	6906	6940	70215	41495	30760	30451	104817	5884	6538	3536	3569	36948	20949	14803	12590	106304	5612	6320	3370	3371	33267	20546	15957	17861
"MK04 Satakunta"	"2024"	209704	11243	12455	6957	6908	69786	40789	30020	31546	104164	5769	6319	3586	3532	36798	20575	14427	13158	105540	5474	6136	3371	3376	32988	20214	15593	18388
"MK04 Satakunta"	"2025"	208307	11135	11943	6849	6812	69354	40270	29410	32534	103523	5709	6050	3543	3516	36608	20316	14197	13584	104784	5426	5893	3306	3296	32746	19954	15213	18950
"MK04 Satakunta"	"2026"	206923	11101	11341	6720	6889	68765	39832	28916	33359	102887	5683	5799	3418	3563	36340	20159	13892	14033	104036	5418	5542	3302	3326	32425	19673	15024	19326
"MK04 Satakunta"	"2027"	205567	11042	10779	6632	6931	68238	39196	28534	34215	102264	5655	5490	3394	3607	36066	19873	13698	14481	103303	5387	5289	3238	3324	32172	19323	14836	19734
"MK04 Satakunta"	"2028"	204228	10870	10419	6489	6832	67768	38680	28271	34899	101652	5567	5327	3291	3564	35873	19616	13626	14788	102576	5303	5092	3198	3268	31895	19064	14645	20111
"MK04 Satakunta"	"2029"	202892	10717	10137	6248	6709	67425	38116	28043	35497	101043	5489	5209	3184	3447	35756	19311	13551	15096	101849	5228	4928	3064	3262	31669	18805	14492	20401
"MK04 Satakunta"	"2030"	201574	10575	9930	5947	6612	67077	37653	27790	35990	100442	5417	5114	2999	3419	35581	19102	13461	15349	101132	5158	4816	2948	3193	31496	18551	14329	20641
"MK04 Satakunta"	"2031"	200257	10450	9864	5578	6476	66646	37233	27541	36469	99846	5351	5077	2838	3319	35397	18895	13411	15558	100411	5099	4787	2740	3157	31249	18338	14130	20911
"MK05 Kanta-Häme"	"2021"	169954	9685	11135	6030	5823	56901	35473	24663	20244	84099	5023	5777	3147	2973	29575	17714	11649	8241	85855	4662	5358	2883	2850	27326	17759	13014	12003
"MK05 Kanta-Häme"	"2022"	169268	9392	10754	6051	5891	56576	34836	24424	21344	83796	4850	5575	3178	3048	29405	17421	11504	8815	85472	4542	5179	2873	2843	27171	17415	12920	12529
"MK05 Kanta-Häme"	"2023"	168626	9192	10420	5909	5927	56369	34355	24033	22421	83507	4752	5414	3030	3129	29313	17226	11335	9308	85119	4440	5006	2879	2798	27056	17129	12698	13113
"MK05 Kanta-Häme"	"2024"	167997	8977	10059	5850	5960	55971	33995	23839	23346	83220	4614	5282	2991	3146	29134	17032	11280	9741	84777	4363	4777	2859	2814	26837	16963	12559	13605
"MK05 Kanta-Häme"	"2025"	167381	8880	9660	5647	5976	55587	33739	23628	24264	82933	4565	5038	2898	3170	28967	16911	11205	10179	84448	4315	4622	2749	2806	26620	16828	12423	14085
"MK05 Kanta-Häme"	"2026"	166772	8843	9207	5559	5855	55188	33448	23631	25041	82643	4557	4787	2873	3042	28889	16729	11239	10527	84129	4286	4420	2686	2813	26299	16719	12392	14514
"MK05 Kanta-Häme"	"2027"	166170	8810	8757	5436	5801	54824	33125	23614	25803	82354	4519	4550	2863	3004	28742	16513	11238	10925	83816	4291	4207	2573	2797	26082	16612	12376	14878
