City,2011_vakiluvun_muutos_p,2012_vakiluvun_muutos_p,2013_vakiluvun_muutos_p,2014_vakiluvun_muutos_p,2015_vakiluvun_muutos_p,2016_vakiluvun_muutos_p,2017_vakiluvun_muutos_p,2018_vakiluvun_muutos_p,2019_vakiluvun_muutos_p,2020_vakiluvun_muutos_p,2021_vakiluvun_muutos_p,2022_vakiluvun_muutos_p
Puumala,-2.3,-1.9,-2.3,-0.6,-2.0,-1.2,-1.2,-0.5,-2.1,-0.7,-0.9,-0.5
Rantasalmi,-1.2,-0.7,-1.2,-1.5,-2.1,-2.3,-2.6,-1.1,-2.4,-2.0,-1.0,-0.7
Savonlinna,-0.6,-0.7,-0.9,-0.9,-1.2,-0.8,-1.6,-3.0,-1.9,-0.9,-0.4,-1.4
Sulkava,-2.1,-1.1,-1.8,-0.2,-2.3,-2.3,-2.7,-2.2,-1.5,-0.4,-2.1,-2.3
Iisalmi,0.2,-0.1,0.2,-0.3,-0.8,-0.8,-0.6,-0.8,-0.5,-1.1,-0.8,-0.7
Joroinen,-1.0,-1.0,-1.5,-0.7,-1.3,-1.4,-2.4,-2.1,-0.9,-1.6,-1.4,-1.8
Kaavi,0.2,-2.1,-1.6,-1.4,-0.6,-1.3,-3.4,-1.9,-3.2,-3.0,-1.0,-3.2
Keitele,-0.7,-1.9,-2.0,-1.2,-0.8,-1.4,-1.6,-2.8,-1.9,-2.1,-2.8,-3.2
Kiuruvesi,-1.0,-0.8,-1.4,-1.3,-1.7,-1.8,-1.9,-1.6,-1.9,-1.8,-1.2,-2.1
Kuopio,0.5,1.0,0.9,0.9,0.6,0.7,0.4,0.4,0.5,0.8,1.1,0.9
Lapinlahti,-0.2,-0.9,-1.1,-0.8,-1.1,-1.0,-1.9,-0.8,-1.4,-1.3,-1.2,-1.6
Leppävirta,-1.4,-1.3,-1.0,-1.5,-0.6,-0.9,-0.8,-1.3,-2.0,-0.6,-1.3,-1.1
Pielavesi,-1.6,-1.6,-2.1,-0.8,-1.0,-0.9,-1.6,-2.7,-2.4,-1.6,-1.2,-3.0
Rautalampi,0.2,-1.1,-0.5,-1.5,-2.1,-0.5,-1.0,-1.8,-2.3,-2.2,-0.7,-2.3
Rautavaara,-1.3,-1.9,-1.6,-0.9,-1.8,-0.8,-1.5,-2.8,-3.0,-2.6,-3.1,-2.4
Siilinjärvi,1.4,0.6,0.6,0.5,0.6,-0.1,-0.5,0.1,-1.2,-0.8,0.2,-0.3
Sonkajärvi,-1.5,-2.3,-0.9,-2.6,-1.3,-1.8,-3.0,-2.7,-1.8,-1.4,-1.7,-2.8
Suonenjoki,-0.3,-1.1,-0.5,-0.5,-0.4,-1.1,-0.6,-1.7,-1.1,-1.9,-0.6,-1.9
Tervo,-0.4,0.2,-2.1,-2.5,-1.2,0.2,-1.6,-1.1,-3.0,-1.1,-1.6,-2.6
Tuusniemi,-1.5,-0.9,0.3,-1.9,-1.1,-2.8,-1.7,-1.8,-2.9,-1.8,-0.5,-1.1
Varkaus,-0.8,-1.2,-1.0,-1.1,-1.0,-0.8,-1.5,-1.5,-1.7,-0.9,-1.5,-1.1
