City,2011_vakiluvun_muutos_p,2012_vakiluvun_muutos_p,2013_vakiluvun_muutos_p,2014_vakiluvun_muutos_p,2015_vakiluvun_muutos_p,2016_vakiluvun_muutos_p,2017_vakiluvun_muutos_p,2018_vakiluvun_muutos_p,2019_vakiluvun_muutos_p,2020_vakiluvun_muutos_p,2021_vakiluvun_muutos_p,2022_vakiluvun_muutos_p
Tervola,-1.7,-1.4,-1.0,-2.0,-1.4,-3.0,-1.0,-0.2,-2.0,-2.5,-1.5,-0.7
Tornio,0.1,-0.2,-0.5,-0.2,-0.6,-0.4,-0.9,-0.2,-1.2,-0.6,-0.6,-0.5
Utsjoki,-0.2,-0.7,-0.5,-1.5,-0.8,-0.7,0.1,-0.8,-1.6,0.6,-3.5,0.3
Ylitornio,-1.7,-2.0,-1.6,-3.0,-1.3,-2.1,-2.0,-2.3,-2.6,-0.7,-1.5,-1.1
Brändö,-1.6,-0.8,-0.2,-0.2,-0.8,0.2,-4.0,-0.7,-0.9,0.9,0.0,0.2
Eckerö,3.7,-1.8,-1.4,-1.6,0.3,-0.7,2.2,1.4,-0.9,0.6,-2.6,0.6
Finström,1.0,0.2,-0.4,0.6,-0.5,2.9,-0.5,0.3,0.2,0.4,1.3,-1.9
Föglö,-0.5,0.2,-1.0,-0.7,-2.5,1.3,-5.2,0.4,-0.6,-0.9,-4.8,0.6
Geta,3.6,0.6,1.0,-1.2,1.2,-0.2,-0.8,3.8,-3.5,3.0,-1.2,0.4
Hammarland,1.2,-0.3,1.2,-0.6,0.4,-1.9,2.6,1.9,0.4,1.0,1.3,0.6
Jomala,3.7,2.5,1.6,3.1,1.9,2.3,2.1,3.6,4.0,2.9,2.3,1.8
Kumlinge,-0.8,-6.4,-2.4,-0.6,-3.4,-2.8,1.9,0.3,-0.3,-2.2,2.0,-2.2
Kökar,-3.9,-1.6,2.4,1.2,-1.6,-1.6,-4.1,0.0,-1.7,-3.0,-0.4,-0.4
Lemland,2.5,1.2,2.3,0.9,2.5,1.1,0.8,0.2,1.0,3.0,1.0,-0.2
Lumparland,1.3,-1.8,5.4,1.2,-4.8,-3.3,2.6,-3.3,-4.2,1.6,1.1,-4.3
Maarianhamina - Mariehamn,0.6,0.7,0.4,0.8,-0.2,0.9,1.0,0.6,-0.5,0.2,0.3,0.1
Saltvik,0.4,0.7,-0.5,0.7,0.2,0.5,1.8,-0.8,-0.5,-2.3,0.2,-0.9
Sottunga,-13.4,-1.9,-1.0,1.0,-2.0,-3.0,-4.2,-1.1,-3.3,14.8,4.0,5.7
Sund,1.3,0.3,-0.6,0.6,-0.4,-2.4,2.5,-0.3,-0.5,-1.6,1.2,-1.8
Vårdö,-0.7,-6.0,2.6,1.4,0.5,-0.5,-2.1,4.2,-0.2,2.9,0.7,-2.6
