City,2010_asukkaiden_keskitulot_hr,2011_asukkaiden_keskitulot_hr,2012_asukkaiden_keskitulot_hr,2013_asukkaiden_keskitulot_hr,2014_asukkaiden_keskitulot_hr,2015_asukkaiden_keskitulot_hr,2016_asukkaiden_keskitulot_hr,2017_asukkaiden_keskitulot_hr,2018_asukkaiden_keskitulot_hr,2019_asukkaiden_keskitulot_hr,2020_asukkaiden_keskitulot_hr,2021_asukkaiden_keskitulot_hr
Eura,20457.0,21236.0,21454.0,21831.0,22215.0,22463.0,22744.0,23535.0,24035.0,24857.0,25023.0,25616.0
Eurajoki,21231.0,22370.0,22906.0,23110.0,23256.0,23231.0,24024.0,24877.0,25563.0,26076.0,26564.0,27789.0
Harjavalta,20180.0,21112.0,21519.0,21898.0,21900.0,22094.0,22421.0,22714.0,23180.0,24029.0,23576.0,24615.0
Huittinen,18994.0,19712.0,20652.0,20725.0,20935.0,21213.0,21441.0,22258.0,22510.0,23063.0,23480.0,24585.0
Jämijärvi,18288.0,19145.0,19264.0,19388.0,19710.0,19404.0,19707.0,20080.0,20883.0,21218.0,21436.0,22726.0
Kankaanpää,18775.0,19289.0,19739.0,20069.0,20197.0,20905.0,20688.0,21165.0,21768.0,22179.0,22488.0,23374.0
Karvia,17995.0,17988.0,18159.0,18546.0,18997.0,18836.0,19397.0,19875.0,20313.0,21045.0,21612.0,22490.0
Kokemäki,18693.0,19444.0,20489.0,20381.0,20637.0,20582.0,20756.0,21350.0,21794.0,22241.0,22502.0,23225.0
Merikarvia,18245.0,18983.0,19869.0,20156.0,20566.0,20344.0,20893.0,21448.0,21877.0,22186.0,22389.0,24088.0
Nakkila,20066.0,20449.0,21158.0,21382.0,21724.0,21511.0,21882.0,22820.0,23084.0,23457.0,23690.0,24680.0
Pomarkku,18494.0,19210.0,20416.0,19961.0,20381.0,20389.0,20407.0,21148.0,22002.0,22404.0,23240.0,23478.0
Pori,20037.0,20920.0,21337.0,21548.0,21827.0,21925.0,22314.0,22739.0,23302.0,23733.0,23826.0,24574.0
Rauma,21823.0,22531.0,22889.0,23280.0,23044.0,23213.0,23205.0,24146.0,24880.0,25361.0,25364.0,26760.0
Siikainen,17422.0,17864.0,19179.0,18538.0,18931.0,18745.0,19183.0,19434.0,20165.0,20350.0,20497.0,21570.0
Säkylä,20554.0,21166.0,21758.0,21941.0,22339.0,22535.0,22946.0,23354.0,23630.0,24080.0,24601.0,25137.0
Ulvila,20810.0,21607.0,22219.0,22345.0,22721.0,22754.0,23076.0,23310.0,23926.0,24527.0,24498.0,25534.0
Forssa,18855.0,19523.0,20339.0,20249.0,20483.0,20748.0,21080.0,21455.0,21850.0,22290.0,22444.0,23364.0
Hattula,22301.0,22843.0,23418.0,23947.0,23954.0,24143.0,24802.0,25274.0,25304.0,26229.0,26138.0,27387.0
Hausjärvi,22012.0,22847.0,23423.0,23606.0,23818.0,23894.0,24036.0,24669.0,25268.0,32319.0,25862.0,26605.0
Humppila,18590.0,19342.0,20578.0,19944.0,20667.0,20382.0,20764.0,21520.0,22510.0,22357.0,24066.0,23920.0
Hämeenlinna,21174.0,21921.0,22421.0,22792.0,23011.0,22920.0,23156.0,23801.0,24293.0,24822.0,24953.0,25859.0
Janakkala,21191.0,22193.0,22577.0,22960.0,22982.0,23241.0,23835.0,24224.0,24492.0,25068.0,25163.0,26117.0
Jokioinen,20333.0,21330.0,22056.0,22042.0,22307.0,22320.0,22783.0,23443.0,23718.0,24450.0,24527.0,25134.0
Loppi,20616.0,21292.0,21782.0,22325.0,22620.0,22519.0,22858.0,23407.0,24079.0,24742.0,24540.0,25545.0
Riihimäki,21187.0,22116.0,22733.0,22903.0,23093.0,23039.0,23456.0,23859.0,24417.0,24911.0,25052.0,26191.0
Tammela,20583.0,21808.0,22349.0,22423.0,22587.0,23011.0,23292.0,23867.0,24469.0,24996.0,25181.0,26142.0
Ypäjä,18929.0,19760.0,20703.0,20337.0,20560.0,20528.0,20805.0,21480.0,22361.0,22808.0,22773.0,23918.0
Akaa,20092.0,21185.0,21728.0,21934.0,22054.0,22101.0,22378.0,22834.0,23496.0,23844.0,24028.0,24974.0
Hämeenkyrö,20064.0,21019.0,21782.0,21991.0,21896.0,22229.0,22495.0,23065.0,23671.0,24220.0,24259.0,25443.0
Ikaalinen,18813.0,19626.0,20224.0,20343.0,20621.0,20565.0,21171.0,21588.0,22206.0,22326.0,22523.0,23478.0
Juupajoki,19461.0,19840.0,20790.0,21044.0,21308.0,21564.0,21958.0,22917.0,23630.0,23628.0,25701.0,25968.0
Kangasala,22300.0,23724.0,23742.0,23883.0,24006.0,24374.0,24744.0,25348.0,26315.0,27003.0,26966.0,28102.0
Kihniö,17172.0,18357.0,18234.0,18744.0,19133.0,19476.0,19406.0,19544.0,20533.0,21147.0,21140.0,22322.0
Kuhmoinen,17657.0,18521.0,18840.0,18916.0,19587.0,19512.0,19762.0,20610.0,20654.0,21383.0,21620.0,22657.0
Lempäälä,22927.0,24075.0,24590.0,24597.0,25074.0,25296.0,25936.0,26445.0,27146.0,28021.0,28325.0,30945.0
Mänttä-Vilppula,19021.0,19808.0,20090.0,20339.0,20774.0,20858.0,20997.0,21360.0,23114.0,22043.0,22303.0,23088.0
Nokia,21481.0,22572.0,23233.0,23473.0,23663.0,23770.0,24018.0,24626.0,25306.0,25540.0,25787.0,26761.0
Orivesi,19412.0,20142.0,20716.0,20926.0,21050.0,21127.0,21498.0,22040.0,22782.0,23818.0,23661.0,24653.0
Parkano,18851.0,19131.0,19637.0,20039.0,20441.0,20459.0,20594.0,21292.0,21651.0,22356.0,22469.0,23538.0
Pirkkala,24895.0,25943.0,26121.0,26278.0,28456.0,26903.0,27286.0,28337.0,28784.0,29674.0,29668.0,31597.0
Punkalaidun,18181.0,18598.0,19815.0,19931.0,20425.0,19579.0,20162.0,20860.0,21622.0,21842.0,22662.0,22872.0
Pälkäne,20108.0,20271.0,20969.0,21268.0,21535.0,21756.0,22174.0,22694.0,23233.0,23434.0,23956.0,24953.0
Ruovesi,19059.0,19713.0,19940.0,20429.0,20697.0,20278.0,20750.0,21128.0,22015.0,22378.0,22451.0,23763.0
Sastamala,19360.0,20114.0,20825.0,21104.0,21352.0,21433.0,21728.0,22282.0,22805.0,23288.0,23750.0,24416.0
Tampere,20697.0,21623.0,22019.0,22221.0,22291.0,22574.0,22816.0,23423.0,24345.0,24633.0,24775.0,26197.0
Urjala,18808.0,19170.0,20232.0,20337.0,21368.0,20257.0,21197.0,21080.0,22030.0,22398.0,22361.0,23969.0
Valkeakoski,20457.0,21321.0,21978.0,22041.0,22406.0,22593.0,22924.0,23339.0,23742.0,24258.0,24486.0,25371.0
Vesilahti,21325.0,22370.0,22982.0,23747.0,23800.0,24208.0,24487.0,24811.0,25953.0,26492.0,26444.0,27866.0
Virrat,18204.0,18629.0,19017.0,19567.0,20043.0,20252.0,20444.0,21136.0,21782.0,22564.0,22453.0,23841.0
Ylöjärvi,22345.0,23623.0,23778.0,23925.0,23937.0,24528.0,24810.0,25563.0,26348.0,26812.0,27275.0,28737.0
Asikkala,20555.0,21267.0,21493.0,21420.0,21979.0,21924.0,22142.0,23055.0,23733.0,24334.0,24665.0,25918.0
Hartola,17902.0,18105.0,18673.0,19043.0,19391.0,18977.0,19466.0,20052.0,20643.0,23194.0,21684.0,22867.0
Heinola,19278.0,20022.0,20371.0,20620.0,21081.0,21055.0,21343.0,21779.0,22371.0,23112.0,23148.0,24153.0
Hollola,21806.0,24119.0,23141.0,23419.0,23203.0,23351.0,23819.0,24669.0,25197.0,26096.0,26068.0,27187.0
Iitti,19791.0,20456.0,21039.0,21168.0,21480.0,21538.0,21765.0,22976.0,22818.0,23346.0,23320.0,24634.0
Kärkölä,19943.0,20812.0,20900.0,21188.0,21636.0,21353.0,21977.0,22099.0,22805.0,23596.0,23430.0,24297.0
Lahti,20195.0,20890.0,21417.0,21683.0,21711.0,22067.0,22370.0,22991.0,23321.0,24228.0,24228.0,25300.0
Orimattila,20434.0,21766.0,21604.0,22029.0,22140.0,22284.0,22711.0,23346.0,23995.0,24595.0,24743.0,25498.0
Padasjoki,18615.0,19205.0,19039.0,20146.0,20839.0,20758.0,20550.0,20984.0,21614.0,22325.0,22472.0,23682.0
Sysmä,17862.0,18677.0,18680.0,19223.0,19693.0,19486.0,20139.0,20828.0,21664.0,22373.0,23011.0,23727.0
Hamina,19918.0,20666.0,21026.0,21251.0,21352.0,21669.0,21955.0,22317.0,22876.0,23517.0,24043.0,24711.0
Kotka,20119.0,20671.0,21149.0,21176.0,21313.0,21520.0,21748.0,21909.0,22607.0,23157.0,23509.0,24252.0
Kouvola,20293.0,20755.0,21300.0,21552.0,21860.0,21915.0,22057.0,22674.0,23245.0,23731.0,23804.0,24656.0
Miehikkälä,17806.0,18399.0,18804.0,19251.0,19400.0,19626.0,19987.0,20265.0,21122.0,21524.0,21331.0,22390.0
Pyhtää,21389.0,22350.0,22763.0,23100.0,23547.0,23867.0,23804.0,26120.0,26286.0,26674.0,26077.0,27294.0
Virolahti,18299.0,18993.0,19557.0,20083.0,20461.0,20635.0,20726.0,21073.0,21944.0,22249.0,23225.0,23006.0
