City,2010_asukkaiden_keskitulot_hr,2011_asukkaiden_keskitulot_hr,2012_asukkaiden_keskitulot_hr,2013_asukkaiden_keskitulot_hr,2014_asukkaiden_keskitulot_hr,2015_asukkaiden_keskitulot_hr,2016_asukkaiden_keskitulot_hr,2017_asukkaiden_keskitulot_hr,2018_asukkaiden_keskitulot_hr,2019_asukkaiden_keskitulot_hr,2020_asukkaiden_keskitulot_hr,2021_asukkaiden_keskitulot_hr
Isojoki,17769.0,18530.0,19125.0,19216.0,19611.0,19908.0,20368.0,21257.0,21235.0,22265.0,22174.0,23178.0
Isokyrö,19534.0,20349.0,21001.0,21465.0,22079.0,21772.0,22305.0,22526.0,22990.0,23620.0,24177.0,25098.0
Karijoki,18083.0,19021.0,18929.0,19234.0,19181.0,19612.0,20296.0,20744.0,21570.0,21987.0,21945.0,22631.0
Kauhajoki,18883.0,19688.0,20248.0,20441.0,20426.0,20548.0,21073.0,21537.0,22009.0,22687.0,22859.0,27990.0
Kauhava,19583.0,20464.0,20876.0,21242.0,21310.0,21218.0,21506.0,21832.0,22569.0,23499.0,23082.0,24181.0
Kuortane,18657.0,19551.0,19899.0,20443.0,20625.0,20869.0,21185.0,21549.0,22385.0,23069.0,23280.0,24010.0
Kurikka,19186.0,19899.0,20320.0,20619.0,20982.0,21006.0,21314.0,21806.0,22374.0,22932.0,23213.0,24020.0
Lappajärvi,17857.0,18784.0,19194.0,19764.0,20128.0,20609.0,20606.0,20829.0,21524.0,21680.0,21667.0,22192.0
Lapua,19773.0,20471.0,21201.0,21511.0,21636.0,21834.0,22504.0,22952.0,23060.0,23757.0,23990.0,25115.0
Seinäjoki,21480.0,22323.0,22667.0,22977.0,22767.0,23132.0,23264.0,23839.0,24504.0,25052.0,25436.0,26565.0
Soini,17067.0,17805.0,18076.0,18609.0,19107.0,18934.0,19360.0,20442.0,20688.0,21244.0,21317.0,22302.0
Teuva,18721.0,18890.0,19577.0,19752.0,19858.0,19815.0,20232.0,20725.0,21433.0,21786.0,22289.0,23155.0
Vimpeli,19341.0,23523.0,20221.0,20229.0,20738.0,20739.0,20860.0,21381.0,22196.0,22770.0,23115.0,24033.0
Ähtäri,18573.0,18950.0,19369.0,19757.0,20119.0,20370.0,20568.0,21251.0,21941.0,22472.0,22639.0,23628.0
Kaskinen,20041.0,20774.0,21539.0,21251.0,21996.0,21594.0,21903.0,22868.0,23785.0,22967.0,22860.0,23555.0
Korsnäs,19639.0,21099.0,21488.0,22576.0,21411.0,21604.0,21795.0,21972.0,22547.0,22894.0,23428.0,24350.0
Kristiinankaupunki,18697.0,19304.0,19683.0,20031.0,20417.0,20364.0,21011.0,21379.0,22533.0,22824.0,23233.0,24084.0
Kruunupyy,20421.0,21568.0,22080.0,22857.0,22607.0,22600.0,22939.0,23157.0,23674.0,24445.0,25356.0,26848.0
Laihia,21322.0,22250.0,22836.0,23466.0,24096.0,23564.0,23711.0,24157.0,24807.0,25384.0,25560.0,26617.0
Luoto,21287.0,22112.0,22482.0,22929.0,23090.0,23297.0,24238.0,24413.0,25056.0,25666.0,26161.0,29539.0
Maalahti,19654.0,20323.0,21236.0,21800.0,21847.0,22023.0,21979.0,22500.0,22928.0,23661.0,23935.0,25228.0
Mustasaari,22603.0,24224.0,24095.0,24705.0,25540.0,24387.0,24673.0,25393.0,25941.0,26930.0,26511.0,28047.0
Närpiö,19497.0,20419.0,20894.0,21195.0,21500.0,21495.0,21728.0,22433.0,22973.0,23641.0,24059.0,25206.0
Pedersören kunta,20427.0,21515.0,22185.0,22652.0,22555.0,22726.0,23017.0,23451.0,24342.0,24785.0,25275.0,26551.0
Pietarsaari,20502.0,21097.0,21513.0,21812.0,22094.0,22274.0,22517.0,22919.0,23910.0,23900.0,24513.0,26368.0
Uusikaarlepyy,20979.0,22008.0,22700.0,23417.0,23598.0,23680.0,23695.0,24012.0,25010.0,24991.0,24867.0,27075.0
Vaasa,21219.0,22099.0,22520.0,22783.0,23830.0,22992.0,23285.0,23600.0,24180.0,24569.0,24597.0,25780.0
Vöyri,20502.0,21740.0,22314.0,22723.0,22611.0,22625.0,22689.0,23310.0,23778.0,24691.0,25045.0,26125.0
Halsua,18611.0,19251.0,19854.0,20382.0,20501.0,20228.0,19971.0,20688.0,21258.0,21813.0,21867.0,22704.0
Kannus,19513.0,20334.0,21038.0,21268.0,21915.0,21572.0,21725.0,22049.0,22548.0,23049.0,23492.0,24538.0
Kaustinen,19393.0,20013.0,20859.0,21685.0,21796.0,21891.0,21859.0,22544.0,23223.0,23629.0,23386.0,24671.0
Kokkola,20296.0,21183.0,21674.0,21873.0,22185.0,22204.0,22258.0,23020.0,23489.0,24019.0,24568.0,25503.0
Lestijärvi,20122.0,18899.0,18704.0,19159.0,19898.0,19556.0,20416.0,20873.0,21309.0,22081.0,22169.0,22964.0
Perho,18281.0,18816.0,19207.0,19747.0,19966.0,19876.0,20559.0,20907.0,21539.0,21830.0,22139.0,23361.0
Toholampi,19223.0,19622.0,20151.0,20585.0,21003.0,20686.0,21142.0,21236.0,21897.0,22138.0,22670.0,23831.0
Veteli,18508.0,19372.0,19734.0,20378.0,20782.0,21018.0,21182.0,21430.0,22141.0,22655.0,22608.0,23421.0
Alavieska,18510.0,19015.0,19537.0,19547.0,20646.0,20686.0,20634.0,21353.0,22564.0,22778.0,23495.0,24114.0
Haapajärvi,18569.0,19401.0,19761.0,20025.0,20479.0,20243.0,20479.0,21186.0,22090.0,22177.0,22919.0,24171.0
Haapavesi,18609.0,19266.0,19791.0,20320.0,20752.0,20538.0,20567.0,21145.0,21791.0,22450.0,22512.0,23372.0
Hailuoto,19519.0,20549.0,20813.0,21276.0,22195.0,21712.0,22396.0,23371.0,24053.0,23833.0,24949.0,26135.0
Ii,19393.0,20232.0,20973.0,21182.0,21459.0,21677.0,22035.0,22668.0,23534.0,24266.0,24592.0,25132.0
Kalajoki,19551.0,20636.0,21003.0,21311.0,22062.0,21830.0,22015.0,22697.0,23209.0,23697.0,23664.0,24916.0
Kempele,23095.0,23683.0,24524.0,25111.0,24417.0,24646.0,25169.0,26148.0,26504.0,27466.0,28362.0,29340.0
Kuusamo,18757.0,19420.0,19957.0,20286.0,20552.0,20670.0,21054.0,21454.0,22186.0,22780.0,22940.0,24096.0
Kärsämäki,17460.0,18129.0,18851.0,19188.0,19466.0,20263.0,19936.0,20725.0,21457.0,21481.0,21884.0,22701.0
Liminka,22757.0,23839.0,24460.0,24738.0,24529.0,24865.0,25592.0,26198.0,27041.0,27433.0,27705.0,28704.0
Lumijoki,19514.0,20196.0,21065.0,21230.0,21469.0,21837.0,22227.0,23049.0,23761.0,24612.0,24384.0,25324.0
Merijärvi,17786.0,17930.0,18708.0,19257.0,20044.0,19211.0,19502.0,19938.0,20585.0,21596.0,21659.0,22616.0
Muhos,20229.0,20758.0,21640.0,21923.0,22218.0,22371.0,23280.0,23168.0,23818.0,24109.0,25327.0,25595.0
Nivala,18777.0,19546.0,20241.0,20514.0,21174.0,20821.0,21211.0,22168.0,22653.0,23089.0,23641.0,24638.0
Oulainen,18676.0,19882.0,20007.0,20220.0,21064.0,21521.0,21322.0,22088.0,22385.0,22714.0,22868.0,24052.0
Oulu,21266.0,21941.0,22550.0,22597.0,22846.0,23458.0,23310.0,24012.0,24643.0,25150.0,25542.0,26588.0
Pudasjärvi,16879.0,17409.0,18062.0,18361.0,18896.0,19043.0,19370.0,19903.0,20520.0,20882.0,21554.0,22470.0
Pyhäjoki,19173.0,19895.0,20423.0,20570.0,21868.0,21772.0,21936.0,22342.0,23051.0,23542.0,23872.0,25368.0
Pyhäjärvi,17846.0,18476.0,18993.0,19595.0,19910.0,20150.0,20325.0,20611.0,21587.0,22070.0,21921.0,22601.0
Pyhäntä,19301.0,19702.0,20173.0,20851.0,21213.0,21022.0,21524.0,21986.0,22701.0,23703.0,23391.0,25572.0
Raahe,20260.0,20954.0,21486.0,21494.0,22256.0,22357.0,22500.0,23402.0,24678.0,23962.0,24282.0,24951.0
Reisjärvi,18624.0,18942.0,19560.0,20127.0,20400.0,20164.0,20234.0,20842.0,21650.0,21949.0,22827.0,23169.0
Sievi,21449.0,22137.0,22195.0,22586.0,23741.0,23399.0,23691.0,25691.0,25989.0,30413.0,27370.0,29540.0
Siikajoki,20014.0,20590.0,20754.0,21321.0,21777.0,26715.0,22015.0,23444.0,23780.0,23799.0,23950.0,25418.0
Siikalatva,17644.0,18239.0,18490.0,19061.0,19656.0,19395.0,19762.0,20220.0,21153.0,21664.0,21766.0,22868.0
Taivalkoski,16914.0,17676.0,18495.0,18692.0,19038.0,19120.0,19466.0,20229.0,20586.0,21144.0,21494.0,22571.0
Tyrnävä,20527.0,21683.0,22186.0,22626.0,22725.0,23010.0,23472.0,23959.0,24516.0,24856.0,25344.0,26274.0
Utajärvi,17810.0,18267.0,19218.0,19525.0,19632.0,19928.0,20031.0,20797.0,21156.0,21712.0,22133.0,22756.0
Vaala,17582.0,18125.0,18615.0,18962.0,19313.0,19754.0,19648.0,20436.0,20550.0,21162.0,21227.0,22133.0
Ylivieska,19896.0,20850.0,21318.0,21515.0,22199.0,22069.0,22400.0,23165.0,23636.0,23981.0,24219.0,25280.0
Hyrynsalmi,16486.0,17242.0,17813.0,18032.0,18426.0,18501.0,19270.0,19470.0,21175.0,20550.0,20602.0,21494.0
Kajaani,19593.0,20671.0,20839.0,20901.0,21157.0,21390.0,21690.0,22273.0,22947.0,23701.0,23838.0,24666.0
Kuhmo,17398.0,18134.0,18590.0,19055.0,19455.0,19461.0,19718.0,20317.0,21035.0,21346.0,21534.0,22488.0
Paltamo,17542.0,18042.0,18720.0,18871.0,18835.0,19236.0,19451.0,19855.0,20738.0,20975.0,22219.0,23146.0
Puolanka,16879.0,17458.0,17798.0,18283.0,18481.0,18653.0,18877.0,18884.0,19699.0,19889.0,20388.0,21327.0
Ristijärvi,17162.0,18068.0,18526.0,19521.0,19490.0,19528.0,20132.0,20917.0,22060.0,22373.0,21864.0,23106.0
Sotkamo,19642.0,20403.0,20785.0,21129.0,21310.0,21535.0,22072.0,22930.0,23756.0,24290.0,24745.0,25885.0
Suomussalmi,17489.0,18274.0,18699.0,18944.0,19111.0,19238.0,19675.0,20006.0,20975.0,21493.0,21326.0,21797.0
Enontekiö,16249.0,17360.0,18110.0,18480.0,18787.0,19250.0,19369.0,20296.0,20882.0,21467.0,21608.0,22444.0
Inari,18343.0,19355.0,19793.0,20366.0,20455.0,21714.0,21844.0,22634.0,23230.0,24112.0,24120.0,24845.0
Kemi,18731.0,19548.0,20237.0,20525.0,20773.0,20958.0,21177.0,21602.0,22007.0,22552.0,22957.0,23559.0
Kemijärvi,17897.0,18787.0,19186.0,19688.0,19842.0,20179.0,20324.0,20860.0,21120.0,21713.0,21840.0,22560.0
Keminmaa,20696.0,21605.0,22633.0,22609.0,22817.0,22912.0,23275.0,23833.0,24186.0,24947.0,25353.0,26407.0
Kittilä,19417.0,20393.0,21218.0,21386.0,21554.0,21785.0,22325.0,23237.0,23786.0,24626.0,24837.0,25433.0
Kolari,18428.0,19145.0,19815.0,20569.0,20408.0,20862.0,21260.0,21882.0,22532.0,23244.0,23751.0,24602.0
Muonio,18659.0,19607.0,20353.0,20809.0,21056.0,21545.0,21898.0,22746.0,24310.0,24319.0,25043.0,24563.0
Pelkosenniemi,16971.0,17824.0,18804.0,19095.0,19592.0,20071.0,19821.0,20023.0,20522.0,21092.0,22059.0,22442.0
Pello,17579.0,19880.0,18797.0,19599.0,19780.0,20047.0,20646.0,20651.0,21147.0,21566.0,22132.0,23145.0
Posio,16850.0,17461.0,17961.0,18502.0,18658.0,18471.0,18607.0,18906.0,19630.0,20355.0,20614.0,21141.0
Ranua,17823.0,18269.0,19004.0,19414.0,19755.0,19547.0,19867.0,20684.0,21077.0,21998.0,22338.0,22863.0
Rovaniemi,19718.0,20615.0,21177.0,21439.0,21660.0,21974.0,22181.0,22771.0,23462.0,24114.0,24232.0,25006.0
Salla,16715.0,17333.0,17925.0,18385.0,18584.0,18731.0,19169.0,19532.0,20337.0,20893.0,21265.0,21890.0
Savukoski,17002.0,17667.0,18043.0,18598.0,19616.0,19189.0,19752.0,19837.0,20328.0,21066.0,21657.0,22453.0
Simo,19246.0,20175.0,20858.0,21192.0,21757.0,21652.0,21801.0,22159.0,22713.0,23295.0,23700.0,24880.0
Sodankylä,18483.0,19671.0,20474.0,20981.0,21221.0,21528.0,21713.0,22214.0,22925.0,23772.0,24056.0,24505.0
Tervola,18246.0,19250.0,19954.0,20270.0,20824.0,21416.0,21154.0,21592.0,22598.0,23521.0,23823.0,24606.0
Tornio,20367.0,21020.0,21655.0,21927.0,22075.0,22420.0,22799.0,23498.0,23733.0,24585.0,24975.0,25857.0
Utsjoki,19024.0,19819.0,20505.0,20717.0,20758.0,21509.0,22486.0,22890.0,22801.0,23498.0,23431.0,24753.0
Ylitornio,17835.0,18910.0,19248.0,19688.0,20519.0,20382.0,20979.0,21377.0,21849.0,22348.0,22574.0,23907.0
Brändö,23476.0,24530.0,24494.0,25971.0,29043.0,26702.0,27671.0,27814.0,27850.0,29918.0,31265.0,33916.0
Eckerö,21944.0,22984.0,23583.0,23237.0,23850.0,24342.0,24850.0,25798.0,25515.0,26866.0,25897.0,27067.0
Finström,24613.0,23874.0,24431.0,25147.0,25021.0,25209.0,25263.0,26372.0,26457.0,27608.0,27811.0,28105.0
Föglö,26937.0,24460.0,22562.0,25126.0,27554.0,26327.0,25664.0,25484.0,25646.0,26206.0,26818.0,28425.0
Geta,20702.0,22056.0,21255.0,21670.0,21480.0,22384.0,23032.0,23313.0,23087.0,22950.0,22901.0,23748.0
Hammarland,23115.0,24116.0,24707.0,24731.0,24871.0,25391.0,25456.0,25818.0,25987.0,27767.0,26757.0,28201.0
Jomala,25468.0,26078.0,26848.0,27907.0,27817.0,28423.0,29156.0,29627.0,30059.0,32628.0,30777.0,31748.0
Kumlinge,21849.0,22325.0,23142.0,23000.0,22950.0,23882.0,24324.0,24827.0,25544.0,26225.0,26645.0,26650.0
Kökar,21024.0,21761.0,23667.0,23373.0,22358.0,22438.0,23591.0,23966.0,24820.0,23324.0,23809.0,24949.0
Lemland,26121.0,26718.0,27255.0,27753.0,27688.0,28107.0,27651.0,27953.0,28674.0,30029.0,30185.0,34352.0
Lumparland,24462.0,24635.0,25341.0,29825.0,25588.0,25877.0,27067.0,26031.0,25657.0,26344.0,27436.0,27956.0
Maarianhamina,26892.0,27696.0,27519.0,27871.0,27874.0,29173.0,28640.0,28950.0,28895.0,30054.0,29447.0,31343.0
Saltvik,23491.0,24943.0,24957.0,25861.0,25596.0,26475.0,26325.0,26985.0,27698.0,27638.0,27353.0,27966.0
Sottunga,24860.0,27257.0,25338.0,26324.0,28140.0,28166.0,28472.0,30373.0,30185.0,29401.0,30710.0,30437.0
Sund,22435.0,23272.0,23117.0,23841.0,23947.0,24100.0,24934.0,24880.0,25380.0,26213.0,26390.0,27123.0
Vårdö,22341.0,22358.0,22333.0,22690.0,23124.0,23959.0,24470.0,25274.0,25531.0,26440.0,25220.0,26910.0
