"139f -- Väestöennuste 2021: Väestö iän ja sukupuolen mukaan alueittain, 2021-2040"

"Alue"	"Vuosi"	"Yhteensä Yhteensä Väestö 31.12. (ennuste 2021)"	"Yhteensä 0 - 6 Väestö 31.12. (ennuste 2021)"	"Yhteensä 7 - 12 Väestö 31.12. (ennuste 2021)"	"Yhteensä 13 - 15 Väestö 31.12. (ennuste 2021)"	"Yhteensä 16 - 18 Väestö 31.12. (ennuste 2021)"	"Yhteensä 19 - 49 Väestö 31.12. (ennuste 2021)"	"Yhteensä 50 - 64 Väestö 31.12. (ennuste 2021)"	"Yhteensä 65 - 74 Väestö 31.12. (ennuste 2021)"	"Yhteensä 75 - Väestö 31.12. (ennuste 2021)"	"Miehet Yhteensä Väestö 31.12. (ennuste 2021)"	"Miehet 0 - 6 Väestö 31.12. (ennuste 2021)"	"Miehet 7 - 12 Väestö 31.12. (ennuste 2021)"	"Miehet 13 - 15 Väestö 31.12. (ennuste 2021)"	"Miehet 16 - 18 Väestö 31.12. (ennuste 2021)"	"Miehet 19 - 49 Väestö 31.12. (ennuste 2021)"	"Miehet 50 - 64 Väestö 31.12. (ennuste 2021)"	"Miehet 65 - 74 Väestö 31.12. (ennuste 2021)"	"Miehet 75 - Väestö 31.12. (ennuste 2021)"	"Naiset Yhteensä Väestö 31.12. (ennuste 2021)"	"Naiset 0 - 6 Väestö 31.12. (ennuste 2021)"	"Naiset 7 - 12 Väestö 31.12. (ennuste 2021)"	"Naiset 13 - 15 Väestö 31.12. (ennuste 2021)"	"Naiset 16 - 18 Väestö 31.12. (ennuste 2021)"	"Naiset 19 - 49 Väestö 31.12. (ennuste 2021)"	"Naiset 50 - 64 Väestö 31.12. (ennuste 2021)"	"Naiset 65 - 74 Väestö 31.12. (ennuste 2021)"	"Naiset 75 - Väestö 31.12. (ennuste 2021)"
"Ypäjä"	"2023"	2260	92	114	69	80	687	522	387	309	1134	53	65	31	40	346	261	201	137	1126	39	49	38	40	341	261	186	172
"Ypäjä"	"2024"	2243	92	104	61	90	682	504	385	325	1123	49	64	25	47	339	255	194	150	1120	43	40	36	43	343	249	191	175
"Ypäjä"	"2025"	2226	91	100	65	72	684	490	373	351	1112	47	61	31	35	340	249	186	163	1114	44	39	34	37	344	241	187	188
"Ypäjä"	"2026"	2209	93	91	65	72	661	495	367	365	1102	47	56	35	31	329	248	184	172	1107	46	35	30	41	332	247	183	193
"Ypäjä"	"2027"	2195	93	89	57	66	660	489	361	380	1093	47	52	34	26	330	243	174	187	1102	46	37	23	40	330	246	187	193
"Ypäjä"	"2028"	2180	93	82	58	70	649	477	360	391	1083	47	45	36	32	321	236	172	194	1097	46	37	22	38	328	241	188	197
"Ypäjä"	"2029"	2165	91	82	53	69	640	470	357	403	1074	46	47	30	35	315	231	174	196	1091	45	35	23	34	325	239	183	207
"Ypäjä"	"2030"	2153	91	81	51	62	636	463	352	417	1066	46	43	30	34	313	230	173	197	1087	45	38	21	28	323	233	179	220
"Ypäjä"	"2031"	2141	90	81	46	62	629	460	349	424	1059	46	42	25	35	310	230	170	201	1082	44	39	21	27	319	230	179	223
"MK06 Pirkanmaa"	"2021"	526118	33360	34999	17380	16860	210989	94760	63688	54082	259249	17064	17893	8827	8418	108291	47297	29917	21542	266869	16296	17106	8553	8442	102698	47463	33771	32540
"MK06 Pirkanmaa"	"2022"	528912	32797	34582	17693	17283	212620	94086	62835	57016	260728	16754	17692	9001	8639	109083	47026	29556	22977	268184	16043	16890	8692	8644	103537	47060	33279	34039
"MK06 Pirkanmaa"	"2023"	531569	32505	33955	17826	17523	214687	93517	61736	59820	262134	16597	17386	9019	8836	110096	46799	29047	24354	269435	15908	16569	8807	8687	104591	46718	32689	35466
"MK06 Pirkanmaa"	"2024"	534089	32550	33094	17793	17796	215999	93373	61095	62389	263481	16670	16894	9055	8960	110765	46742	28801	25594	270608	15880	16200	8738	8836	105234	46631	32294	36795
"MK06 Pirkanmaa"	"2025"	536491	32806	31694	17960	18096	217163	93370	60740	64662	264761	16739	16237	9136	9128	111371	46776	28648	26726	271730	16067	15457	8824	8968	105792	46594	32092	37936
"MK06 Pirkanmaa"	"2026"	538784	33198	30456	17878	18216	218073	93585	60647	66731	265986	16956	15572	9116	9148	111875	46900	28763	27656	272798	16242	14884	8762	9068	106198	46685	31884	39075
"MK06 Pirkanmaa"	"2027"	540954	33562	29441	17685	18192	219120	93707	60563	68684	267143	17117	15030	9064	9188	112356	47030	28774	28584	273811	16445	14411	8621	9004	106764	46677	31789	40100
"MK06 Pirkanmaa"	"2028"	543005	33562	28856	17104	18354	220239	93787	60647	70456	268244	17118	14709	8787	9262	113002	47065	28917	29384	274761	16444	14147	8317	9092	107237	46722	31730	41072
"MK06 Pirkanmaa"	"2029"	544962	33549	28533	16566	18260	221354	93787	60691	72222	269293	17110	14539	8504	9239	113556	47186	29066	30093	275669	16439	13994	8062	9021	107798	46601	31625	42129
"MK06 Pirkanmaa"	"2030"	546805	33527	28554	15894	18045	222215	94038	60741	73791	270288	17098	14599	8066	9181	114027	47379	29145	30793	276517	16429	13955	7828	8864	108188	46659	31596	42998
"MK06 Pirkanmaa"	"2031"	548507	33502	28788	15073	17480	223180	94274	60757	75453	271218	17088	14658	7685	8910	114512	47618	29185	31562	277289	16414	14130	7388	8570	108668	46656	31572	43891
"Akaa"	"2021"	16264	948	1229	666	624	5396	3347	2368	1686	8202	481	647	337	308	2834	1755	1166	674	8062	467	582	329	316	2562	1592	1202	1012
"Akaa"	"2022"	16142	904	1193	661	633	5314	3305	2357	1775	8158	462	624	343	311	2790	1744	1150	734	7984	442	569	318	322	2524	1561	1207	1041
"Akaa"	"2023"	16023	877	1131	642	637	5271	3279	2283	1903	8116	449	595	331	319	2774	1729	1129	790	7907	428	536	311	318	2497	1550	1154	1113
"Akaa"	"2024"	15906	861	1063	645	614	5190	3289	2244	2000	8077	447	550	340	320	2738	1725	1110	847	7829	414	513	305	294	2452	1564	1134	1153
"Akaa"	"2025"	15795	875	963	648	609	5112	3297	2215	2076	8038	456	497	340	325	2700	1736	1106	878	7757	419	466	308	284	2412	1561	1109	1198
"Akaa"	"2026"	15692	862	907	628	596	5049	3317	2170	2163	8002	448	465	338	315	2679	1742	1092	923	7690	414	442	290	281	2370	1575	1078	1240
"Akaa"	"2027"	15595	854	862	596	598	4975	3330	2143	2237	7965	446	441	316	323	2642	1745	1085	967	7630	408	421	280	275	2333	1585	1058	1270
"Akaa"	"2028"	15502	841	826	558	601	4908	3338	2144	2286	7930	439	426	294	323	2615	1754	1087	992	7572	402	400	264	278	2293	1584	1057	1294
"Akaa"	"2029"	15414	831	804	521	583	4869	3313	2142	2351	7895	434	415	270	320	2599	1748	1080	1029	7519	397	389	251	263	2270	1565	1062	1322
"Akaa"	"2030"	15326	821	793	489	553	4810	3319	2132	2409	7859	429	415	249	300	2571	1755	1078	1062	7467	392	378	240	253	2239	1564	1054	1347
"Akaa"	"2031"	15246	813	807	433	521	4776	3305	2109	2482	7826	425	423	222	280	2550	1764	1069	1093	7420	388	384	211	241	2226	1541	1040	1389
"Hämeenkyrö"	"2021"	10266	685	780	365	379	3227	2234	1453	1143	5153	365	381	182	206	1691	1135	724	469	5113	320	399	183	173	1536	1099	729	674
"Hämeenkyrö"	"2022"	10188	662	760	372	361	3192	2208	1419	1214	5113	356	375	188	189	1670	1124	702	509	5075	306	385	184	172	1522	1084	717	705
"Hämeenkyrö"	"2023"	10119	634	759	364	348	3144	2220	1387	1263	5078	345	377	188	172	1641	1130	692	533	5041	289	382	176	176	1503	1090	695	730
"Hämeenkyrö"	"2024"	10055	616	732	369	348	3117	2188	1376	1309	5046	335	362	184	184	1629	1113	680	559	5009	281	370	185	164	1488	1075	696	750
"Hämeenkyrö"	"2025"	9995	614	691	367	354	3093	2130	1379	1367	5018	332	346	186	189	1610	1084	678	593	4977	282	345	181	165	1483	1046	701	774
"Hämeenkyrö"	"2026"	9942	610	658	374	347	3066	2084	1390	1413	4994	330	338	186	187	1601	1052	686	614	4948	280	320	188	160	1465	1032	704	799
"Hämeenkyrö"	"2027"	9894	611	600	386	350	3043	2046	1402	1456	4971	325	320	184	185	1595	1033	693	636	4923	286	280	202	165	1448	1013	709	820
"Hämeenkyrö"	"2028"	9847	602	582	368	351	3024	2014	1387	1519	4950	320	314	175	187	1581	1015	691	667	4897	282	268	193	164	1443	999	696	852
"Hämeenkyrö"	"2029"	9800	594	560	361	354	2995	1980	1399	1557	4928	316	305	177	185	1565	1000	696	684	4872	278	255	184	169	1430	980	703	873
"Hämeenkyrö"	"2030"	9755	587	548	326	362	2972	1984	1384	1592	4908	312	299	165	184	1556	1007	690	695	4847	275	249	161	178	1416	977	694	897
"Hämeenkyrö"	"2031"	9710	582	547	305	346	2956	1970	1361	1643	4888	310	296	159	176	1550	1004	668	725	4822	272	251	146	170	1406	966	693	918
"Ikaalinen"	"2021"	6806	336	439	206	212	1906	1453	1247	1007	3444	190	248	117	104	1005	728	616	436	3362	146	191	89	108	901	725	631	571
"Ikaalinen"	"2022"	6749	319	435	197	208	1900	1396	1240	1054	3418	179	248	111	107	1003	704	603	463	3331	140	187	86	101	897	692	637	591
"Ikaalinen"	"2023"	6694	299	407	220	208	1877	1367	1187	1129	3392	166	232	120	112	995	696	572	499	3302	133	175	100	96	882	671	615	630
"Ikaalinen"	"2024"	6640	282	390	219	205	1869	1354	1128	1193	3367	152	225	119	117	993	685	535	541	3273	130	165	100	88	876	669	593	652
"Ikaalinen"	"2025"	6590	284	357	229	198	1842	1350	1093	1237	3342	150	209	127	110	980	685	521	560	3248	134	148	102	88	862	665	572	677
"Ikaalinen"	"2026"	6543	290	323	212	217	1813	1330	1080	1278	3318	152	189	118	119	968	669	524	579	3225	138	134	94	98	845	661	556	699
"Ikaalinen"	"2027"	6497	295	293	204	217	1810	1309	1042	1327	3293	154	167	118	119	970	658	507	600	3204	141	126	86	98	840	651	535	727
"Ikaalinen"	"2028"	6453	292	277	192	224	1783	1304	1027	1354	3271	153	157	112	124	951	656	503	615	3182	139	120	80	100	832	648	524	739
"Ikaalinen"	"2029"	6407	288	262	183	211	1783	1274	1035	1371	3247	151	147	106	118	952	647	508	618	3160	137	115	77	93	831	627	527	753
"Ikaalinen"	"2030"	6364	286	249	175	203	1767	1269	1014	1401	3224	150	136	100	117	948	642	498	633	3140	136	113	75	86	819	627	516	768
"Ikaalinen"	"2031"	6319	284	251	157	191	1757	1232	1024	1423	3200	149	135	91	111	943	621	512	638	3119	135	116	66	80	814	611	512	785
"Juupajoki"	"2021"	1765	79	120	56	65	481	379	320	265	921	44	62	29	42	254	194	179	117	844	35	58	27	23	227	185	141	148
"Juupajoki"	"2022"	1734	76	116	55	57	479	368	312	271	903	40	64	27	34	253	185	179	121	831	36	52	28	23	226	183	133	150
"Juupajoki"	"2023"	1703	72	110	58	52	467	354	315	275	886	36	63	30	28	244	178	177	130	817	36	47	28	24	223	176	138	145
"Juupajoki"	"2024"	1674	70	105	52	49	459	345	301	293	870	35	61	26	27	239	174	170	138	804	35	44	26	22	220	171	131	155
"Juupajoki"	"2025"	1647	67	94	58	49	448	340	291	300	856	36	54	30	25	234	169	164	144	791	31	40	28	24	214	171	127	156
"Juupajoki"	"2026"	1622	67	87	56	51	430	346	279	306	842	36	50	29	28	221	174	160	144	780	31	37	27	23	209	172	119	162
"Juupajoki"	"2027"	1600	67	77	59	45	428	337	266	321	831	36	44	32	24	220	173	144	158	769	31	33	27	21	208	164	122	163
"Juupajoki"	"2028"	1578	66	74	49	51	416	340	258	324	819	35	41	30	27	212	178	134	162	759	31	33	19	24	204	162	124	162
"Juupajoki"	"2029"	1557	65	70	47	50	407	339	251	328	808	35	37	30	27	208	179	125	167	749	30	33	17	23	199	160	126	161
"Juupajoki"	"2030"	1538	64	68	40	52	402	332	253	327	798	34	36	26	29	207	172	129	165	740	30	32	14	23	195	160	124	162
"Juupajoki"	"2031"	1520	63	67	39	44	403	327	249	328	789	34	37	22	27	207	171	126	165	731	29	30	17	17	196	156	123	163
"Kangasala"	"2021"	32488	2474	2639	1353	1253	11566	6298	3770	3135	16119	1244	1317	691	641	5896	3212	1794	1324	16369	1230	1322	662	612	5670	3086	1976	1811
"Kangasala"	"2022"	32746	2447	2591	1379	1279	11644	6322	3765	3319	16241	1219	1300	698	664	5931	3220	1789	1420	16505	1228	1291	681	615	5713	3102	1976	1899
"Kangasala"	"2023"	32992	2399	2582	1366	1299	11784	6324	3709	3529	16358	1200	1290	687	686	6001	3224	1759	1511	16634	1199	1292	679	613	5783	3100	1950	2018
"Kangasala"	"2024"	33227	2419	2536	1354	1299	11853	6354	3724	3688	16474	1215	1275	671	675	6041	3236	1785	1576	16753	1204	1261	683	624	5812	3118	1939	2112
"Kangasala"	"2025"	33456	2469	2434	1337	1323	11905	6424	3729	3835	16586	1240	1221	661	683	6081	3263	1798	1639	16870	1229	1213	676	640	5824	3161	1931	2196
"Kangasala"	"2026"	33672	2493	2369	1326	1313	11960	6485	3740	3986	16692	1248	1186	662	674	6121	3288	1810	1703	16980	1245	1183	664	639	5839	3197	1930	2283
"Kangasala"	"2027"	33878	2543	2304	1316	1300	11998	6549	3707	4161	16793	1280	1138	677	658	6130	3323	1785	1802	17085	1263	1166	639	642	5868	3226	1922	2359
"Kangasala"	"2028"	34075	2552	2275	1284	1288	12095	6515	3760	4306	16892	1285	1112	669	651	6184	3298	1833	1860	17183	1267	1163	615	637	5911	3217	1927	2446
"Kangasala"	"2029"	34267	2559	2230	1282	1279	12182	6511	3776	4448	16989	1288	1094	657	653	6239	3296	1843	1919	17278	1271	1136	625	626	5943	3215	1933	2529
"Kangasala"	"2030"	34456	2565	2247	1244	1268	12231	6539	3824	4538	17084	1291	1107	625	665	6252	3314	1877	1953	17372	1274	1140	619	603	5979	3225	1947	2585
"Kangasala"	"2031"	34640	2571	2292	1173	1237	12279	6588	3861	4639	17179	1294	1129	580	655	6287	3336	1900	1998	17461	1277	1163	593	582	5992	3252	1961	2641
"Kihniö"	"2021"	1780	64	113	45	44	433	439	354	288	912	32	61	23	24	233	229	183	127	868	32	52	22	20	200	210	171	161
"Kihniö"	"2022"	1741	55	112	48	39	422	409	360	296	891	27	57	28	23	225	211	188	132	850	28	55	20	16	197	198	172	164
"Kihniö"	"2023"	1704	54	102	48	38	420	384	355	303	871	25	53	29	21	224	200	186	133	833	29	49	19	17	196	184	169	170
"Kihniö"	"2024"	1670	52	89	55	41	408	365	350	310	852	24	47	31	23	215	192	186	134	818	28	42	24	18	193	173	164	176
"Kihniö"	"2025"	1638	50	76	59	43	401	351	348	310	833	22	43	28	27	212	182	183	136	805	28	33	31	16	189	169	165	174
"Kihniö"	"2026"	1607	49	67	58	43	394	335	332	329	817	23	36	28	28	207	173	178	144	790	26	31	30	15	187	162	154	185
"Kihniö"	"2027"	1578	48	56	55	50	386	312	338	333	800	24	28	28	30	201	166	176	147	778	24	28	27	20	185	146	162	186
"Kihniö"	"2028"	1547	46	50	49	52	381	296	335	338	782	23	24	27	28	198	160	169	153	765	23	26	22	24	183	136	166	185
"Kihniö"	"2029"	1518	45	49	42	50	379	269	329	355	766	23	22	24	27	196	145	169	160	752	22	27	18	23	183	124	160	195
"Kihniö"	"2030"	1487	44	48	32	48	372	266	311	366	749	22	22	18	27	193	141	161	165	738	22	26	14	21	179	125	150	201
"Kihniö"	"2031"	1459	44	46	26	45	366	256	302	374	734	22	20	15	27	190	136	153	171	725	22	26	11	18	176	120	149	203
"Kuhmoinen"	"2021"	2128	72	72	40	44	456	483	487	474	1055	37	36	20	23	252	249	253	185	1073	35	36	20	21	204	234	234	289
"Kuhmoinen"	"2022"	2095	67	70	37	51	444	464	470	492	1037	35	33	20	26	239	239	251	194	1058	32	37	17	25	205	225	219	298
"Kuhmoinen"	"2023"	2068	62	68	45	46	436	438	454	519	1022	32	35	21	23	232	227	240	212	1046	30	33	24	23	204	211	214	307
"Kuhmoinen"	"2024"	2042	64	62	46	43	428	428	443	528	1009	33	30	24	19	228	220	233	222	1033	31	32	22	24	200	208	210	306
"Kuhmoinen"	"2025"	2015	58	67	39	43	420	429	418	541	995	29	35	18	20	223	219	219	232	1020	29	32	21	23	197	210	199	309
"Kuhmoinen"	"2026"	1989	60	68	30	47	411	419	410	544	982	30	36	15	20	219	213	217	232	1007	30	32	15	27	192	206	193	312
"Kuhmoinen"	"2027"	1967	62	63	29	47	403	404	416	543	972	32	31	14	22	215	201	222	235	995	30	32	15	25	188	203	194	308
"Kuhmoinen"	"2028"	1946	60	60	31	44	395	403	405	548	961	31	30	16	18	209	206	218	233	985	29	30	15	26	186	197	187	315
"Kuhmoinen"	"2029"	1925	60	54	41	34	392	398	392	554	951	31	27	21	15	204	208	209	236	974	29	27	20	19	188	190	183	318
"Kuhmoinen"	"2030"	1905	60	55	36	34	385	388	395	552	941	31	27	18	15	199	202	213	236	964	29	28	18	19	186	186	182	316
"Kuhmoinen"	"2031"	1887	58	53	35	37	382	369	388	565	932	30	25	19	17	195	193	206	247	955	28	28	16	20	187	176	182	318
"Lempäälä"	"2021"	24065	2075	2382	1190	1013	9071	4215	2350	1769	11922	1047	1183	623	510	4575	2132	1116	736	12143	1028	1199	567	503	4496	2083	1234	1033
"Lempäälä"	"2022"	24287	2032	2352	1206	1079	9122	4264	2340	1892	12024	1033	1152	628	543	4599	2167	1112	790	12263	999	1200	578	536	4523	2097	1228	1102
"Lempäälä"	"2023"	24495	2030	2272	1208	1143	9217	4301	2301	2023	12120	1030	1129	616	578	4650	2172	1088	857	12375	1000	1143	592	565	4567	2129	1213	1166
"Lempäälä"	"2024"	24683	2027	2200	1205	1158	9309	4349	2305	2130	12210	1043	1075	604	612	4681	2203	1090	902	12473	984	1125	601	546	4628	2146	1215	1228
"Lempäälä"	"2025"	24856	2040	2114	1207	1170	9354	4410	2309	2252	12294	1047	1033	598	617	4706	2245	1081	967	12562	993	1081	609	553	4648	2165	1228	1285
"Lempäälä"	"2026"	25015	2060	2007	1214	1175	9408	4465	2334	2352	12370	1057	994	601	606	4726	2267	1106	1013	12645	1003	1013	613	569	4682	2198	1228	1339
"Lempäälä"	"2027"	25157	2073	1941	1195	1172	9450	4517	2353	2456	12436	1057	967	589	595	4757	2288	1121	1062	12721	1016	974	606	577	4693	2229	1232	1394
"Lempäälä"	"2028"	25289	2074	1899	1163	1172	9481	4570	2371	2559	12495	1058	952	565	591	4788	2314	1137	1090	12794	1016	947	598	581	4693	2256	1234	1469
"Lempäälä"	"2029"	25410	2075	1896	1081	1179	9517	4621	2408	2633	12550	1058	949	540	591	4799	2338	1155	1120	12860	1017	947	541	588	4718	2283	1253	1513
"Lempäälä"	"2030"	25520	2075	1895	1030	1159	9534	4687	2425	2715	12602	1058	962	500	580	4805	2369	1174	1154	12918	1017	933	530	579	4729	2318	1251	1561
"Lempäälä"	"2031"	25627	2075	1910	975	1124	9575	4713	2473	2782	12653	1058	967	481	557	4836	2374	1202	1178	12974	1017	943	494	567	4739	2339	1271	1604
"Mänttä-Vilppula"	"2021"	9474	419	482	267	258	2548	2021	1886	1593	4708	218	252	126	129	1386	1034	941	622	4766	201	230	141	129	1162	987	945	971
"Mänttä-Vilppula"	"2022"	9288	398	471	262	263	2460	1948	1828	1658	4621	202	251	130	128	1340	998	906	666	4667	196	220	132	135	1120	950	922	992
"Mänttä-Vilppula"	"2023"	9118	389	450	259	256	2385	1891	1787	1701	4541	198	237	128	127	1298	971	891	691	4577	191	213	131	129	1087	920	896	1010
"Mänttä-Vilppula"	"2024"	8959	377	426	244	270	2310	1856	1721	1755	4468	194	216	135	130	1258	951	859	725	4491	183	210	109	140	1052	905	862	1030
"Mänttä-Vilppula"	"2025"	8813	367	402	246	264	2265	1784	1679	1806	4402	189	210	129	132	1239	917	824	762	4411	178	192	117	132	1026	867	855	1044
"Mänttä-Vilppula"	"2026"	8676	366	368	250	259	2217	1742	1643	1831	4341	188	191	131	130	1220	901	804	776	4335	178	177	119	129	997	841	839	1055
"Mänttä-Vilppula"	"2027"	8546	353	361	233	250	2174	1712	1586	1877	4283	179	189	117	137	1190	901	775	795	4263	174	172	116	113	984	811	811	1082
"Mänttä-Vilppula"	"2028"	8425	345	344	225	251	2123	1705	1512	1920	4229	175	176	123	131	1167	895	741	821	4196	170	168	102	120	956	810	771	1099
"Mänttä-Vilppula"	"2029"	8310	338	339	203	253	2083	1687	1468	1939	4177	171	174	110	132	1147	896	725	822	4133	167	165	93	121	936	791	743	1117
"Mänttä-Vilppula"	"2030"	8202	332	333	195	239	2066	1645	1412	1980	4128	168	173	103	122	1142	880	687	853	4074	164	160	92	117	924	765	725	1127
"Mänttä-Vilppula"	"2031"	8097	327	326	184	231	2040	1613	1365	2011	4080	166	169	94	125	1121	871	671	863	4017	161	157	90	106	919	742	694	1148
"Nokia"	"2021"	34758	2453	2818	1470	1285	12830	6519	4198	3185	17248	1251	1451	737	658	6615	3307	1941	1288	17510	1202	1367	733	627	6215	3212	2257	1897
"Nokia"	"2022"	35023	2407	2729	1520	1333	12916	6573	4166	3379	17394	1223	1402	783	676	6650	3346	1947	1367	17629	1184	1327	737	657	6266	3227	2219	2012
"Nokia"	"2023"	35273	2397	2665	1478	1378	13031	6630	4095	3599	17532	1209	1376	745	715	6717	3380	1928	1462	17741	1188	1289	733	663	6314	3250	2167	2137
"Nokia"	"2024"	35510	2384	2596	1445	1427	13125	6668	4028	3837	17663	1212	1325	751	728	6762	3394	1924	1567	17847	1172	1271	694	699	6363	3274	2104	2270
"Nokia"	"2025"	35731	2391	2485	1421	1472	13158	6775	3996	4033	17786	1200	1290	724	770	6780	3452	1903	1667	17945	1191	1195	697	702	6378	3323	2093	2366
"Nokia"	"2026"	35942	2406	2383	1438	1432	13211	6882	4013	4177	17903	1204	1234	738	736	6821	3519	1912	1739	18039	1202	1149	700	696	6390	3363	2101	2438
"Nokia"	"2027"	36139	2420	2319	1410	1405	13272	6974	4024	4315	18011	1214	1187	730	740	6857	3568	1899	1816	18128	1206	1132	680	665	6415	3406	2125	2499
"Nokia"	"2028"	36322	2422	2278	1350	1386	13369	7020	4070	4427	18111	1215	1162	709	716	6914	3602	1924	1869	18211	1207	1116	641	670	6455	3418	2146	2558
"Nokia"	"2029"	36503	2424	2269	1272	1401	13402	7079	4073	4583	18207	1216	1150	669	730	6940	3626	1945	1931	18296	1208	1119	603	671	6462	3453	2128	2652
"Nokia"	"2030"	36680	2426	2262	1229	1371	13437	7142	4092	4721	18299	1217	1155	627	722	6969	3645	1975	1989	18381	1209	1107	602	649	6468	3497	2117	2732
"Nokia"	"2031"	36849	2428	2272	1178	1316	13496	7183	4103	4873	18387	1218	1146	611	701	7006	3664	1986	2055	18462	1210	1126	567	615	6490	3519	2117	2818
"Orivesi"	"2021"	8920	484	589	305	292	2509	1979	1465	1297	4406	253	298	165	159	1288	989	705	549	4514	231	291	140	133	1221	990	760	748
"Orivesi"	"2022"	8838	466	567	301	304	2494	1904	1421	1381	4362	248	287	152	162	1285	960	691	577	4476	218	280	149	142	1209	944	730	804
"Orivesi"	"2023"	8758	456	546	294	309	2464	1861	1411	1417	4320	240	272	151	173	1264	944	684	592	4438	216	274	143	136	1200	917	727	825
"Orivesi"	"2024"	8683	443	529	292	293	2448	1820	1397	1461	4279	230	270	145	160	1262	924	681	607	4404	213	259	147	133	1186	896	716	854
"Orivesi"	"2025"	8613	435	508	281	290	2431	1791	1373	1504	4241	223	255	151	149	1255	912	666	630	4372	212	253	130	141	1176	879	707	874
"Orivesi"	"2026"	8545	432	470	288	285	2395	1773	1381	1521	4204	220	239	146	150	1241	894	672	642	4341	212	231	142	135	1154	879	709	879
"Orivesi"	"2027"	8480	437	437	288	280	2370	1739	1392	1537	4169	218	226	150	144	1227	873	674	657	4311	219	211	138	136	1143	866	718	880
"Orivesi"	"2028"	8419	431	421	279	272	2355	1710	1388	1563	4137	215	221	136	148	1221	854	673	669	4282	216	200	143	124	1134	856	715	894
"Orivesi"	"2029"	8359	425	412	252	280	2337	1685	1373	1595	4106	212	214	126	146	1212	853	658	685	4253	213	198	126	134	1125	832	715	910
"Orivesi"	"2030"	8305	419	404	238	278	2312	1661	1379	1614	4077	209	208	120	148	1192	844	667	689	4228	210	196	118	130	1120	817	712	925
"Orivesi"	"2031"	8253	415	399	225	268	2292	1642	1355	1657	4050	207	203	119	135	1185	838	652	711	4203	208	196	106	133	1107	804	703	946
"Parkano"	"2021"	6265	353	357	208	196	1672	1335	1165	979	3191	183	179	114	106	897	705	586	421	3074	170	178	94	90	775	630	579	558
"Parkano"	"2022"	6188	333	355	218	198	1622	1304	1137	1021	3145	171	181	118	108	868	685	572	442	3043	162	174	100	90	754	619	565	579
"Parkano"	"2023"	6115	314	359	208	192	1614	1240	1117	1071	3105	164	184	109	108	862	638	565	475	3010	150	175	99	84	752	602	552	596
"Parkano"	"2024"	6046	309	345	196	201	1595	1200	1094	1106	3067	158	177	107	113	847	616	561	488	2979	151	168	89	88	748	584	533	618
"Parkano"	"2025"	5981	306	341	179	208	1565	1169	1066	1147	3031	157	175	99	116	822	607	544	511	2950	149	166	80	92	743	562	522	636
"Parkano"	"2026"	5918	300	330	178	198	1536	1158	1032	1186	2996	155	171	99	107	808	597	526	533	2922	145	159	79	91	728	561	506	653
"Parkano"	"2027"	5855	291	320	174	190	1523	1139	1007	1211	2961	151	170	89	107	799	588	514	543	2894	140	150	85	83	724	551	493	668
"Parkano"	"2028"	5794	284	303	190	174	1509	1120	969	1245	2928	148	159	99	99	792	575	494	562	2866	136	144	91	75	717	545	475	683
"Parkano"	"2029"	5737	277	287	195	174	1489	1072	963	1280	2896	144	153	102	99	773	554	497	574	2841	133	134	93	75	716	518	466	706
"Parkano"	"2030"	5683	271	284	183	172	1473	1051	951	1298	2866	141	149	103	91	766	546	485	585	2817	130	135	80	81	707	505	466	713
"Parkano"	"2031"	5631	267	283	163	184	1456	1031	929	1318	2837	139	149	90	100	755	539	473	592	2794	128	134	73	84	701	492	456	726
"Pirkkala"	"2021"	19982	1566	1789	824	808	7599	3645	2048	1703	9947	800	936	441	425	3840	1836	939	730	10035	766	853	383	383	3759	1809	1109	973
"Pirkkala"	"2022"	20155	1524	1759	865	823	7646	3678	2042	1818	10043	780	915	466	441	3869	1854	931	787	10112	744	844	399	382	3777	1824	1111	1031
"Pirkkala"	"2023"	20319	1494	1746	866	808	7723	3717	1998	1967	10133	773	900	460	432	3923	1870	923	852	10186	721	846	406	376	3800	1847	1075	1115
"Pirkkala"	"2024"	20477	1482	1692	889	807	7732	3804	1981	2090	10217	769	877	458	433	3941	1919	920	900	10260	713	815	431	374	3791	1885	1061	1190
"Pirkkala"	"2025"	20631	1510	1597	889	846	7761	3837	1990	2201	10296	782	810	473	457	3969	1939	916	950	10335	728	787	416	389	3792	1898	1074	1251
"Pirkkala"	"2026"	20778	1521	1538	895	845	7813	3847	2033	2286	10373	779	793	472	450	3997	1943	958	981	10405	742	745	423	395	3816	1904	1075	1305
"Pirkkala"	"2027"	20917	1541	1459	892	864	7826	3887	2086	2362	10445	788	747	483	449	4014	1965	980	1019	10472	753	712	409	415	3812	1922	1106	1343
"Pirkkala"	"2028"	21049	1541	1422	863	866	7854	3945	2124	2434	10513	788	729	450	463	4036	1993	1016	1038	10536	753	693	413	403	3818	1952	1108	1396
"Pirkkala"	"2029"	21173	1541	1394	844	870	7873	3957	2183	2511	10578	788	722	437	462	4048	2008	1042	1071	10595	753	672	407	408	3825	1949	1141	1440
"Pirkkala"	"2030"	21288	1540	1387	797	866	7924	3984	2208	2582	10638	788	720	404	470	4073	2031	1050	1102	10650	752	667	393	396	3851	1953	1158	1480
