"139f -- Väestöennuste 2021: Väestö iän ja sukupuolen mukaan alueittain, 2021-2040"

"Alue"	"Vuosi"	"Yhteensä Yhteensä Väestö 31.12. (ennuste 2021)"	"Yhteensä 0 - 6 Väestö 31.12. (ennuste 2021)"	"Yhteensä 7 - 12 Väestö 31.12. (ennuste 2021)"	"Yhteensä 13 - 15 Väestö 31.12. (ennuste 2021)"	"Yhteensä 16 - 18 Väestö 31.12. (ennuste 2021)"	"Yhteensä 19 - 49 Väestö 31.12. (ennuste 2021)"	"Yhteensä 50 - 64 Väestö 31.12. (ennuste 2021)"	"Yhteensä 65 - 74 Väestö 31.12. (ennuste 2021)"	"Yhteensä 75 - Väestö 31.12. (ennuste 2021)"	"Miehet Yhteensä Väestö 31.12. (ennuste 2021)"	"Miehet 0 - 6 Väestö 31.12. (ennuste 2021)"	"Miehet 7 - 12 Väestö 31.12. (ennuste 2021)"	"Miehet 13 - 15 Väestö 31.12. (ennuste 2021)"	"Miehet 16 - 18 Väestö 31.12. (ennuste 2021)"	"Miehet 19 - 49 Väestö 31.12. (ennuste 2021)"	"Miehet 50 - 64 Väestö 31.12. (ennuste 2021)"	"Miehet 65 - 74 Väestö 31.12. (ennuste 2021)"	"Miehet 75 - Väestö 31.12. (ennuste 2021)"	"Naiset Yhteensä Väestö 31.12. (ennuste 2021)"	"Naiset 0 - 6 Väestö 31.12. (ennuste 2021)"	"Naiset 7 - 12 Väestö 31.12. (ennuste 2021)"	"Naiset 13 - 15 Väestö 31.12. (ennuste 2021)"	"Naiset 16 - 18 Väestö 31.12. (ennuste 2021)"	"Naiset 19 - 49 Väestö 31.12. (ennuste 2021)"	"Naiset 50 - 64 Väestö 31.12. (ennuste 2021)"	"Naiset 65 - 74 Väestö 31.12. (ennuste 2021)"	"Naiset 75 - Väestö 31.12. (ennuste 2021)"
"MA1 MANNER-SUOMI"	"2031"	5568759	340122	303072	160815	182183	2137416	985818	658957	800376	2762811	173908	154861	82249	93550	1105136	497378	317634	338095	2805948	166214	148211	78566	88633	1032280	488440	341323	462281
"MK01 Uusimaa"	"2021"	1720405	121169	117741	57946	55279	740643	315881	172870	138876	841802	62148	60432	29616	27949	375093	154826	77532	54206	878603	59021	57309	28330	27330	365550	161055	95338	84670
"MK01 Uusimaa"	"2022"	1735310	120935	117227	58668	56722	747747	315514	171061	147436	849841	61992	60260	29917	28837	378873	154913	77095	57954	885469	58943	56967	28751	27885	368874	160601	93966	89482
"MK01 Uusimaa"	"2023"	1749771	121069	115940	59869	57633	755401	315186	168904	155769	857639	61961	59625	30622	29289	383062	155099	76398	61583	892132	59108	56315	29247	28344	372339	160087	92506	94186
"MK01 Uusimaa"	"2024"	1763768	121783	114309	60266	59136	760666	316300	168153	163155	865179	62325	58745	30893	30123	386020	155887	76463	64723	898589	59458	55564	29373	29013	374646	160413	91690	98432
"MK01 Uusimaa"	"2025"	1777239	123141	112177	60325	59850	765378	318181	168732	169455	872437	63019	57630	31003	30427	388603	157352	77017	67386	904802	60122	54547	29322	29423	376775	160829	91715	102069
"MK01 Uusimaa"	"2026"	1790192	124808	109646	59992	61022	769387	320030	170209	175098	879416	63908	56195	30862	31109	390808	158754	78003	69777	910776	60900	53451	29130	29913	378579	161276	92206	105321
"MK01 Uusimaa"	"2027"	1802610	126023	107609	59768	61409	773634	321615	171741	180811	886112	64500	55220	30667	31373	393234	159781	79229	72108	916498	61523	52389	29101	30036	380400	161834	92512	108703
"MK01 Uusimaa"	"2028"	1814494	126121	107160	59153	61453	778122	322417	174263	185805	892521	64550	54955	30367	31470	395583	160550	80930	74116	921973	61571	52205	28786	29983	382539	161867	93333	111689
"MK01 Uusimaa"	"2029"	1825902	126071	107108	58169	61089	782381	323553	176680	190851	898675	64523	54842	29851	31318	398146	161319	82582	76094	927227	61548	52266	28318	29771	384235	162234	94098	114757
"MK01 Uusimaa"	"2030"	1836816	125895	107664	56734	60850	786289	324918	178764	195702	904571	64436	55122	29154	31126	400317	162443	83814	78159	932245	61459	52542	27580	29724	385972	162475	94950	117543
"MK01 Uusimaa"	"2031"	1847243	125636	108903	55175	60208	789398	326677	180618	200628	910227	64300	55757	28325	30815	402205	163540	84942	80343	937016	61336	53146	26850	29393	387193	163137	95676	120285
"Askola"	"2021"	4834	339	427	195	190	1624	1044	604	411	2461	174	216	103	87	846	557	297	181	2373	165	211	92	103	778	487	307	230
"Askola"	"2022"	4795	312	418	220	174	1608	1025	611	427	2441	158	212	120	85	829	543	302	192	2354	154	206	100	89	779	482	309	235
"Askola"	"2023"	4763	299	399	223	181	1589	1005	604	463	2425	155	193	131	87	818	534	294	213	2338	144	206	92	94	771	471	310	250
"Askola"	"2024"	4734	298	378	227	178	1558	1003	603	489	2411	153	186	125	98	796	532	292	229	2323	145	192	102	80	762	471	311	260
"Askola"	"2025"	4709	293	362	213	198	1535	998	591	519	2400	151	182	112	112	780	530	290	243	2309	142	180	101	86	755	468	301	276
"Askola"	"2026"	4686	298	336	202	204	1516	985	605	540	2388	158	167	98	122	765	525	302	251	2298	140	169	104	82	751	460	303	289
"Askola"	"2027"	4665	299	318	197	204	1488	995	597	567	2376	157	163	94	116	757	530	293	266	2289	142	155	103	88	731	465	304	301
"Askola"	"2028"	4642	295	296	201	193	1479	997	597	584	2362	155	150	102	104	756	527	300	268	2280	140	146	99	89	723	470	297	316
"Askola"	"2029"	4619	291	286	196	182	1476	992	596	600	2348	153	147	99	93	757	523	304	272	2271	138	139	97	89	719	469	292	328
"Askola"	"2030"	4598	288	285	182	180	1469	972	608	614	2336	152	145	96	91	748	513	315	276	2262	136	140	86	89	721	459	293	338
"Askola"	"2031"	4577	285	283	163	182	1456	970	605	633	2324	150	145	84	97	742	507	318	281	2253	135	138	79	85	714	463	287	352
"Espoo"	"2021"	297990	23881	23594	11455	10628	131737	51385	25242	20068	148612	12379	12174	5851	5444	68280	25130	11223	8131	149378	11502	11420	5604	5184	63457	26255	14019	11937
"Espoo"	"2022"	302449	24005	23602	11531	11038	134026	51655	25027	21565	150937	12432	12131	5948	5642	69470	25378	11182	8754	151512	11573	11471	5583	5396	64556	26277	13845	12811
"Espoo"	"2023"	306735	24170	23365	11786	11392	136195	52028	24842	22957	153175	12450	12067	6087	5826	70649	25612	11135	9349	153560	11720	11298	5699	5566	65546	26416	13707	13608
"Espoo"	"2024"	310835	24477	23005	11989	11670	138100	52607	24871	24116	155321	12573	11861	6271	5957	71654	25948	11197	9860	155514	11904	11144	5718	5713	66446	26659	13674	14256
"Espoo"	"2025"	314747	24876	22585	12187	11746	139708	53338	25126	25181	157375	12781	11678	6286	6051	72502	26409	11367	10301	157372	12095	10907	5901	5695	67206	26929	13759	14880
"Espoo"	"2026"	318468	25320	22070	12213	11996	141123	54037	25601	26108	159333	12960	11468	6287	6187	73309	26803	11645	10674	159135	12360	10602	5926	5809	67814	27234	13956	15434
"Espoo"	"2027"	322009	25696	21665	12194	12189	142454	54749	26026	27036	161199	13171	11235	6232	6358	74073	27157	11965	11008	160810	12525	10430	5962	5831	68381	27592	14061	16028
"Espoo"	"2028"	325376	25827	21691	11997	12363	143838	55314	26447	27899	162972	13238	11240	6174	6370	74841	27512	12266	11331	162404	12589	10451	5823	5993	68997	27802	14181	16568
"Espoo"	"2029"	328580	25910	21773	11732	12374	145044	55995	27022	28730	164660	13281	11226	6098	6364	75539	27879	12645	11628	163920	12629	10547	5634	6010	69505	28116	14377	17102
"Espoo"	"2030"	331612	25954	21999	11392	12346	146189	56680	27470	29582	166258	13304	11313	5946	6313	76180	28366	12825	12011	165354	12650	10686	5446	6033	70009	28314	14645	17571
"Espoo"	"2031"	334475	25968	22331	11156	12147	147165	57346	27982	30380	167768	13311	11487	5814	6250	76689	28762	13079	12376	166707	12657	10844	5342	5897	70476	28584	14903	18004
"Hanko"	"2021"	7883	328	440	231	231	2133	1844	1424	1252	3953	163	228	127	110	1148	943	681	553	3930	165	212	104	121	985	901	743	699
"Hanko"	"2022"	7732	322	392	250	219	2053	1808	1346	1342	3875	156	206	133	113	1098	927	648	594	3857	166	186	117	106	955	881	698	748
"Hanko"	"2023"	7596	300	369	250	213	2002	1757	1295	1410	3806	148	195	131	112	1077	905	613	625	3790	152	174	119	101	925	852	682	785
"Hanko"	"2024"	7467	290	339	248	210	1936	1729	1248	1467	3742	145	177	126	118	1042	883	601	650	3725	145	162	122	92	894	846	647	817
"Hanko"	"2025"	7348	283	314	228	224	1873	1716	1214	1496	3681	140	160	120	123	1016	879	589	654	3667	143	154	108	101	857	837	625	842
"Hanko"	"2026"	7236	277	299	204	225	1838	1654	1218	1521	3623	138	152	110	121	1007	838	602	655	3613	139	147	94	104	831	816	616	866
"Hanko"	"2027"	7126	277	280	186	219	1795	1637	1184	1548	3567	138	142	101	115	987	829	588	667	3559	139	138	85	104	808	808	596	881
"Hanko"	"2028"	7024	270	278	163	205	1775	1607	1169	1557	3515	134	138	88	111	979	808	589	668	3509	136	140	75	94	796	799	580	889
"Hanko"	"2029"	6924	264	261	166	185	1749	1570	1161	1568	3465	131	132	87	102	962	795	588	668	3459	133	129	79	83	787	775	573	900
"Hanko"	"2030"	6829	259	255	158	170	1718	1538	1160	1571	3418	129	130	81	94	949	778	588	669	3411	130	125	77	76	769	760	572	902
"Hanko"	"2031"	6744	255	251	156	153	1704	1503	1142	1580	3375	127	127	78	84	946	759	580	674	3369	128	124	78	69	758	744	562	906
"Helsinki"	"2021"	663243	44748	38535	17611	17214	314637	114180	62893	53425	315588	22854	19753	8980	8482	154732	54574	27014	19199	347655	21894	18782	8631	8732	159905	59606	35879	34226
"Helsinki"	"2022"	668263	44630	38993	18106	17623	317163	113643	61947	56158	318279	22797	20029	9164	8752	155945	54469	26768	20355	349984	21833	18964	8942	8871	161218	59174	35179	35803
"Helsinki"	"2023"	673155	44706	38967	18841	18010	319732	113094	61145	58660	320893	22840	19973	9547	8959	157226	54343	26585	21420	352262	21866	18994	9294	9051	162506	58751	34560	37240
"Helsinki"	"2024"	677923	44937	38851	19117	18658	321535	113117	60813	60895	323432	22957	19882	9715	9311	158127	54502	26590	22348	354491	21980	18969	9402	9347	163408	58615	34223	38547
"Helsinki"	"2025"	682559	45417	38340	19426	19127	323052	113430	61111	62656	325898	23206	19573	9960	9486	158852	54899	26801	23121	356661	22211	18767	9466	9641	164200	58531	34310	39535
"Helsinki"	"2026"	687053	45909	37700	19541	19821	324151	114189	61548	64194	328278	23484	19155	10047	9852	159350	55470	27153	23767	358775	22425	18545	9494	9969	164801	58719	34395	40427
"Helsinki"	"2027"	691402	46180	37255	19720	20083	325517	114671	62093	65883	330584	23560	19005	10094	10012	159967	55896	27646	24404	360818	22620	18250	9626	10071	165550	58775	34447	41479
"Helsinki"	"2028"	695599	46128	37081	19795	20354	326867	115072	62982	67320	332812	23533	18918	10093	10234	160542	56230	28300	24962	362787	22595	18163	9702	10120	166325	58842	34682	42358
"Helsinki"	"2029"	699653	46024	37097	19612	20431	328347	115636	63637	68869	334960	23480	18930	9936	10304	161334	56601	28804	25571	364693	22544	18167	9676	10127	167013	59035	34833	43298
"Helsinki"	"2030"	703540	45877	37277	19282	20567	329595	116365	64285	70292	337028	23405	19022	9783	10339	161984	57118	29182	26195	366512	22472	18255	9499	10228	167611	59247	35103	44097
"Helsinki"	"2031"	707244	45702	37708	18696	20597	330740	117247	64803	71751	339011	23315	19245	9482	10324	162661	57578	29557	26849	368233	22387	18463	9214	10273	168079	59669	35246	44902
"Hyvinkää"	"2021"	46664	2768	3029	1676	1589	17238	9491	6086	4787	22816	1417	1550	856	800	8898	4648	2810	1837	23848	1351	1479	820	789	8340	4843	3276	2950
"Hyvinkää"	"2022"	46737	2726	2959	1656	1659	17252	9386	6021	5078	22865	1393	1503	856	856	8922	4578	2777	1980	23872	1333	1456	800	803	8330	4808	3244	3098
"Hyvinkää"	"2023"	46813	2718	2875	1620	1675	17309	9330	5922	5364	22914	1384	1450	842	870	8952	4574	2738	2104	23899	1334	1425	778	805	8357	4756	3184	3260
"Hyvinkää"	"2024"	46900	2680	2801	1608	1705	17339	9273	5838	5656	22967	1356	1432	825	870	9004	4541	2722	2217	23933	1324	1369	783	835	8335	4732	3116	3439
"Hyvinkää"	"2025"	46983	2684	2713	1580	1688	17339	9250	5839	5890	23016	1354	1390	799	871	9013	4542	2732	2315	23967	1330	1323	781	817	8326	4708	3107	3575
"Hyvinkää"	"2026"	47068	2717	2606	1560	1660	17361	9170	5884	6110	23065	1384	1317	781	860	9047	4531	2727	2418	24003	1333	1289	779	800	8314	4639	3157	3692
"Hyvinkää"	"2027"	47151	2739	2537	1494	1650	17398	9096	5914	6323	23112	1394	1282	758	844	9085	4489	2745	2515	24039	1345	1255	736	806	8313	4607	3169	3808
"Hyvinkää"	"2028"	47236	2725	2501	1457	1623	17416	9058	5915	6541	23158	1387	1261	740	820	9119	4468	2740	2623	24078	1338	1240	717	803	8297	4590	3175	3918
"Hyvinkää"	"2029"	47324	2711	2496	1398	1601	17441	8996	5962	6719	23207	1380	1254	709	803	9146	4434	2769	2712	24117	1331	1242	689	798	8295	4562	3193	4007
"Hyvinkää"	"2030"	47409	2697	2469	1388	1543	17497	8933	5934	6948	23255	1373	1233	710	782	9172	4411	2782	2792	24154	1324	1236	678	761	8325	4522	3152	4156
"Hyvinkää"	"2031"	47495	2684	2480	1338	1508	17512	8907	5905	7161	23304	1366	1236	686	764	9176	4435	2744	2897	24191	1318	1244	652	744	8336	4472	3161	4264
