City,2010_asukkaiden_ostovoimakertyma_hr,2011_asukkaiden_ostovoimakertyma_hr,2012_asukkaiden_ostovoimakertyma_hr,2013_asukkaiden_ostovoimakertyma_hr,2014_asukkaiden_ostovoimakertyma_hr,2015_asukkaiden_ostovoimakertyma_hr,2016_asukkaiden_ostovoimakertyma_hr,2017_asukkaiden_ostovoimakertyma_hr,2018_asukkaiden_ostovoimakertyma_hr,2019_asukkaiden_ostovoimakertyma_hr,2020_asukkaiden_ostovoimakertyma_hr,2021_asukkaiden_ostovoimakertyma_hr
Sonkajärvi,6.7303477E7,6.8547488E7,6.9174129E7,6.9218643E7,7.021245E7,6.8775352E7,6.9289679E7,6.927613E7,7.1725411E7,7.0886712E7,7.0364263E7,7.2286062E7
Suonenjoki,1.1670384E8,1.20048435E8,1.2160134E8,1.24112462E8,1.24225755E8,1.24211307E8,1.24296966E8,1.2664329E8,1.30948518E8,1.30510118E8,1.29835912E8,1.34548998E8
Tervo,2.4900925E7,2.6215668E7,2.6539664E7,2.7825994E7,2.7625516E7,2.7540832E7,2.8193385E7,2.7773823E7,2.8476112E7,2.8725592E7,2.8673071E7,2.9623084E7
Tuusniemi,4.1853843E7,4.3369539E7,4.3979596E7,4.5405714E7,4.4709643E7,4.4830237E7,4.4094347E7,4.3894661E7,4.6007719E7,4.5601439E7,4.4737594E7,4.7401171E7
Varkaus,3.55432027E8,3.66493519E8,3.7085416E8,3.76381865E8,3.75082018E8,3.77795218E8,3.80327835E8,3.83693793E8,3.87756283E8,3.92065621E8,3.94360702E8,4.05627608E8
Vesanto,3.5925218E7,3.5373104E7,3.5493612E7,3.5744655E7,3.6016017E7,3.4912099E7,3.5506874E7,3.5683757E7,3.6263224E7,3.63049E7,3.6769505E7,3.8054371E7
Vieremä,5.9738133E7,6.2932324E7,6.4277754E7,6.4111154E7,6.3668435E7,6.3595219E7,6.4731053E7,6.6603745E7,7.1081271E7,7.1112692E7,6.7830604E7,7.1730285E7
Heinävesi,5.8686433E7,5.9853458E7,6.0538171E7,6.0646562E7,6.0510902E7,6.4029479E7,6.1751156E7,6.0750097E7,6.2023454E7,6.0270277E7,6.0671465E7,6.3264814E7
Ilomantsi,8.6747534E7,8.8843813E7,9.0106131E7,9.1878596E7,9.1611483E7,9.0560518E7,9.0626597E7,8.9493656E7,8.9583117E7,8.8141267E7,8.7728605E7,8.9333998E7
Joensuu,1.135927094E9,1.196627616E9,1.229664425E9,1.257438572E9,1.273546497E9,1.291836964E9,1.315201982E9,1.354324654E9,1.407483104E9,1.446363078E9,1.472167997E9,1.541292893E9
Juuka,7.8858432E7,8.1552961E7,7.9644357E7,8.1552951E7,8.2125289E7,8.0343029E7,8.0908107E7,8.0665155E7,8.2366685E7,8.0758417E7,8.0563736E7,8.2296354E7
Kitee,1.73788365E8,1.78979047E8,1.79257179E8,1.83036664E8,1.85130297E8,1.79760526E8,1.82168281E8,1.827308E8,1.85405989E8,1.87406859E8,1.84427116E8,1.89303862E8
Kontiolahti,2.13957209E8,2.32011936E8,2.34809483E8,2.43687857E8,2.51521565E8,2.56050931E8,2.58617175E8,2.65279796E8,2.76899785E8,2.8405834E8,2.88799325E8,3.09351312E8
Lieksa,1.88747128E8,1.94119241E8,1.98010122E8,2.00482251E8,1.98846038E8,1.96300497E8,1.95851434E8,1.95135033E8,2.00531525E8,1.97664253E8,1.98370015E8,2.01575993E8
Liperi,1.80764089E8,1.90683076E8,1.97649193E8,2.00638429E8,2.03185235E8,2.03599901E8,2.05885516E8,2.10646964E8,2.15916452E8,2.20828914E8,2.2208105E8,2.31834081E8
Nurmes,1.58941132E8,1.62563904E8,1.66375765E8,1.68176304E8,1.69915304E8,1.69149337E8,1.67268424E8,1.68999384E8,1.72374674E8,1.71287285E8,1.73039403E8,1.77158461E8
Outokumpu,1.09857541E8,1.11667561E8,1.12494502E8,1.13212129E8,1.12747439E8,1.12891501E8,1.13936996E8,1.15460114E8,1.16280601E8,1.17791038E8,1.15735689E8,1.20298736E8
Polvijärvi,6.6403979E7,6.9281545E7,7.1474766E7,7.2592137E7,7.3844373E7,7.2923647E7,7.325665E7,7.3352849E7,7.4419214E7,7.3841497E7,7.4191211E7,7.7167363E7
Rääkkylä,3.5771804E7,3.7077508E7,3.7296608E7,3.7814954E7,3.8589213E7,3.8028264E7,3.703213E7,3.7295427E7,3.8022555E7,3.8101485E7,3.7523351E7,3.8573949E7
Tohmajärvi,7.2347656E7,7.4696114E7,7.4787628E7,7.6048953E7,7.7270214E7,7.6578859E7,7.6506088E7,7.9354988E7,7.8695928E7,7.8081147E7,7.8362579E7,7.9731314E7
Hankasalmi,8.0272932E7,8.2519338E7,8.3166605E7,8.3645749E7,8.4314222E7,8.3102108E7,8.3782695E7,8.3827168E7,8.5606099E7,8.6172167E7,8.5839988E7,8.880613E7
Joutsa,7.6465334E7,7.862599E7,8.0164389E7,8.0824743E7,8.0247835E7,7.9337032E7,8.0925628E7,8.2150983E7,8.3216749E7,8.2194824E7,8.2327362E7,8.5955261E7
Jyväskylä,2.125937232E9,2.210575482E9,2.270699817E9,2.310275819E9,2.373263729E9,2.413994017E9,2.486028966E9,2.600982452E9,2.709758941E9,2.769773979E9,2.845665469E9,2.991097764E9
Jämsä,3.62139032E8,3.73156623E8,3.80675927E8,3.83704289E8,3.84712277E8,3.8326879E8,3.8531893E8,3.88721863E8,3.97524586E8,3.99156504E8,3.93449464E8,4.07359612E8
Kannonkoski,2.3052961E7,2.2946266E7,2.3216288E7,2.2764845E7,2.2558238E7,2.2180482E7,2.2293089E7,2.2747767E7,2.2376738E7,2.3275464E7,2.3534257E7,2.4746034E7
Karstula,6.7210226E7,6.847515E7,6.9307192E7,6.9654243E7,6.9151603E7,6.9990725E7,7.0438612E7,7.0834727E7,7.0253698E7,7.1220988E7,7.0649969E7,7.2876846E7
Keuruu,1.69686553E8,1.7175347E8,1.73949458E8,1.74374308E8,1.76191445E8,1.75711837E8,1.77310587E8,1.78549593E8,1.77950195E8,1.80873406E8,1.80314807E8,1.86859086E8
Kinnula,2.4429875E7,2.5302276E7,2.498004E7,2.5355939E7,2.6217639E7,2.5988722E7,2.6153205E7,2.6047462E7,2.5807228E7,2.6096547E7,2.7054782E7,2.6788626E7
Kivijärvi,1.8044875E7,1.8279363E7,1.8523217E7,1.8323625E7,1.8487618E7,1.8231647E7,1.8252047E7,1.8111729E7,1.7917608E7,1.8180342E7,1.8894108E7,1.906052E7
Konnevesi,5.0846093E7,4.8727857E7,4.7223877E7,4.6560125E7,4.7233313E7,4.6673292E7,4.7589657E7,4.8505313E7,4.8515438E7,4.9253405E7,4.8577995E7,5.1143497E7
Kyyjärvi,2.2062164E7,2.29685E7,2.3151354E7,2.2967431E7,2.2818451E7,2.2207245E7,2.3050209E7,2.2839563E7,2.3025701E7,2.3305787E7,2.2992459E7,2.3809404E7
Laukaa,2.7958743E8,2.91170683E8,3.0018558E8,3.06321391E8,3.12680235E8,3.16253045E8,3.21562197E8,3.29270267E8,3.34612279E8,3.44116741E8,3.48695766E8,3.64136399E8
Luhanka,1.2629882E7,1.2956898E7,1.2954355E7,1.3671207E7,1.3664514E7,1.3532805E7,1.404531E7,1.4085376E7,1.4585765E7,1.4843219E7,1.5010531E7,1.648198E7
Multia,2.8177607E7,2.7763408E7,2.7777417E7,2.7966701E7,2.8156811E7,2.8288256E7,2.7546545E7,2.7494868E7,2.8356765E7,2.9455674E7,2.7753374E7,2.8078155E7
Muurame,1.59529449E8,1.7085827E8,1.74064985E8,1.774546E8,2.07826162E8,1.8467208E8,1.90698213E8,1.97920608E8,2.04782371E8,2.15447806E8,2.32565349E8,2.38196524E8
Petäjävesi,5.9446408E7,6.1053831E7,6.2978221E7,6.3955279E7,6.5029642E7,6.5032397E7,6.6449664E7,6.7262446E7,6.9022737E7,6.9703423E7,6.9622591E7,7.1789913E7
Pihtipudas,6.2763101E7,6.4285579E7,6.5505917E7,6.5536932E7,6.6085222E7,6.5101103E7,6.6614482E7,6.7300869E7,6.8237138E7,6.9616998E7,6.9308364E7,7.2343947E7
Saarijärvi,1.5449198E8,1.56737793E8,1.60128693E8,1.60378985E8,1.62603487E8,1.61525137E8,1.60969582E8,1.63703786E8,1.72173656E8,1.68383288E8,1.67552495E8,1.72940347E8
Toivakka,3.6131826E7,3.8131873E7,3.9239973E7,3.9980789E7,4.0879136E7,4.0926796E7,4.1608045E7,4.2104288E7,4.3531798E7,4.5042586E7,4.5130669E7,4.7184385E7
Uurainen,4.9518811E7,5.1342344E7,5.3650148E7,5.4503589E7,5.5504022E7,5.6504558E7,5.8476896E7,6.0332409E7,6.2914705E7,6.3243344E7,6.279166E7,6.5500066E7
Viitasaari,1.11092876E8,1.12229954E8,1.10702574E8,1.12340349E8,1.11969002E8,1.11538538E8,1.12203505E8,1.11973599E8,1.12725066E8,1.1412184E8,1.1385042E8,1.18116206E8
Äänekoski,3.09168602E8,3.19299543E8,3.26705742E8,3.28586597E8,3.30396618E8,3.30068341E8,3.32673728E8,3.40139962E8,3.4051131E8,3.42257319E8,3.45940168E8,3.53166494E8
Alajärvi,1.48398813E8,1.55974649E8,1.5389273E8,1.55426303E8,1.57688134E8,1.55954908E8,1.56958772E8,1.61546172E8,1.65522277E8,1.67010515E8,1.66059219E8,1.72476162E8
Alavus,1.77795666E8,1.84404703E8,1.87519112E8,1.91042023E8,1.91672356E8,1.91763252E8,1.92663691E8,1.96178384E8,1.99639951E8,2.02664484E8,2.0631063E8,2.10518471E8
Evijärvi,4.0989217E7,4.3010755E7,4.3496738E7,4.5433284E7,4.5499927E7,4.5112525E7,4.5226082E7,4.5811305E7,4.5731448E7,4.5645144E7,4.5270212E7,4.7139615E7
Ilmajoki,1.84260203E8,1.94175777E8,2.01466289E8,2.05683293E8,2.11124043E8,2.09208283E8,2.13952819E8,2.19008312E8,2.23933037E8,2.31260397E8,2.35923757E8,2.52814699E8
Isojoki,3.4970307E7,3.6003012E7,3.652881E7,3.6414558E7,3.6260462E7,3.5495288E7,3.5929018E7,3.6476684E7,3.5611321E7,3.6825948E7,3.6542127E7,3.7710267E7
Isokyrö,7.6495864E7,7.9504142E7,8.1315671E7,8.2512954E7,8.4541545E7,8.2495603E7,8.3286915E7,8.3277177E7,8.3913701E7,8.5055144E7,8.6382973E7,8.987616E7
Karijoki,2.2966037E7,2.4404384E7,2.4304582E7,2.3908278E7,2.3324089E7,2.3162012E7,2.344202E7,2.3772075E7,2.3748483E7,2.3635799E7,2.2800872E7,2.3445502E7
Kauhajoki,2.14808309E8,2.22944691E8,2.29812921E8,2.31040347E8,2.29999528E8,2.3003848E8,2.34462216E8,2.36325732E8,2.37964826E8,2.42052862E8,2.42149001E8,2.94375492E8
Kauhava,2.67666406E8,2.79738051E8,2.84938468E8,2.88281195E8,2.86935946E8,2.83871986E8,2.85013786E8,2.84708072E8,2.9028366E8,2.97472894E8,2.89425939E8,3.00719754E8
Kuortane,5.9776454E7,6.2212363E7,6.238356E7,6.3313142E7,6.2514315E7,6.2898811E7,6.3617522E7,6.3720557E7,6.5722784E7,6.7292385E7,6.7860976E7,7.0060893E7
Kurikka,3.52324808E8,3.63930761E8,3.69495856E8,3.72832444E8,3.75834926E8,3.7081366E8,3.72353316E8,3.75895909E8,3.81178173E8,3.8684362E8,3.88624678E8,3.98833226E8
Lappajärvi,5.1230865E7,5.3928248E7,5.4203191E7,5.5003463E7,5.5031255E7,5.5272815E7,5.4585922E7,5.4176051E7,5.4886822E7,5.4004259E7,5.2714907E7,5.2949971E7
Lapua,2.21775653E8,2.30969795E8,2.40126692E8,2.44691045E8,2.47066992E8,2.4632868E8,2.52948137E8,2.57087039E8,2.58182342E8,2.64148735E8,2.66411885E8,2.79200344E8
Seinäjoki,9.70641727E8,1.025497034E9,1.056672254E9,1.086854166E9,1.088051748E9,1.118679234E9,1.135408502E9,1.17713717E9,1.2265339E9,1.267006131E9,1.294885807E9,1.36926646E9
Soini,3.2546624E7,3.3544146E7,3.3313666E7,3.3738207E7,3.4411106E7,3.3550613E7,3.3685548E7,3.4607796E7,3.4672546E7,3.5137061E7,3.4874306E7,3.6173877E7
Teuva,9.0514255E7,9.0292811E7,9.2090821E7,9.082047E7,8.9755996E7,8.8650632E7,8.8719259E7,8.930428E7,9.064E7,9.0911165E7,9.2077196E7,9.4844383E7
Vimpeli,4.9862293E7,6.035882E7,5.1605209E7,5.1138705E7,5.1555113E7,5.1203505E7,5.0877667E7,5.1507304E7,5.2316427E7,5.2598472E7,5.2793686E7,5.4506711E7
Ähtäri,9.7436298E7,9.875005E7,1.00425737E8,1.00996565E8,1.02045811E8,1.01969924E8,1.01297241E8,1.03108265E8,1.03429452E8,1.04360736E8,1.04275239E8,1.08192745E8
Kaskinen,2.4629777E7,2.5011482E7,2.5588561E7,2.4927516E7,2.5493105E7,2.429337E7,2.4553293E7,2.5177789E7,2.6044841E7,2.4873315E7,2.5329024E7,2.598144E7
Korsnäs,3.6370642E7,3.8695347E7,3.9538264E7,4.1337253E7,3.9202968E7,3.9103391E7,3.8947087E7,3.8979055E7,3.9413021E7,3.9309414E7,4.015614E7,4.1468598E7
Kristiinankaupunki,1.12764257E8,1.1547921E8,1.17662233E8,1.19162076E8,1.19686335E8,1.18620197E8,1.20580667E8,1.21110819E8,1.27290135E8,1.26972141E8,1.27478229E8,1.31282988E8
Kruunupyy,1.06717603E8,1.12391191E8,1.15257256E8,1.19677934E8,1.18280612E8,1.18560841E8,1.19512063E8,1.18748942E8,1.21540023E8,1.2469453E8,1.29011369E8,1.36709866E8
Laihia,1.30746048E8,1.3708354E8,1.41378002E8,1.44551903E8,1.48530179E8,1.45391614E8,1.46842214E8,1.48202303E8,1.52436014E8,1.55171624E8,1.56477029E8,1.62153018E8
Luoto,6.6458979E7,7.0603712E7,7.2661488E7,7.5962967E7,7.7398413E7,7.8509385E7,8.2457112E7,8.4005466E7,8.7846769E7,9.1344561E7,9.4755346E7,1.08851302E8
Maalahti,8.9544998E7,9.2692062E7,9.6431776E7,9.9144614E7,9.9449813E7,9.9454281E7,9.8884512E7,1.01023185E8,1.02967748E8,1.06451134E8,1.07300117E8,1.13171122E8
Mustasaari,3.23895426E8,3.51130265E8,3.51161228E8,3.61809368E8,3.76306142E8,3.60555399E8,3.64915508E8,3.75746845E8,3.85356592E8,3.99966569E8,3.94224449E8,4.20084933E8
Närpiö,1.51863648E8,1.59210333E8,1.62973596E8,1.64770203E8,1.67829817E8,1.67167216E8,1.69348947E8,1.7562423E8,1.78294474E8,1.83284851E8,1.87634993E8,1.96030411E8
Pedersören kunta,1.56964748E8,1.66636146E8,1.72600844E8,1.77272734E8,1.78524862E8,1.8171466E8,1.83195966E8,1.86902712E8,1.92693193E8,1.97984805E8,2.02834607E8,2.13761113E8
Pietarsaari,3.18190421E8,3.28399805E8,3.37904947E8,3.42422735E8,3.47500951E8,3.48605623E8,3.52124859E8,3.58789527E8,3.71854246E8,3.71001463E8,3.79048357E8,4.09223666E8
Uusikaarlepyy,1.23735946E8,1.30375579E8,1.34499981E8,1.39426977E8,1.40503092E8,1.40708108E8,1.39874041E8,1.4188571E8,1.46881334E8,1.46100245E8,1.46091854E8,1.5944457E8
