"Alue"	"Vuosi"	"Yhteensa"
"Nousiainen"	"2029"	4541
"Nousiainen"	"2030"	4527
"Nousiainen"	"2031"	4515
"Oripää"	"2021"	1329
"Oripää"	"2022"	1322
"Oripää"	"2023"	1315
"Oripää"	"2024"	1310
"Oripää"	"2025"	1305
"Oripää"	"2026"	1301
"Oripää"	"2027"	1298
"Oripää"	"2028"	1295
"Oripää"	"2029"	1290
"Oripää"	"2030"	1288
"Oripää"	"2031"	1284
"Paimio"	"2021"	10974
"Paimio"	"2022"	11023
"Paimio"	"2023"	11072
"Paimio"	"2024"	11123
"Paimio"	"2025"	11173
"Paimio"	"2026"	11220
"Paimio"	"2027"	11263
"Paimio"	"2028"	11300
"Paimio"	"2029"	11333
"Paimio"	"2030"	11362
"Paimio"	"2031"	11386
"Parainen"	"2021"	15026
"Parainen"	"2022"	14941
"Parainen"	"2023"	14873
"Parainen"	"2024"	14806
"Parainen"	"2025"	14741
"Parainen"	"2026"	14679
"Parainen"	"2027"	14621
"Parainen"	"2028"	14563
"Parainen"	"2029"	14505
"Parainen"	"2030"	14443
"Parainen"	"2031"	14383
"Pyhäranta"	"2021"	1971
"Pyhäranta"	"2022"	1948
"Pyhäranta"	"2023"	1926
"Pyhäranta"	"2024"	1903
"Pyhäranta"	"2025"	1883
"Pyhäranta"	"2026"	1863
"Pyhäranta"	"2027"	1842
"Pyhäranta"	"2028"	1821
"Pyhäranta"	"2029"	1802
"Pyhäranta"	"2030"	1783
"Pyhäranta"	"2031"	1764
"Pöytyä"	"2021"	8166
"Pöytyä"	"2022"	8102
"Pöytyä"	"2023"	8042
"Pöytyä"	"2024"	7991
"Pöytyä"	"2025"	7944
"Pöytyä"	"2026"	7898
"Pöytyä"	"2027"	7854
"Pöytyä"	"2028"	7805
"Pöytyä"	"2029"	7762
"Pöytyä"	"2030"	7721
"Pöytyä"	"2031"	7679
"Raisio"	"2021"	24439
"Raisio"	"2022"	24469
"Raisio"	"2023"	24505
"Raisio"	"2024"	24547
"Raisio"	"2025"	24594
"Raisio"	"2026"	24637
"Raisio"	"2027"	24679
"Raisio"	"2028"	24724
"Raisio"	"2029"	24768
"Raisio"	"2030"	24809
"Raisio"	"2031"	24848
"Rusko"	"2021"	6406
"Rusko"	"2022"	6461
"Rusko"	"2023"	6518
"Rusko"	"2024"	6575
"Rusko"	"2025"	6635
"Rusko"	"2026"	6691
"Rusko"	"2027"	6747
"Rusko"	"2028"	6797
"Rusko"	"2029"	6845
"Rusko"	"2030"	6885
"Rusko"	"2031"	6920
"Salo"	"2021"	51128
"Salo"	"2022"	50683
"Salo"	"2023"	50250
"Salo"	"2024"	49841
"Salo"	"2025"	49444
"Salo"	"2026"	49055
"Salo"	"2027"	48681
"Salo"	"2028"	48319
"Salo"	"2029"	47960
"Salo"	"2030"	47619
"Salo"	"2031"	47291
"Sauvo"	"2021"	2935
"Sauvo"	"2022"	2921
"Sauvo"	"2023"	2910
"Sauvo"	"2024"	2900
"Sauvo"	"2025"	2894
"Sauvo"	"2026"	2890
"Sauvo"	"2027"	2881
"Sauvo"	"2028"	2876
"Sauvo"	"2029"	2868
"Sauvo"	"2030"	2861
"Sauvo"	"2031"	2855
"Somero"	"2021"	8550
"Somero"	"2022"	8455
"Somero"	"2023"	8368
"Somero"	"2024"	8287
"Somero"	"2025"	8212
"Somero"	"2026"	8141
"Somero"	"2027"	8074
"Somero"	"2028"	8014
"Somero"	"2029"	7956
"Somero"	"2030"	7898
"Somero"	"2031"	7843
"Taivassalo"	"2021"	1668
"Taivassalo"	"2022"	1673
"Taivassalo"	"2023"	1679
"Taivassalo"	"2024"	1682
"Taivassalo"	"2025"	1685
"Taivassalo"	"2026"	1688
"Taivassalo"	"2027"	1693
"Taivassalo"	"2028"	1695
"Taivassalo"	"2029"	1696
"Taivassalo"	"2030"	1698
"Taivassalo"	"2031"	1698
"Turku"	"2021"	196094
"Turku"	"2022"	197464
"Turku"	"2023"	198764
"Turku"	"2024"	200019
"Turku"	"2025"	201244
"Turku"	"2026"	202440
"Turku"	"2027"	203605
"Turku"	"2028"	204743
"Turku"	"2029"	205853
"Turku"	"2030"	206909
"Turku"	"2031"	207878
"Uusikaupunki"	"2021"	15305
"Uusikaupunki"	"2022"	15221
"Uusikaupunki"	"2023"	15136
"Uusikaupunki"	"2024"	15049
"Uusikaupunki"	"2025"	14961
"Uusikaupunki"	"2026"	14876
"Uusikaupunki"	"2027"	14790
"Uusikaupunki"	"2028"	14708
"Uusikaupunki"	"2029"	14624
"Uusikaupunki"	"2030"	14540
"Uusikaupunki"	"2031"	14457
"Vehmaa"	"2021"	2301
"Vehmaa"	"2022"	2308
"Vehmaa"	"2023"	2314
"Vehmaa"	"2024"	2322
"Vehmaa"	"2025"	2326
"Vehmaa"	"2026"	2331
"Vehmaa"	"2027"	2337
"Vehmaa"	"2028"	2342
"Vehmaa"	"2029"	2346
"Vehmaa"	"2030"	2353
"Vehmaa"	"2031"	2357
"Eura"	"2021"	11359
"Eura"	"2022"	11231
"Eura"	"2023"	11102
"Eura"	"2024"	10981
"Eura"	"2025"	10865
"Eura"	"2026"	10754
"Eura"	"2027"	10650
"Eura"	"2028"	10549
"Eura"	"2029"	10449
"Eura"	"2030"	10353
"Eura"	"2031"	10261
"Eurajoki"	"2021"	9496
"Eurajoki"	"2022"	9525
"Eurajoki"	"2023"	9545
"Eurajoki"	"2024"	9561
"Eurajoki"	"2025"	9568
"Eurajoki"	"2026"	9565
"Eurajoki"	"2027"	9559
"Eurajoki"	"2028"	9548
"Eurajoki"	"2029"	9530
"Eurajoki"	"2030"	9513
"Eurajoki"	"2031"	9496
"Harjavalta"	"2021"	6789
"Harjavalta"	"2022"	6707
"Harjavalta"	"2023"	6628
"Harjavalta"	"2024"	6556
"Harjavalta"	"2025"	6487
"Harjavalta"	"2026"	6422
"Harjavalta"	"2027"	6359
"Harjavalta"	"2028"	6300
"Harjavalta"	"2029"	6242
"Harjavalta"	"2030"	6182
"Harjavalta"	"2031"	6121
"Huittinen"	"2021"	9829
"Huittinen"	"2022"	9724
"Huittinen"	"2023"	9626
"Huittinen"	"2024"	9533
"Huittinen"	"2025"	9443
"Huittinen"	"2026"	9355
"Huittinen"	"2027"	9273
"Huittinen"	"2028"	9193
"Huittinen"	"2029"	9117
"Huittinen"	"2030"	9044
"Huittinen"	"2031"	8971
"Jämijärvi"	"2021"	1667
"Jämijärvi"	"2022"	1631
"Jämijärvi"	"2023"	1597
"Jämijärvi"	"2024"	1564
"Jämijärvi"	"2025"	1535
"Jämijärvi"	"2026"	1507
"Jämijärvi"	"2027"	1478
"Jämijärvi"	"2028"	1453
"Jämijärvi"	"2029"	1426
"Jämijärvi"	"2030"	1403
"Jämijärvi"	"2031"	1380
"Kankaanpää"	"2021"	12591
"Kankaanpää"	"2022"	12433
"Kankaanpää"	"2023"	12282
"Kankaanpää"	"2024"	12137
"Kankaanpää"	"2025"	11998
"Kankaanpää"	"2026"	11866
"Kankaanpää"	"2027"	11741
"Kankaanpää"	"2028"	11619
"Kankaanpää"	"2029"	11501
"Kankaanpää"	"2030"	11383
"Kankaanpää"	"2031"	11268
"Karvia"	"2021"	2292
"Karvia"	"2022"	2264
"Karvia"	"2023"	2235
"Karvia"	"2024"	2209
"Karvia"	"2025"	2183
"Karvia"	"2026"	2161
"Karvia"	"2027"	2140
"Karvia"	"2028"	2120
"Karvia"	"2029"	2100
"Karvia"	"2030"	2082
"Karvia"	"2031"	2064
"Kokemäki"	"2021"	6909
"Kokemäki"	"2022"	6812
"Kokemäki"	"2023"	6719
"Kokemäki"	"2024"	6634
"Kokemäki"	"2025"	6550
"Kokemäki"	"2026"	6473
"Kokemäki"	"2027"	6402
"Kokemäki"	"2028"	6334
"Kokemäki"	"2029"	6271
"Kokemäki"	"2030"	6212
"Kokemäki"	"2031"	6155
"Merikarvia"	"2021"	3043
"Merikarvia"	"2022"	3021
"Merikarvia"	"2023"	3001
"Merikarvia"	"2024"	2981
"Merikarvia"	"2025"	2965
"Merikarvia"	"2026"	2950
"Merikarvia"	"2027"	2933
"Merikarvia"	"2028"	2919
"Merikarvia"	"2029"	2903
"Merikarvia"	"2030"	2888
"Merikarvia"	"2031"	2870
"Nakkila"	"2021"	5186
"Nakkila"	"2022"	5115
"Nakkila"	"2023"	5046
"Nakkila"	"2024"	4977
"Nakkila"	"2025"	4907
"Nakkila"	"2026"	4840
"Nakkila"	"2027"	4776
"Nakkila"	"2028"	4713
"Nakkila"	"2029"	4651
"Nakkila"	"2030"	4591
"Nakkila"	"2031"	4531
"Pomarkku"	"2021"	2031
"Pomarkku"	"2022"	2001
"Pomarkku"	"2023"	1976
"Pomarkku"	"2024"	1948
"Pomarkku"	"2025"	1923
"Pomarkku"	"2026"	1897
"Pomarkku"	"2027"	1871
"Pomarkku"	"2028"	1847
"Pomarkku"	"2029"	1824
"Pomarkku"	"2030"	1800
"Pomarkku"	"2031"	1779
"Pori"	"2021"	83360
"Pori"	"2022"	82988
"Pori"	"2023"	82619
"Pori"	"2024"	82247
"Pori"	"2025"	81874
"Pori"	"2026"	81495
"Pori"	"2027"	81116
"Pori"	"2028"	80737
"Pori"	"2029"	80356
"Pori"	"2030"	79975
"Pori"	"2031"	79585
"Rauma"	"2021"	38939
"Rauma"	"2022"	38789
"Rauma"	"2023"	38635
"Rauma"	"2024"	38474
"Rauma"	"2025"	38311
"Rauma"	"2026"	38147
"Rauma"	"2027"	37981
"Rauma"	"2028"	37818
"Rauma"	"2029"	37651
"Rauma"	"2030"	37478
"Rauma"	"2031"	37305
"Siikainen"	"2021"	1359
"Siikainen"	"2022"	1335
"Siikainen"	"2023"	1313
"Siikainen"	"2024"	1292
"Siikainen"	"2025"	1275
"Siikainen"	"2026"	1258
"Siikainen"	"2027"	1243
"Siikainen"	"2028"	1225
"Siikainen"	"2029"	1209
"Siikainen"	"2030"	1192
"Siikainen"	"2031"	1175
"Säkylä"	"2021"	6560
"Säkylä"	"2022"	6479
"Säkylä"	"2023"	6401
"Säkylä"	"2024"	6326
"Säkylä"	"2025"	6256
"Säkylä"	"2026"	6185
"Säkylä"	"2027"	6118
"Säkylä"	"2028"	6052
"Säkylä"	"2029"	5988
"Säkylä"	"2030"	5927
"Säkylä"	"2031"	5870
"Ulvila"	"2021"	12627
"Ulvila"	"2022"	12512
"Ulvila"	"2023"	12396
"Ulvila"	"2024"	12284
"Ulvila"	"2025"	12167
"Ulvila"	"2026"	12048
"Ulvila"	"2027"	11927
"Ulvila"	"2028"	11801
"Ulvila"	"2029"	11674
"Ulvila"	"2030"	11551
"Ulvila"	"2031"	11426
"Forssa"	"2021"	16671
"Forssa"	"2022"	16537
"Forssa"	"2023"	16410
"Forssa"	"2024"	16286
"Forssa"	"2025"	16162
"Forssa"	"2026"	16044
"Forssa"	"2027"	15923
"Forssa"	"2028"	15803
"Forssa"	"2029"	15688
"Forssa"	"2030"	15575
"Forssa"	"2031"	15461
"Hattula"	"2021"	9337
"Hattula"	"2022"	9286
"Hattula"	"2023"	9234
"Hattula"	"2024"	9177
"Hattula"	"2025"	9122
"Hattula"	"2026"	9066
"Hattula"	"2027"	9009
"Hattula"	"2028"	8952
"Hattula"	"2029"	8894
"Hattula"	"2030"	8836
"Hattula"	"2031"	8780
"Hausjärvi"	"2021"	8073
"Hausjärvi"	"2022"	7980
"Hausjärvi"	"2023"	7894
"Hausjärvi"	"2024"	7809
"Hausjärvi"	"2025"	7731
"Hausjärvi"	"2026"	7659
"Hausjärvi"	"2027"	7592
"Hausjärvi"	"2028"	7525
"Hausjärvi"	"2029"	7464
"Hausjärvi"	"2030"	7405
"Hausjärvi"	"2031"	7351
"Humppila"	"2021"	2151
"Humppila"	"2022"	2126
"Humppila"	"2023"	2104
"Humppila"	"2024"	2084
"Humppila"	"2025"	2064
"Humppila"	"2026"	2042
"Humppila"	"2027"	2021
"Humppila"	"2028"	2003
"Humppila"	"2029"	1984
"Humppila"	"2030"	1966
"Humppila"	"2031"	1948
"Hämeenlinna"	"2021"	67949
"Hämeenlinna"	"2022"	67993
"Hämeenlinna"	"2023"	68032
"Hämeenlinna"	"2024"	68065
"Hämeenlinna"	"2025"	68090
"Hämeenlinna"	"2026"	68109
"Hämeenlinna"	"2027"	68120
"Hämeenlinna"	"2028"	68119
"Hämeenlinna"	"2029"	68112
"Hämeenlinna"	"2030"	68096
"Hämeenlinna"	"2031"	68069
"Janakkala"	"2021"	16115
"Janakkala"	"2022"	15995
"Janakkala"	"2023"	15884
"Janakkala"	"2024"	15777
"Janakkala"	"2025"	15672
"Janakkala"	"2026"	15568
"Janakkala"	"2027"	15467
"Janakkala"	"2028"	15365
"Janakkala"	"2029"	15269
"Janakkala"	"2030"	15181
"Janakkala"	"2031"	15098
"Jokioinen"	"2021"	5000
"Jokioinen"	"2022"	4937
"Jokioinen"	"2023"	4876
"Jokioinen"	"2024"	4819
"Jokioinen"	"2025"	4764
"Jokioinen"	"2026"	4713
"Jokioinen"	"2027"	4663
"Jokioinen"	"2028"	4618
"Jokioinen"	"2029"	4571
"Jokioinen"	"2030"	4526
"Jokioinen"	"2031"	4482
"Loppi"	"2021"	7797
"Loppi"	"2022"	7746
"Loppi"	"2023"	7695
"Loppi"	"2024"	7647
"Loppi"	"2025"	7603
"Loppi"	"2026"	7557
"Loppi"	"2027"	7515
"Loppi"	"2028"	7471
"Loppi"	"2029"	7431
"Loppi"	"2030"	7393
"Loppi"	"2031"	7360
"Riihimäki"	"2021"	28604
"Riihimäki"	"2022"	28489
"Riihimäki"	"2023"	28389
"Riihimäki"	"2024"	28295
"Riihimäki"	"2025"	28203
"Riihimäki"	"2026"	28110
"Riihimäki"	"2027"	28017
"Riihimäki"	"2028"	27926
"Riihimäki"	"2029"	27832
"Riihimäki"	"2030"	27742
"Riihimäki"	"2031"	27655
"Tammela"	"2021"	5960
"Tammela"	"2022"	5902
"Tammela"	"2023"	5848
"Tammela"	"2024"	5795
"Tammela"	"2025"	5744
"Tammela"	"2026"	5695
