City,2010_talouksien_keskikoko_te,2011_talouksien_keskikoko_te,2012_talouksien_keskikoko_te,2013_talouksien_keskikoko_te,2014_talouksien_keskikoko_te,2015_talouksien_keskikoko_te,2016_talouksien_keskikoko_te,2017_talouksien_keskikoko_te,2018_talouksien_keskikoko_te,2019_talouksien_keskikoko_te,2020_talouksien_keskikoko_te,2021_talouksien_keskikoko_te
Lemi,2.3,2.3,2.2,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.1,2.1
Luumäki,2.0,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.8
Parikkala,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8
Rautjärvi,2.0,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.7
Ruokolahti,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,2.0,1.9,1.9,1.9
Savitaipale,2.0,2.0,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.8,1.8
Taipalsaari,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.2
Enonkoski,2.1,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,1.9,1.9,1.9
Hirvensalmi,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8
Juva,2.1,2.0,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.9
Kangasniemi,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8
Mikkeli,2.0,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.8
Mäntyharju,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8
Pertunmaa,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8
Pieksämäki,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8
Puumala,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8
Rantasalmi,2.1,2.1,2.1,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9
Savonlinna,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8
Sulkava,2.0,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.8
Iisalmi,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9
Joroinen,2.1,2.1,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,2.0,1.9
Kaavi,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8
