City,2010_talouksien_keskikoko_te,2011_talouksien_keskikoko_te,2012_talouksien_keskikoko_te,2013_talouksien_keskikoko_te,2014_talouksien_keskikoko_te,2015_talouksien_keskikoko_te,2016_talouksien_keskikoko_te,2017_talouksien_keskikoko_te,2018_talouksien_keskikoko_te,2019_talouksien_keskikoko_te,2020_talouksien_keskikoko_te,2021_talouksien_keskikoko_te
Tornio,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.0
Utsjoki,2.1,2.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9,1.9
Ylitornio,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9
Brändö,2.1,2.1,2.1,2.1,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9
Eckerö,2.2,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Finström,2.3,2.3,2.3,2.3,2.3,2.2,2.3,2.2,2.2,2.2,2.2,2.2
Föglö,2.1,2.1,2.1,2.0,2.0,2.0,2.1,2.0,2.0,2.0,2.0,2.0
Geta,2.2,2.2,2.2,2.1,2.1,2.2,2.1,2.1,2.2,2.2,2.2,2.2
Hammarland,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
Jomala,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4
Kumlinge,2.1,2.1,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9
Kökar,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9
Lemland,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.4
Lumparland,2.2,2.2,2.2,2.2,2.2,2.3,2.2,2.2,2.2,2.1,2.1,2.1
Maarianhamina,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
Saltvik,2.3,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.1
Sottunga,2.1,1.9,1.9,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.7,1.7
Sund,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.0,2.0,2.0
Vårdö,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.1,2.2,2.2,2.2,2.2
