City,2011_ulkomaan_kansalaisia,2012_ulkomaan_kansalaisia,2013_ulkomaan_kansalaisia,2014_ulkomaan_kansalaisia,2015_ulkomaan_kansalaisia,2016_ulkomaan_kansalaisia,2017_ulkomaan_kansalaisia,2018_ulkomaan_kansalaisia,2019_ulkomaan_kansalaisia,2020_ulkomaan_kansalaisia,2021_ulkomaan_kansalaisia,2022_ulkomaan_kansalaisia
Juupajoki,19.0,17.0,14.0,11.0,11.0,10.0,11.0,8.0,13.0,13.0,17.0,17
Kangasala,348.0,337.0,369.0,384.0,389.0,413.0,423.0,451.0,466.0,506.0,539.0,560
Kihniö,21.0,24.0,23.0,23.0,24.0,28.0,25.0,18.0,22.0,22.0,21.0,25
Kuhmoinen,31.0,26.0,31.0,27.0,23.0,23.0,22.0,17.0,18.0,16.0,16.0,17
Lempäälä,248.0,274.0,286.0,290.0,311.0,294.0,287.0,302.0,347.0,364.0,375.0,393
Mänttä-Vilppula,161.0,168.0,173.0,160.0,192.0,221.0,242.0,226.0,211.0,198.0,206.0,224
Nokia,436.0,469.0,483.0,501.0,507.0,528.0,506.0,516.0,534.0,572.0,603.0,685
Orivesi,99.0,102.0,107.0,111.0,108.0,109.0,110.0,107.0,112.0,111.0,109.0,118
Parkano,107.0,112.0,103.0,110.0,105.0,105.0,112.0,111.0,112.0,105.0,104.0,119
Pirkkala,328.0,357.0,353.0,355.0,391.0,385.0,372.0,397.0,411.0,394.0,431.0,450
Punkalaidun,98.0,92.0,93.0,85.0,78.0,83.0,77.0,78.0,62.0,42.0,44.0,49
Pälkäne,90.0,105.0,105.0,116.0,120.0,133.0,138.0,144.0,150.0,147.0,159.0,161
Ruovesi,55.0,52.0,46.0,44.0,48.0,63.0,40.0,54.0,47.0,48.0,53.0,58
Sastamala,371.0,421.0,475.0,498.0,512.0,537.0,542.0,530.0,525.0,521.0,516.0,518
Tampere,8523.0,8659.0,9122.0,9442.0,9697.0,10326.0,10651.0,10994.0,11559.0,11795.0,12631.0,14758
Urjala,103.0,92.0,98.0,98.0,98.0,101.0,113.0,114.0,108.0,104.0,105.0,96
Valkeakoski,399.0,443.0,490.0,504.0,563.0,605.0,549.0,534.0,554.0,505.0,557.0,656
Vesilahti,41.0,48.0,45.0,46.0,48.0,55.0,62.0,60.0,59.0,59.0,60.0,56
Virrat,130.0,115.0,111.0,120.0,121.0,127.0,129.0,114.0,106.0,112.0,122.0,145
Ylöjärvi,402.0,374.0,375.0,390.0,427.0,424.0,409.0,403.0,423.0,431.0,474.0,500
Asikkala,109.0,107.0,107.0,115.0,123.0,162.0,136.0,137.0,138.0,149.0,150.0,169
Hartola,43.0,41.0,37.0,46.0,49.0,72.0,81.0,76.0,51.0,55.0,70.0,66
Heinola,401.0,422.0,441.0,441.0,456.0,463.0,464.0,481.0,495.0,525.0,530.0,569
Hollola,362.0,374.0,381.0,416.0,400.0,381.0,411.0,425.0,413.0,402.0,407.0,408
Iitti,71.0,85.0,77.0,81.0,86.0,94.0,90.0,94.0,87.0,93.0,91.0,112
Kärkölä,86.0,91.0,93.0,98.0,107.0,117.0,114.0,104.0,115.0,110.0,110.0,113
Lahti,3933.0,4218.0,4380.0,4449.0,4513.0,4966.0,5134.0,5409.0,5510.0,5642.0,5871.0,6259
Orimattila,234.0,247.0,252.0,241.0,255.0,274.0,304.0,328.0,337.0,335.0,345.0,376
Padasjoki,38.0,45.0,45.0,34.0,30.0,29.0,30.0,24.0,24.0,25.0,30.0,35
Sysmä,57.0,50.0,53.0,54.0,60.0,60.0,56.0,48.0,51.0,51.0,59.0,64
Hamina,685.0,706.0,746.0,751.0,778.0,756.0,739.0,751.0,735.0,737.0,718.0,776
Kotka,2919.0,3096.0,3252.0,3364.0,3353.0,3539.0,3283.0,3153.0,3019.0,2928.0,2840.0,2727
Kouvola,2013.0,2176.0,2260.0,2399.0,2411.0,2464.0,2278.0,2193.0,2142.0,2212.0,2232.0,2267
Miehikkälä,54.0,74.0,68.0,78.0,75.0,74.0,60.0,56.0,59.0,60.0,54.0,52
Pyhtää,95.0,101.0,116.0,106.0,110.0,135.0,115.0,108.0,108.0,113.0,134.0,139
Virolahti,141.0,173.0,166.0,170.0,173.0,156.0,141.0,138.0,120.0,119.0,117.0,115
Imatra,800.0,884.0,991.0,992.0,1034.0,1064.0,1076.0,1043.0,986.0,1008.0,1026.0,1092
Lappeenranta,2683.0,2841.0,2962.0,3136.0,3261.0,3431.0,3308.0,3242.0,3316.0,3308.0,3518.0,3938
Lemi,37.0,41.0,41.0,33.0,32.0,31.0,32.0,32.0,35.0,45.0,45.0,41
Luumäki,88.0,97.0,88.0,94.0,93.0,93.0,96.0,97.0,95.0,99.0,99.0,127
Parikkala,75.0,78.0,80.0,72.0,66.0,62.0,51.0,57.0,54.0,56.0,56.0,67
Rautjärvi,43.0,47.0,52.0,56.0,58.0,63.0,86.0,65.0,60.0,57.0,59.0,81
Ruokolahti,62.0,61.0,66.0,69.0,88.0,97.0,105.0,108.0,100.0,107.0,107.0,102
Savitaipale,25.0,28.0,25.0,25.0,22.0,22.0,24.0,27.0,24.0,30.0,29.0,39
Taipalsaari,95.0,102.0,116.0,111.0,110.0,111.0,104.0,105.0,115.0,128.0,122.0,118
Enonkoski,24.0,22.0,16.0,18.0,20.0,24.0,20.0,25.0,22.0,25.0,24.0,27
Hirvensalmi,5.0,31.0,23.0,34.0,44.0,45.0,41.0,23.0,31.0,47.0,39.0,38
Juva,106.0,109.0,117.0,118.0,144.0,133.0,138.0,114.0,115.0,90.0,97.0,102
Kangasniemi,44.0,48.0,54.0,52.0,55.0,61.0,56.0,53.0,47.0,53.0,51.0,64
Mikkeli,1006.0,1026.0,1051.0,1051.0,1164.0,1329.0,1314.0,1386.0,1417.0,1362.0,1368.0,1508
Mäntyharju,65.0,96.0,96.0,129.0,113.0,94.0,92.0,92.0,92.0,97.0,101.0,116
Pertunmaa,22.0,19.0,22.0,25.0,56.0,44.0,51.0,32.0,32.0,29.0,26.0,32
Pieksämäki,241.0,253.0,271.0,288.0,304.0,343.0,342.0,355.0,338.0,346.0,339.0,402
Puumala,24.0,30.0,28.0,30.0,29.0,30.0,30.0,32.0,28.0,29.0,23.0,38
Rantasalmi,58.0,48.0,54.0,56.0,53.0,52.0,57.0,75.0,76.0,79.0,81.0,112
Savonlinna,751.0,805.0,848.0,835.0,830.0,884.0,808.0,777.0,733.0,749.0,771.0,811
Sulkava,30.0,35.0,39.0,49.0,50.0,53.0,53.0,54.0,57.0,62.0,54.0,61
Iisalmi,216.0,246.0,310.0,365.0,398.0,409.0,447.0,441.0,450.0,450.0,452.0,531
Joroinen,67.0,76.0,85.0,92.0,87.0,101.0,104.0,108.0,119.0,126.0,134.0,147
Kaavi,28.0,40.0,41.0,47.0,60.0,51.0,49.0,53.0,44.0,40.0,42.0,43
Keitele,22.0,24.0,24.0,22.0,30.0,33.0,37.0,30.0,27.0,29.0,21.0,35
Kiuruvesi,66.0,74.0,71.0,73.0,76.0,76.0,68.0,75.0,81.0,93.0,97.0,101
Kuopio,2002.0,2230.0,2358.0,2583.0,2758.0,2964.0,2998.0,3103.0,3179.0,3250.0,3548.0,3924
Lapinlahti,96.0,118.0,142.0,148.0,131.0,116.0,114.0,118.0,120.0,120.0,122.0,136
Leppävirta,115.0,118.0,106.0,107.0,113.0,119.0,101.0,111.0,129.0,118.0,123.0,133
Pielavesi,55.0,55.0,55.0,66.0,65.0,64.0,50.0,51.0,43.0,45.0,51.0,47
Rautalampi,37.0,39.0,44.0,40.0,44.0,71.0,81.0,90.0,74.0,64.0,62.0,63
Rautavaara,3.0,4.0,4.0,5.0,6.0,8.0,8.0,8.0,9.0,9.0,8.0,11
Siilinjärvi,138.0,151.0,166.0,185.0,178.0,207.0,184.0,175.0,178.0,194.0,213.0,201
Sonkajärvi,27.0,26.0,48.0,57.0,55.0,46.0,38.0,31.0,19.0,23.0,24.0,27
Suonenjoki,113.0,124.0,121.0,135.0,141.0,147.0,140.0,136.0,117.0,112.0,121.0,121
