City,2011_ulkomaan_kansalaisia,2012_ulkomaan_kansalaisia,2013_ulkomaan_kansalaisia,2014_ulkomaan_kansalaisia,2015_ulkomaan_kansalaisia,2016_ulkomaan_kansalaisia,2017_ulkomaan_kansalaisia,2018_ulkomaan_kansalaisia,2019_ulkomaan_kansalaisia,2020_ulkomaan_kansalaisia,2021_ulkomaan_kansalaisia,2022_ulkomaan_kansalaisia
Vimpeli,13.0,14.0,12.0,12.0,10.0,11.0,16.0,19.0,29.0,26.0,38.0,41
Ähtäri,46.0,53.0,50.0,53.0,55.0,57.0,51.0,51.0,52.0,48.0,64.0,67
Kaskinen,79.0,80.0,73.0,67.0,68.0,69.0,68.0,75.0,79.0,110.0,130.0,138
Korsnäs,210.0,212.0,220.0,200.0,198.0,177.0,197.0,188.0,175.0,177.0,176.0,176
Kristiinankaupunki,196.0,219.0,259.0,217.0,257.0,287.0,297.0,284.0,267.0,273.0,313.0,298
Kruunupyy,122.0,135.0,153.0,171.0,186.0,184.0,196.0,194.0,198.0,209.0,226.0,228
Laihia,60.0,65.0,61.0,60.0,63.0,67.0,68.0,80.0,87.0,95.0,99.0,96
Luoto,96.0,97.0,90.0,103.0,109.0,114.0,139.0,123.0,144.0,167.0,155.0,156
Maalahti,234.0,256.0,250.0,265.0,282.0,293.0,260.0,250.0,251.0,234.0,237.0,228
Mustasaari,299.0,337.0,351.0,381.0,376.0,380.0,376.0,400.0,412.0,417.0,391.0,442
Närpiö,763.0,812.0,844.0,900.0,996.0,1114.0,1204.0,1226.0,1270.0,1375.0,1457.0,1502
Pedersören kunta,202.0,216.0,222.0,241.0,269.0,282.0,289.0,299.0,319.0,332.0,299.0,325
Pietarsaari,971.0,1115.0,1173.0,1230.0,1272.0,1331.0,1367.0,1384.0,1381.0,1474.0,1599.0,1841
Uusikaarlepyy,331.0,369.0,409.0,434.0,466.0,437.0,457.0,460.0,494.0,521.0,529.0,565
Vaasa,3655.0,3678.0,3800.0,3957.0,4074.0,4004.0,4068.0,4120.0,4193.0,4128.0,4420.0,4812
Vöyri,342.0,309.0,300.0,325.0,350.0,403.0,378.0,397.0,330.0,293.0,301.0,288
Halsua,14.0,17.0,15.0,18.0,34.0,30.0,31.0,41.0,36.0,37.0,42.0,41
Kannus,52.0,66.0,74.0,83.0,88.0,89.0,90.0,88.0,96.0,93.0,106.0,113
Kaustinen,47.0,65.0,73.0,71.0,82.0,87.0,75.0,77.0,75.0,78.0,70.0,68
Kokkola,983.0,990.0,1005.0,997.0,1106.0,1209.0,1150.0,1115.0,1131.0,1157.0,1230.0,1380
Lestijärvi,16.0,15.0,11.0,14.0,15.0,16.0,16.0,14.0,14.0,14.0,12.0,11
Perho,20.0,32.0,30.0,22.0,19.0,19.0,18.0,15.0,11.0,12.0,15.0,15
Toholampi,27.0,30.0,42.0,42.0,40.0,36.0,38.0,28.0,34.0,39.0,52.0,55
Veteli,34.0,40.0,43.0,45.0,40.0,51.0,43.0,47.0,50.0,48.0,48.0,55
Alavieska,8.0,18.0,21.0,17.0,20.0,15.0,16.0,16.0,19.0,16.0,16.0,20
Haapajärvi,68.0,67.0,70.0,75.0,75.0,82.0,91.0,87.0,77.0,68.0,83.0,82
Haapavesi,78.0,73.0,83.0,86.0,87.0,104.0,85.0,82.0,81.0,103.0,146.0,166
Hailuoto,6.0,6.0,5.0,6.0,8.0,9.0,9.0,10.0,9.0,9.0,13.0,13
Ii,43.0,42.0,46.0,49.0,48.0,46.0,46.0,47.0,44.0,47.0,52.0,52
Kalajoki,192.0,194.0,191.0,207.0,221.0,236.0,264.0,272.0,289.0,298.0,316.0,342
Kempele,95.0,100.0,105.0,112.0,115.0,133.0,133.0,136.0,136.0,140.0,141.0,156
Kuusamo,173.0,167.0,159.0,166.0,198.0,214.0,203.0,222.0,274.0,307.0,334.0,404
Kärsämäki,17.0,23.0,21.0,17.0,20.0,21.0,18.0,17.0,20.0,21.0,21.0,21
Liminka,35.0,32.0,35.0,35.0,36.0,34.0,35.0,49.0,49.0,51.0,40.0,47
Lumijoki,16.0,15.0,10.0,12.0,14.0,13.0,16.0,19.0,15.0,31.0,29.0,28
Merijärvi,10.0,10.0,7.0,4.0,3.0,7.0,8.0,6.0,5.0,3.0,2.0,2
Muhos,51.0,51.0,60.0,55.0,62.0,86.0,96.0,84.0,71.0,74.0,75.0,86
Nivala,74.0,69.0,65.0,66.0,68.0,65.0,68.0,68.0,84.0,75.0,80.0,85
Oulainen,49.0,46.0,55.0,52.0,50.0,55.0,55.0,60.0,59.0,59.0,59.0,75
Oulu,4112.0,4306.0,4665.0,4948.0,5235.0,5738.0,5868.0,6097.0,6363.0,6598.0,7123.0,7869
Pudasjärvi,87.0,113.0,146.0,142.0,110.0,150.0,157.0,150.0,175.0,167.0,150.0,163
Pyhäjoki,24.0,20.0,21.0,20.0,22.0,36.0,37.0,33.0,50.0,68.0,125.0,105
Pyhäjärvi,36.0,41.0,44.0,39.0,44.0,43.0,46.0,42.0,42.0,39.0,41.0,47
Pyhäntä,3.0,4.0,4.0,4.0,9.0,17.0,11.0,13.0,17.0,29.0,83.0,92
Raahe,406.0,457.0,442.0,432.0,449.0,463.0,477.0,495.0,555.0,547.0,609.0,634
Reisjärvi,16.0,13.0,13.0,12.0,13.0,20.0,21.0,16.0,15.0,15.0,15.0,20
Sievi,82.0,80.0,75.0,73.0,75.0,69.0,66.0,67.0,61.0,52.0,72.0,93
Siikajoki,91.0,70.0,60.0,73.0,69.0,53.0,58.0,64.0,65.0,51.0,66.0,60
Siikalatva,39.0,34.0,33.0,35.0,45.0,31.0,35.0,30.0,25.0,29.0,54.0,66
Taivalkoski,46.0,43.0,38.0,32.0,34.0,28.0,30.0,38.0,48.0,49.0,62.0,63
Tyrnävä,22.0,25.0,19.0,23.0,23.0,25.0,27.0,25.0,26.0,30.0,33.0,40
Utajärvi,21.0,23.0,25.0,29.0,26.0,58.0,49.0,49.0,40.0,44.0,49.0,52
Vaala,35.0,36.0,33.0,28.0,30.0,28.0,28.0,29.0,31.0,27.0,30.0,36
Ylivieska,98.0,108.0,125.0,134.0,146.0,175.0,178.0,160.0,163.0,161.0,175.0,195
Hyrynsalmi,27.0,28.0,29.0,28.0,24.0,18.0,16.0,18.0,21.0,23.0,24.0,28
Kajaani,898.0,892.0,848.0,841.0,869.0,863.0,865.0,838.0,845.0,898.0,1132.0,1344
Kuhmo,109.0,103.0,104.0,104.0,105.0,101.0,93.0,98.0,92.0,102.0,111.0,110
Paltamo,31.0,29.0,28.0,26.0,25.0,50.0,40.0,25.0,22.0,21.0,23.0,19
Puolanka,32.0,36.0,34.0,46.0,45.0,47.0,50.0,45.0,37.0,38.0,38.0,41
Ristijärvi,12.0,13.0,16.0,16.0,14.0,10.0,7.0,7.0,10.0,14.0,16.0,17
Sotkamo,129.0,131.0,155.0,161.0,163.0,171.0,176.0,179.0,189.0,227.0,283.0,336
Suomussalmi,122.0,128.0,114.0,113.0,112.0,135.0,129.0,117.0,141.0,150.0,168.0,160
Enontekiö,23.0,25.0,37.0,36.0,37.0,38.0,63.0,37.0,38.0,42.0,53.0,60
Inari,88.0,87.0,95.0,102.0,106.0,125.0,136.0,161.0,183.0,189.0,214.0,241
Kemi,654.0,687.0,703.0,752.0,784.0,809.0,755.0,755.0,647.0,647.0,634.0,683
Kemijärvi,76.0,69.0,77.0,70.0,66.0,78.0,61.0,70.0,65.0,84.0,96.0,127
Keminmaa,51.0,57.0,58.0,59.0,60.0,62.0,63.0,60.0,54.0,58.0,54.0,59
Kittilä,116.0,125.0,135.0,142.0,146.0,149.0,172.0,175.0,198.0,191.0,206.0,213
Kolari,54.0,56.0,60.0,69.0,76.0,62.0,63.0,69.0,67.0,72.0,82.0,87
Muonio,66.0,75.0,81.0,101.0,91.0,89.0,78.0,75.0,77.0,82.0,82.0,82
Pelkosenniemi,3.0,8.0,12.0,8.0,6.0,5.0,24.0,4.0,6.0,6.0,5.0,9
Pello,43.0,37.0,41.0,44.0,49.0,45.0,44.0,42.0,40.0,39.0,42.0,42
Posio,28.0,27.0,27.0,30.0,29.0,33.0,36.0,35.0,34.0,34.0,43.0,58
Ranua,14.0,16.0,16.0,22.0,24.0,45.0,42.0,33.0,30.0,26.0,33.0,39
Rovaniemi,1396.0,1424.0,1482.0,1490.0,1485.0,1547.0,1541.0,1559.0,1571.0,1619.0,1675.0,1795
Salla,33.0,35.0,38.0,38.0,38.0,40.0,54.0,66.0,52.0,55.0,67.0,88
Savukoski,4.0,4.0,4.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,7.0,15
Simo,16.0,15.0,16.0,24.0,21.0,25.0,27.0,23.0,21.0,19.0,18.0,16
Sodankylä,77.0,90.0,108.0,116.0,114.0,112.0,115.0,117.0,123.0,135.0,135.0,154
Tervola,33.0,35.0,34.0,29.0,26.0,32.0,51.0,55.0,59.0,40.0,58.0,77
Tornio,504.0,516.0,526.0,569.0,572.0,603.0,570.0,623.0,559.0,553.0,585.0,615
Utsjoki,30.0,35.0,42.0,43.0,45.0,45.0,47.0,47.0,50.0,53.0,50.0,49
Ylitornio,50.0,50.0,50.0,44.0,46.0,45.0,66.0,91.0,109.0,115.0,107.0,119
Brändö,23.0,22.0,21.0,24.0,33.0,38.0,38.0,38.0,38.0,44.0,43.0,45
Eckerö,116.0,96.0,107.0,111.0,106.0,104.0,109.0,124.0,124.0,126.0,114.0,116
Finström,173.0,182.0,187.0,199.0,207.0,259.0,270.0,261.0,263.0,283.0,306.0,282
Föglö,81.0,92.0,91.0,89.0,87.0,101.0,92.0,104.0,97.0,97.0,94.0,107
Geta,50.0,56.0,66.0,62.0,68.0,67.0,67.0,74.0,71.0,78.0,73.0,74
Hammarland,131.0,132.0,157.0,151.0,157.0,152.0,180.0,207.0,191.0,217.0,216.0,195
Jomala,294.0,301.0,307.0,343.0,349.0,409.0,412.0,420.0,469.0,495.0,473.0,454
Kumlinge,23.0,23.0,25.0,26.0,26.0,21.0,25.0,25.0,26.0,31.0,37.0,33
Kökar,22.0,22.0,26.0,35.0,35.0,22.0,19.0,16.0,16.0,14.0,13.0,12
Lemland,135.0,137.0,143.0,142.0,144.0,154.0,162.0,170.0,161.0,185.0,192.0,198
Lumparland,24.0,23.0,30.0,34.0,27.0,25.0,39.0,43.0,37.0,40.0,46.0,38
Maarianhamina - Mariehamn,1286.0,1319.0,1353.0,1400.0,1468.0,1503.0,1517.0,1606.0,1628.0,1673.0,1741.0,1764
Saltvik,102.0,116.0,108.0,113.0,112.0,125.0,118.0,134.0,137.0,128.0,149.0,166
Sottunga,6.0,6.0,5.0,6.0,5.0,7.0,5.0,7.0,2.0,12.0,27.0,29
Sund,57.0,56.0,64.0,66.0,65.0,62.0,88.0,109.0,106.0,100.0,96.0,101
Vårdö,37.0,27.0,31.0,36.0,38.0,43.0,41.0,58.0,55.0,55.0,62.0,64
