City,2011_suomenkielisia,2012_suomenkielisia,2013_suomenkielisia,2014_suomenkielisia,2015_suomenkielisia,2016_suomenkielisia,2017_suomenkielisia,2018_suomenkielisia,2019_suomenkielisia,2020_suomenkielisia,2021_suomenkielisia,2022_suomenkielisia
Padasjoki,3312.0,3268.0,3214.0,3144.0,3094.0,3026.0,2971.0,2914.0,2845.0,2807.0,2753.0,2686
Sysmä,4190.0,4107.0,4065.0,4018.0,3958.0,3874.0,3786.0,3685.0,3582.0,3553.0,3488.0,3404
Hamina,20381.0,20189.0,20053.0,19879.0,19611.0,19381.0,19236.0,18994.0,18790.0,18545.0,18369.0,18124
Kotka,50719.0,50390.0,49948.0,49446.0,49129.0,48646.0,48082.0,47439.0,46765.0,46313.0,45924.0,45319
Kouvola,84518.0,84011.0,83470.0,82835.0,82110.0,81361.0,80318.0,79394.0,78357.0,77343.0,76556.0,75435
Miehikkälä,2087.0,2076.0,2046.0,2016.0,1975.0,1920.0,1888.0,1844.0,1755.0,1763.0,1734.0,1695
Pyhtää,4794.0,4791.0,4794.0,4762.0,4740.0,4720.0,4680.0,4624.0,4595.0,4568.0,4543.0,4524
Virolahti,3294.0,3256.0,3209.0,3157.0,3104.0,3047.0,3000.0,2938.0,2910.0,2885.0,2840.0,2793
Imatra,27343.0,27013.0,26799.0,26573.0,26278.0,25897.0,25560.0,25217.0,24800.0,24322.0,23856.0,23313
Lappeenranta,68332.0,68301.0,68279.0,68059.0,67883.0,67574.0,67489.0,67164.0,66894.0,66837.0,66580.0,66078
Lemi,3003.0,2990.0,3060.0,3054.0,3010.0,3009.0,2994.0,2974.0,2898.0,2881.0,2835.0,2807
Luumäki,4979.0,4865.0,4837.0,4789.0,4708.0,4670.0,4581.0,4489.0,4458.0,4358.0,4288.0,4199
Parikkala,5559.0,5480.0,5398.0,5264.0,5127.0,5017.0,4863.0,4730.0,4626.0,4541.0,4449.0,4313
Rautjärvi,3773.0,3724.0,3617.0,3558.0,3464.0,3394.0,3330.0,3246.0,3145.0,3063.0,3005.0,2977
Ruokolahti,5517.0,5496.0,5418.0,5309.0,5192.0,5115.0,5073.0,4938.0,4831.0,4755.0,4744.0,4678
Savitaipale,3754.0,3724.0,3692.0,3628.0,3574.0,3494.0,3439.0,3380.0,3336.0,3274.0,3210.0,3191
Taipalsaari,4721.0,4694.0,4657.0,4624.0,4644.0,4650.0,4594.0,4518.0,4456.0,4392.0,4357.0,4328
Enonkoski,1528.0,1494.0,1491.0,1470.0,1439.0,1413.0,1379.0,1361.0,1316.0,1324.0,1313.0,1289
Hirvensalmi,2367.0,2330.0,2300.0,2274.0,2229.0,2211.0,2173.0,2109.0,2087.0,2090.0,2073.0,2031
Juva,6765.0,6640.0,6531.0,6460.0,6365.0,6239.0,6139.0,6054.0,5940.0,5782.0,5724.0,5600
Kangasniemi,5799.0,5768.0,5724.0,5616.0,5546.0,5516.0,5461.0,5371.0,5277.0,5225.0,5142.0,5050
Mikkeli,53042.0,52946.0,52920.0,52826.0,52734.0,52387.0,52136.0,51594.0,50818.0,50304.0,49807.0,49531
Mäntyharju,6293.0,6222.0,6156.0,6101.0,6011.0,5964.0,5916.0,5788.0,5654.0,5525.0,5484.0,5400
Pertunmaa,1885.0,1835.0,1818.0,1803.0,1756.0,1744.0,1681.0,1675.0,1650.0,1618.0,1608.0,1552
Pieksämäki,19352.0,19041.0,18902.0,18647.0,18376.0,17998.0,17735.0,17430.0,17185.0,16864.0,16754.0,16509
Puumala,2387.0,2334.0,2280.0,2264.0,2219.0,2190.0,2160.0,2146.0,2107.0,2091.0,2079.0,2050
Rantasalmi,3872.0,3846.0,3794.0,3736.0,3655.0,3571.0,3464.0,3404.0,3318.0,3246.0,3215.0,3162
Savonlinna,35873.0,35511.0,35116.0,34774.0,34316.0,33945.0,33391.0,32344.0,31708.0,31359.0,31184.0,30640
Sulkava,2832.0,2798.0,2744.0,2730.0,2663.0,2594.0,2521.0,2463.0,2421.0,2404.0,2358.0,2295
Iisalmi,21874.0,21818.0,21786.0,21658.0,21450.0,21241.0,21058.0,20869.0,20752.0,20495.0,20323.0,20064
Joroinen,5241.0,5186.0,5098.0,5053.0,4989.0,4898.0,4764.0,4652.0,4594.0,4500.0,4432.0,4335
Kaavi,3351.0,3268.0,3212.0,3156.0,3125.0,3091.0,2987.0,2926.0,2840.0,2758.0,2725.0,2635
Keitele,2500.0,2450.0,2401.0,2371.0,2343.0,2308.0,2265.0,2203.0,2169.0,2120.0,2067.0,1988
Kiuruvesi,8987.0,8904.0,8779.0,8669.0,8513.0,8353.0,8195.0,8052.0,7896.0,7740.0,7641.0,7478
Kuopio,110029.0,110810.0,111637.0,112369.0,112845.0,113357.0,113622.0,113854.0,114272.0,114984.0,115875.0,116431
Lapinlahti,10255.0,10131.0,9991.0,9894.0,9790.0,9697.0,9497.0,9428.0,9293.0,9161.0,9044.0,8874
Leppävirta,10259.0,10121.0,10020.0,9858.0,9794.0,9695.0,9607.0,9464.0,9243.0,9196.0,9070.0,8954
Pielavesi,4927.0,4850.0,4750.0,4702.0,4656.0,4615.0,4546.0,4415.0,4309.0,4237.0,4180.0,4053
Rautalampi,3436.0,3396.0,3376.0,3326.0,3253.0,3205.0,3161.0,3096.0,3038.0,2976.0,2958.0,2881
Rautavaara,1842.0,1802.0,1773.0,1756.0,1723.0,1707.0,1679.0,1632.0,1584.0,1543.0,1496.0,1459
Siilinjärvi,21097.0,21202.0,21314.0,21400.0,21525.0,21452.0,21360.0,21379.0,21111.0,20921.0,20936.0,20890
Sonkajärvi,4566.0,4465.0,4404.0,4275.0,4218.0,4147.0,4031.0,3928.0,3868.0,3809.0,3740.0,3635
Suonenjoki,7447.0,7359.0,7319.0,7271.0,7232.0,7144.0,7102.0,6973.0,6906.0,6776.0,6729.0,6598
Tervo,1682.0,1683.0,1648.0,1609.0,1590.0,1587.0,1562.0,1541.0,1495.0,1477.0,1453.0,1411
Tuusniemi,2791.0,2764.0,2765.0,2710.0,2680.0,2601.0,2556.0,2505.0,2430.0,2383.0,2364.0,2338
Varkaus,22035.0,21721.0,21452.0,21193.0,20963.0,20757.0,20436.0,20127.0,19832.0,19578.0,19255.0,19035
Vesanto,2354.0,2295.0,2252.0,2207.0,2154.0,2114.0,2054.0,2021.0,1979.0,1937.0,1909.0,1863
Vieremä,3897.0,3856.0,3797.0,3737.0,3673.0,3629.0,3579.0,3559.0,3473.0,3408.0,3360.0,3288
Heinävesi,3774.0,3691.0,3602.0,3566.0,3506.0,3444.0,3366.0,3241.0,3159.0,3107.0,3039.0,2951
Ilomantsi,5707.0,5570.0,5482.0,5371.0,5203.0,5097.0,4972.0,4811.0,4685.0,4581.0,4465.0,4317
Joensuu,71398.0,71595.0,71642.0,72033.0,72320.0,72359.0,72392.0,72864.0,72989.0,72893.0,72884.0,72590
Juuka,5359.0,5228.0,5105.0,5037.0,4938.0,4834.0,4719.0,4612.0,4507.0,4429.0,4336.0,4240
Kitee,11166.0,10973.0,10798.0,10558.0,10379.0,10213.0,10010.0,9865.0,9630.0,9428.0,9303.0,9099
Kontiolahti,13704.0,13946.0,14130.0,14346.0,14476.0,14440.0,14460.0,14485.0,14473.0,14511.0,14691.0,14801
Lieksa,12165.0,11914.0,11711.0,11485.0,11291.0,11119.0,10902.0,10680.0,10456.0,10270.0,10045.0,9816
Liperi,12108.0,12210.0,12211.0,12115.0,12112.0,12081.0,11941.0,11922.0,11857.0,11773.0,11746.0,11698
Nurmes,10668.0,10587.0,10437.0,10301.0,10176.0,9968.0,9823.0,9633.0,9394.0,9304.0,9195.0,8983
Outokumpu,7178.0,7118.0,7027.0,6939.0,6912.0,6846.0,6731.0,6554.0,6430.0,6298.0,6223.0,6146
Polvijärvi,4748.0,4692.0,4626.0,4571.0,4513.0,4472.0,4374.0,4269.0,4205.0,4157.0,4110.0,4022
Rääkkylä,2445.0,2409.0,2379.0,2348.0,2267.0,2189.0,2168.0,2106.0,2055.0,1993.0,1957.0,1889
Tohmajärvi,4782.0,4686.0,4655.0,4564.0,4508.0,4433.0,4349.0,4266.0,4143.0,4085.0,4010.0,3928
Hankasalmi,5426.0,5385.0,5335.0,5243.0,5166.0,5084.0,4946.0,4860.0,4794.0,4697.0,4597.0,4514
Joutsa,4883.0,4822.0,4773.0,4698.0,4596.0,4568.0,4470.0,4369.0,4281.0,4196.0,4147.0,4058
Jyväskylä,127073.0,128127.0,128974.0,129707.0,130969.0,131958.0,132976.0,133864.0,134640.0,135385.0,136112.0,136878
Jämsä,22188.0,22008.0,21765.0,21435.0,21152.0,20831.0,20443.0,20151.0,19722.0,19407.0,19253.0,18845
Kannonkoski,1528.0,1537.0,1504.0,1457.0,1439.0,1403.0,1385.0,1328.0,1313.0,1297.0,1286.0,1245
Karstula,4423.0,4336.0,4300.0,4249.0,4229.0,4187.0,4100.0,3987.0,3898.0,3805.0,3725.0,3609
Keuruu,10442.0,10350.0,10164.0,10020.0,9966.0,9789.0,9708.0,9553.0,9387.0,9268.0,9206.0,8974
Kinnula,1804.0,1751.0,1756.0,1752.0,1731.0,1685.0,1643.0,1603.0,1608.0,1587.0,1572.0,1545
Kivijärvi,1323.0,1294.0,1250.0,1235.0,1189.0,1147.0,1120.0,1091.0,1082.0,1093.0,1066.0,1045
Konnevesi,2903.0,2884.0,2822.0,2804.0,2729.0,2727.0,2720.0,2671.0,2598.0,2566.0,2557.0,2491
Kyyjärvi,1489.0,1456.0,1421.0,1391.0,1369.0,1356.0,1334.0,1321.0,1289.0,1260.0,1211.0,1175
Laukaa,18071.0,18250.0,18343.0,18454.0,18621.0,18694.0,18681.0,18644.0,18616.0,18539.0,18492.0,18470
Luhanka,800.0,771.0,760.0,759.0,759.0,753.0,730.0,703.0,684.0,689.0,696.0,688
Multia,1829.0,1797.0,1757.0,1746.0,1692.0,1646.0,1618.0,1566.0,1545.0,1535.0,1463.0,1445
Muurame,9320.0,9458.0,9454.0,9575.0,9647.0,9776.0,9935.0,10012.0,10010.0,10102.0,10234.0,10278
Petäjävesi,4023.0,4048.0,4078.0,4034.0,3955.0,3919.0,3853.0,3838.0,3775.0,3706.0,3616.0,3592
Pihtipudas,4469.0,4413.0,4321.0,4226.0,4181.0,4164.0,4090.0,4014.0,3992.0,3895.0,3836.0,3751
